"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","31083","31.083","0.1768254","0.1023424","8.093032e-13","0.7953779","0.5787768","3083022"
"3","1","802","0.802","0.2958296","0.05205888","0.03735962","0.4157319","0.1759759","0"
"4","2","309","0.309","0.3700241","0.04924322","0.09456654","0.5173034","0.1330811","0"
"5","3","684","0.684","0.3290145","0.03734692","0.1779889","0.4518179","0.1135115","0"
"6","4","194","0.194","0.3902649","0.04175354","0.2751027","0.482491","0.1069877","0"
"7","5","226","0.226","0.5315199","0.09602455","0.2442173","0.7159886","0.1806603","0"
"8","6","104","0.104","0.4272221","0.04466878","0.3267905","0.5198507","0.1045563","0"
"9","7","445","0.445","0.4260624","0.04413588","0.1399924","0.5437311","0.1035902","0"
"10","8","1558","1.558","0.4164941","0.06839662","0.1238599","0.6256675","0.1642199","33"
"11","9","1173","1.173","0.2998513","0.03306281","0.1895576","0.4139276","0.110264","0"
"12","10","712","0.712","0.3689521","0.05124796","0.08045055","0.5166666","0.1389014","2"
"13","11","796","0.7960001","0.4124287","0.07677958","0.06877567","0.700599","0.1861645","7"
"14","12","792","0.7920001","0.3419071","0.04596206","0.1220556","0.4888591","0.1344285","0"
"15","13","310","0.31","0.2664294","0.03351545","0.1708778","0.3767803","0.1257949","5"
"16","14","422","0.422","0.2852143","0.03187744","0.1998527","0.4052245","0.1117666","0"
"17","15","3428","3.428","0.2827621","0.0601491","0.05349218","0.5423513","0.2127198","47"
"18","16","4069","4.069","0.2533463","0.03879722","0.05062653","0.3704122","0.1531391","47"
"19","17","1384","1.384","0.2728994","0.036712","0.1232231","0.4321829","0.1345257","0"
"20","18","79","0.079","0.4535215","0.04673745","0.2852916","0.5783312","0.1030545","0"
"21","19","3413","3.413","0.3185862","0.06527363","0.06092165","0.5558305","0.2048853","17"
"22","20","3324","3.324","0.2992439","0.06313357","0.04489523","0.5027629","0.2109769","37"
"23","21","725","0.725","0.294731","0.0359209","0.1528348","0.4329259","0.1218769","0"
"24","22","167","0.167","0.4527789","0.04636341","0.2630033","0.5782251","0.1023974","0"
"25","23","30","0.03","0.477669","0.05366283","0.3814502","0.5845932","0.1123431","0"
"26","24","277","0.277","0.4978675","0.08546384","0.3431354","0.6976272","0.1716598","1"
"27","25","4647","4.647","0.3739643","0.08223779","0.04425842","0.6822376","0.2199081","39"
"28","26","593","0.5930001","0.3625892","0.04702334","0.2443234","0.5252635","0.1296876","0"
"29","27","1522","1.522","0.3517154","0.0574385","0.124709","0.6251369","0.1633096","4"
"30","28","1224","1.224","0.3820737","0.07480818","0.0974322","0.6253491","0.1957952","10"
"31","29","1533","1.533","0.2928031","0.03357083","0.1381881","0.4053307","0.1146533","0"
"32","30","31","0.031","0.4771158","0.07517543","0.3386777","0.6360688","0.1575623","0"
"33","31","232","0.232","0.4432589","0.06164136","0.1095316","0.6184503","0.139064","0"
"34","32","2196","2.196","0.3136197","0.04742002","0.08034442","0.5110414","0.1512023","10"
"35","33","3052","3.052","0.2911577","0.04716564","0.06484866","0.4537283","0.1619934","11"
"36","34","1679","1.679","0.3338265","0.04490019","0.1551698","0.4908757","0.1345016","4"
"37","35","248","0.248","0.4608197","0.05261777","0.2693714","0.6126129","0.114183","1"
"38","36","952","0.952","0.4483158","0.07361625","0.08554504","0.6935941","0.1642062","8"
"39","37","2084","2.084","0.4062727","0.07366925","0.08968432","0.6496541","0.1813296","31"
"40","38","1361","1.361","0.4020828","0.06142158","0.0562517","0.6887119","0.1527586","0"
"41","39","570","0.5700001","0.436874","0.06501804","0.1382943","0.5761024","0.1488256","0"
"42","40","939","0.9390001","0.424572","0.05363056","0.08862296","0.5952067","0.1263167","0"
"43","41","729","0.729","0.2801448","0.03070862","0.1333059","0.3717919","0.109617","0"
"44","42","2703","2.703","0.2520805","0.06119222","0.04882223","0.4200835","0.2427488","16"
"45","43","687","0.687","0.2191596","0.0361455","0.09828128","0.3586311","0.1649277","0"
"46","44","1278","1.278","0.2454629","0.04260725","0.04765474","0.3597986","0.1735791","1"
"47","45","302","0.302","0.2196551","0.04111396","0.116112","0.3330525","0.1871751","0"
"48","46","586","0.586","0.2057374","0.03382975","0.09700765","0.2977095","0.1644317","0"
"49","47","5","0.005","0.2765248","0.03443183","0.232224","0.3249862","0.1245162","0"
"50","49","986","0.9860001","0.1728377","0.04261639","2.085101e-07","0.2963297","0.2465688","62"
"51","50","17","0.017","0.2594945","0.02897419","0.2088743","0.2996199","0.1116563","0"
"52","51","13655","13.655","0.3428384","0.1118567","0.06813885","0.7493151","0.3262664","0"
"53","52","256","0.256","0.2462289","0.04552401","0.06081552","0.3487605","0.184885","0"
"54","53","1039","1.039","0.3067687","0.04641907","0.1734251","0.4641296","0.1513162","0"
"55","54","608","0.608","0.3035239","0.0475898","0.09796287","0.4137154","0.156791","0"
"56","55","796","0.7960001","0.2705212","0.05195092","0.06230142","0.4106374","0.1920401","0"
"57","56","80","0.08000001","0.3348131","0.04551232","0.214924","0.4597781","0.1359335","0"
"58","57","29612","29.612","0.2661009","0.06834835","0.04372774","0.515393","0.2568513","309"
"59","58","118","0.118","0.195485","0.03328472","0.1146261","0.2851855","0.1702674","0"
"60","59","5172","5.172","0.2211016","0.0435459","0.04425842","0.3741269","0.1969497","15"
"61","60","3005","3.005","0.2311805","0.04310891","0.04850383","0.3825116","0.1864729","6"
"62","61","251","0.251","0.2581028","0.03310912","0.1449808","0.3551287","0.1282788","0"
"63","62","3519","3.519","0.2474109","0.04284857","0.04277252","0.3876061","0.1731879","1"
"64","63","1031","1.031","0.2634369","0.03749108","0.1324568","0.3863325","0.1423152","0"
"65","64","10784","10.784","0.2677644","0.03602907","0.06994315","0.4023589","0.1345551","0"
"66","65","6463","6.463","0.2100161","0.04656017","2.47378e-07","0.3761435","0.221698","16"
"67","66","2026","2.026","0.2369729","0.0317338","0.1376575","0.3476992","0.1339132","0"
"68","67","276","0.276","0.2751419","0.0426137","0.1614318","0.3852711","0.154879","0"
"69","68","921","0.9210001","0.2520333","0.03445521","0.1409477","0.3534305","0.136709","0"
"70","69","3644","3.644","0.3542492","0.05533913","0.1564434","0.5217611","0.1562153","0"
"71","70","272","0.272","0.3394621","0.05587111","0.08713707","0.4656155","0.1645872","0"
"72","71","88","0.08800001","0.2442969","0.03790898","0.1166427","0.3510955","0.1551758","0"
"73","72","5889","5.889","0.282111","0.0508544","0.07960147","0.5359832","0.1802638","0"
"74","73","1477","1.477","0.2963506","0.03543692","0.1576109","0.4029957","0.1195777","0"
"75","74","151","0.151","0.322924","0.04975537","0.1411599","0.4316522","0.1540777","0"
"76","75","273","0.273","0.306593","0.03379206","0.2057963","0.4027834","0.110218","0"
"77","76","460","0.46","0.3338467","0.0382996","0.2081313","0.4523486","0.1147221","0"
"78","77","986","0.9860001","0.2628808","0.03388466","0.1642974","0.3639379","0.1288974","0"
"79","78","1125","1.125","0.2891778","0.03776791","0.1517735","0.434624","0.1306045","0"
"80","79","131","0.131","0.2960908","0.03693645","0.2053718","0.388349","0.1247471","0"
"81","80","1402","1.402","0.2947442","0.03516845","0.1848877","0.412654","0.1193185","0"
"82","81","4933","4.933","0.40505","0.09047832","0.05550876","0.7054813","0.2233757","9"
"83","82","3069","3.069","0.3884113","0.07428084","0.07737263","0.6491234","0.1912427","5"
"84","83","514","0.514","0.2384635","0.03584637","0.1116543","0.3315666","0.1503223","0"
"85","84","68","0.068","0.2906","0.03637705","0.2103601","0.374233","0.1251791","0"
"86","85","1889","1.889","0.2995571","0.04386723","0.05911735","0.4514995","0.1464403","0"
"87","86","224","0.224","0.2747653","0.04477528","0.1762907","0.4237982","0.1629583","0"
"88","87","209","0.209","0.3147765","0.03658174","0.2132258","0.4077718","0.116215","0"
"89","88","316","0.316","0.3304901","0.03342842","0.2442173","0.4136092","0.101148","0"
"90","89","3127","3.127","0.220918","0.07656759","0.04213571","0.4593535","0.3465882","0"
"91","90","104","0.104","0.2592416","0.05585351","0.1002978","0.386757","0.2154497","0"
"92","91","25284","25.284","0.2674907","0.07543951","0.03566146","0.5696281","0.2820266","597"
"93","92","211","0.211","0.2558947","0.03631461","0.1402047","0.3757189","0.1419123","0"
"94","93","230","0.23","0.2528974","0.03276664","0.1649342","0.330293","0.129565","0"
"95","94","1","0.001","0.2728738","0","0.2728738","0.2728738","0","0"
"96","95","492","0.492","0.2489255","0.03293163","0.1562312","0.3363427","0.1322951","0"
"97","96","18","0.018","0.1652998","0.03850935","0.07928306","0.2235209","0.2329667","0"
"98","97","185","0.185","0.3063982","0.03389133","0.1952889","0.3874999","0.110612","0"
"99","98","336","0.336","0.24819","0.03368548","0.1715146","0.3453642","0.1357246","0"
"100","99","2708","2.708","0.1908598","0.03886046","0.06357504","0.3135237","0.2036073","0"
"101","100","1406","1.406","0.2085117","0.03391986","0.09339906","0.3223329","0.1626761","0"
"102","101","134","0.134","0.2617557","0.03128337","0.182765","0.3476992","0.1195136","0"
"103","102","63","0.063","0.1868807","0.03240706","0.1132464","0.2596069","0.1734104","0"
"104","103","184","0.184","0.2311661","0.03198237","0.1581416","0.3137359","0.1383523","0"
"105","104","2864","2.864","0.226234","0.04093187","0.0923377","0.375825","0.1809271","0"
"106","105","189","0.189","0.2591228","0.03851342","0.1789441","0.3817686","0.14863","0"
"107","106","346","0.346","0.1950447","0.03701986","0.07620513","0.2941009","0.1898019","0"
"108","107","979","0.979","0.260364","0.04076173","0.121631","0.3761435","0.1565567","0"
"109","109","289","0.289","0.1851249","0.04103096","0.08267939","0.292615","0.2216394","0"
"110","110","526","0.526","0.1906846","0.03820745","0.06325663","0.3024856","0.2003698","2"
"111","111","191","0.191","0.2086208","0.03390539","0.09605244","0.3035469","0.1625216","0"
"112","112","731","0.731","0.1763963","0.0343447","0.06357504","0.2890064","0.1947019","2"
"113","113","1481","1.481","0.2063519","0.03239169","0.09711379","0.3329464","0.1569731","0"
"114","114","1979","1.979","0.1570795","0.03529402","0.0396946","0.276164","0.2246888","13"
"115","115","1769","1.769","0.2098964","0.03611378","0.1113359","0.3329464","0.1720552","0"
"116","116","4456","4.456","0.1606448","0.03684353","0.05423513","0.2881573","0.2293477","0"
"117","117","477","0.477","0.1790987","0.03186803","0.07758489","0.2723432","0.1779355","0"
"118","118","194","0.194","0.2242185","0.03295353","0.1288482","0.316177","0.1469706","0"
"119","119","976","0.9760001","0.2033845","0.05244391","0.03842098","0.3474869","0.257856","33"
"120","120","1071","1.071","0.2824408","0.03783226","0.1486955","0.4083025","0.1339476","0"
