"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","30487","30.487","0.2442891","0.1736413","4.226066e-13","1.175165","0.7108025","3064667"
"3","1","722","0.7220001","0.569865","0.09368043","0.2456162","0.9516917","0.1643906","0"
"4","2","300","0.3","0.6760013","0.08231067","0.4231002","0.8705009","0.1217611","0"
"5","3","734","0.734","0.6357359","0.07011819","0.4278695","0.9155816","0.1102945","0"
"6","4","188","0.188","0.7430832","0.08259433","0.2829753","0.9853035","0.1111508","0"
"7","5","173","0.173","0.6677818","0.08468399","0.1296781","0.8868526","0.1268139","0"
"8","6","103","0.103","0.6458724","0.07680716","0.3455432","0.8374569","0.11892","0"
"9","7","504","0.504","0.7512522","0.06581762","0.4780601","0.9306843","0.08761055","0"
"10","8","1550","1.55","0.6317515","0.1667359","0.09845086","1.028795","0.2639264","16"
"11","9","1095","1.095","0.5420099","0.06046728","0.2381216","0.7332148","0.1115612","0"
"12","10","700","0.7","0.4675086","0.08314537","0.1217293","0.6783684","0.1778478","0"
"13","11","924","0.924","0.5175102","0.09462993","0.08505155","0.8334825","0.1828562","4"
"14","12","779","0.779","0.4453464","0.06977397","0.09504426","0.622273","0.1566735","0"
"15","13","339","0.339","0.4065472","0.04739893","0.2703708","0.520302","0.116589","10"
"16","14","423","0.423","0.4715289","0.05640841","0.2853599","0.6420314","0.1196287","0"
"17","15","3076","3.076","0.4811981","0.1151339","0.0456485","0.8441565","0.2392651","26"
"18","16","3905","3.905","0.3843137","0.0660105","0.12207","0.5749213","0.171762","38"
"19","17","1327","1.327","0.4397418","0.06778421","0.1951984","0.7812479","0.1541455","0"
"20","18","84","0.08400001","0.7090903","0.04722291","0.600925","0.8039586","0.06659647","0"
"21","19","3168","3.168","0.5909327","0.1220374","0.1090113","0.8895779","0.2065165","17"
"22","20","2838","2.838","0.5876769","0.1487666","0.05893425","0.9569151","0.2531436","31"
"23","21","694","0.694","0.4967977","0.06056811","0.2817262","0.6810938","0.121917","0"
"24","22","132","0.132","0.7358292","0.08475842","0.28025","0.9050212","0.1151876","0"
"25","23","31","0.031","0.6755517","0.04818647","0.5900239","0.7693248","0.07132906","0"
"26","24","333","0.333","0.5968651","0.06386799","0.3063673","0.7828376","0.1070057","0"
"27","25","5205","5.205","0.5755462","0.09865771","0.07131159","0.8942336","0.1714158","24"
"28","26","649","0.649","0.6245813","0.06678824","0.3324846","0.8549441","0.1069328","0"
"29","27","1726","1.726","0.6169211","0.1083668","0.09969995","0.9459004","0.1756574","4"
"30","28","1300","1.3","0.6620839","0.1242454","0.09822375","0.9799665","0.1876581","3"
"31","29","1486","1.486","0.4890329","0.06254688","0.2614001","0.6865443","0.1278991","0"
"32","30","32","0.032","0.7179738","0.06371593","0.6055807","0.8597134","0.0887441","0"
"33","31","223","0.223","0.7125974","0.05961804","0.5025877","0.8974131","0.08366301","0"
"34","32","2198","2.198","0.4941891","0.08157164","0.07380976","0.7890831","0.1650616","2"
"35","33","2871","2.871","0.436368","0.07315192","0.09731533","0.7787497","0.1676381","10"
"36","34","1806","1.806","0.3945281","0.06152951","0.09345451","0.5886612","0.1559572","3"
"37","35","270","0.27","0.6568552","0.05899207","0.407657","0.8166766","0.08980986","0"
"38","36","1050","1.05","0.5328352","0.08526996","0.08028231","0.7482039","0.1600306","9"
"39","37","2257","2.257","0.5007722","0.1174729","0.09720177","0.8125887","0.2345835","37"
"40","38","1469","1.469","0.496128","0.08786173","0.1001542","0.7526324","0.1770949","0"
