"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","36990","36.99","0.1976701","0.1049661","7.27672e-13","0.6423503","0.5310164","3079495"
"3","1","776","0.776","0.3512818","0.04975582","0.1694711","0.4896011","0.1416408","0"
"4","2","253","0.253","0.4266183","0.03947203","0.3169946","0.5170156","0.09252305","0"
"5","3","670","0.67","0.3849447","0.03703164","0.280978","0.5019819","0.09619989","0"
"6","4","197","0.197","0.4389149","0.04422877","0.3078297","0.5578559","0.1007684","0"
"7","5","166","0.166","0.4874749","0.04276409","0.3444091","0.5967667","0.08772574","0"
"8","6","113","0.113","0.4773328","0.03936652","0.371502","0.5982942","0.08247187","0"
"9","7","484","0.484","0.487594","0.03803378","0.3340382","0.5863959","0.07800297","0"
"10","8","1900","1.9","0.4315166","0.07549097","0.1100598","0.6132476","0.1749434","7"
"11","9","1143","1.143","0.3419087","0.03311474","0.1271034","0.4381488","0.09685256","0"
"12","10","653","0.6530001","0.4226722","0.04983213","0.2072565","0.6134887","0.1178978","2"
"13","11","889","0.8890001","0.4501176","0.06146378","0.1670593","0.6379286","0.1365505","6"
"14","12","741","0.7410001","0.3959483","0.03977293","0.2402985","0.5207942","0.1004498","0"
"15","13","312","0.312","0.2840919","0.03306456","0.1651298","0.350921","0.1163868","3"
"16","14","423","0.423","0.3183069","0.03122458","0.2204411","0.3869376","0.09809584","0"
"17","15","3979","3.979","0.3023232","0.06174418","0.06431542","0.5137998","0.2042323","10"
"18","16","3928","3.928","0.2800061","0.04440158","0.05402495","0.3917613","0.1585736","30"
"19","17","1372","1.372","0.3093722","0.05236629","0.1899717","0.5579363","0.1692663","0"
"20","18","112","0.112","0.4598101","0.06057315","0.2509106","0.5625188","0.1317351","0"
"21","19","3453","3.453","0.3551151","0.07465862","0.07034499","0.6079415","0.2102378","17"
"22","20","3311","3.311","0.3392044","0.08084077","0.07420392","0.5801251","0.2383247","5"
"23","21","816","0.816","0.3244137","0.03691064","0.2116781","0.4614632","0.1137765","0"
"24","22","200","0.2","0.4673103","0.07436325","0.2104722","0.6046454","0.1591303","0"
"25","23","33","0.033","0.483557","0.04356078","0.379059","0.5604285","0.09008406","0"
"26","24","324","0.324","0.4733545","0.05917901","0.204523","0.6092278","0.1250205","0"
"27","25","5037","5.037","0.4135563","0.06692832","0.07364116","0.6073788","0.161836","24"
"28","26","595","0.595","0.4131433","0.05096754","0.2651403","0.5542381","0.1233653","0"
"29","27","1646","1.646","0.3885474","0.06032525","0.143343","0.5579363","0.1552584","5"
"30","28","1340","1.34","0.4164772","0.07660601","0.16923","0.6313363","0.1839381","1"
"31","29","1507","1.507","0.3299864","0.03444845","0.2234961","0.4326016","0.1043936","0"
"32","30","31","0.031","0.4662842","0.04500526","0.3158691","0.5154077","0.09651894","0"
"33","31","274","0.274","0.4609112","0.07673515","0.2399769","0.6348736","0.1664858","0"
"34","32","2126","2.126","0.3562193","0.05051214","0.07830402","0.5310846","0.1418007","7"
"35","33","3018","3.018","0.3352932","0.04843837","0.1050753","0.536069","0.1444657","20"
"36","34","1535","1.535","0.3892477","0.04708597","0.1361075","0.5468419","0.1209666","6"
"37","35","363","0.363","0.4703685","0.06342793","0.283631","0.6562585","0.1348473","0"
"38","36","1018","1.018","0.4545219","0.0612404","0.1919815","0.6470131","0.1347359","6"
"39","37","2269","2.269","0.4287229","0.06805719","0.07243524","0.6023943","0.158744","16"
"40","38","1297","1.297","0.4556823","0.05055052","0.2636932","0.6400188","0.1109337","0"
"41","39","657","0.657","0.4601657","0.06544159","0.2288021","0.5879233","0.1422131","1"
"42","40","1103","1.103","0.4520158","0.05934377","0.2123213","0.574176","0.1312869","0"
"43","41","668","0.668","0.3166423","0.0359935","0.2305708","0.446349","0.1136724","0"
"44","42","2458","2.458","0.2846366","0.06526542","0.03883044","0.4653221","0.2292939","14"
"45","43","626","0.626","0.2690984","0.03951907","0.1411723","0.3673215","0.1468573","0"
"46","44","1188","1.188","0.2974394","0.04145317","0.09325736","0.4412842","0.1393668","8"
"47","45","257","0.257","0.2696809","0.04093716","0.1577336","0.3862141","0.1517985","0"
"48","46","517","0.517","0.2551329","0.03822834","0.1379566","0.3795414","0.149837","0"
"49","47","5","0.005","0.277103","0.02318594","0.2396553","0.3013982","0.08367264","0"
"50","49","833","0.8330001","0.1988373","0.04993734","2.381369e-07","0.3076689","0.2511468","79"
"51","50","14","0.014","0.3142211","0.02763939","0.2512321","0.3610507","0.0879616","0"
"52","51","14073","14.073","0.3897271","0.09715261","0.1013772","0.7959033","0.2492837","0"
"53","52","263","0.263","0.2579165","0.02952065","0.09164947","0.3366912","0.1144582","0"
"54","53","917","0.9170001","0.3551128","0.04923202","0.1982523","0.5080918","0.1386377","0"
"55","54","565","0.565","0.3428396","0.04464823","0.2175469","0.4723164","0.1302307","0"
"56","55","708","0.708","0.3154137","0.05410676","0.09767905","0.4421685","0.1715422","3"
"57","56","64","0.064","0.3699254","0.0328161","0.2918312","0.4293054","0.08871005","0"
"58","57","29356","29.356","0.2926039","0.07396764","3.230872e-07","0.6532035","0.252791","265"
"59","58","91","0.09100001","0.2309583","0.03617585","0.143343","0.3471425","0.1566336","2"
"60","59","5153","5.153","0.2457226","0.04082878","4.052774e-07","0.3752001","0.166158","23"
"61","60","2983","2.983","0.2469814","0.04244692","0.0701842","0.3748785","0.1718628","9"
"62","61","197","0.197","0.286837","0.03257959","0.2025132","0.3932888","0.1135822","0"
"63","62","3527","3.527","0.2588915","0.04542602","0.05225628","0.401489","0.1754635","0"
"64","63","885","0.8850001","0.2944168","0.03205132","0.1634416","0.387822","0.1088638","0"
"65","64","10629","10.629","0.297423","0.03712469","0.1476843","0.4655633","0.1248212","0"
"66","65","6049","6.049","0.2417061","0.04672857","3.511484e-07","0.3820336","0.193328","7"
"67","66","1947","1.947","0.2507382","0.02963081","0.1420567","0.3551015","0.1181743","0"
"68","67","279","0.279","0.2878285","0.03745096","0.2007445","0.4006851","0.1301155","0"
"69","68","914","0.914","0.2740051","0.0301749","0.1709182","0.3776119","0.1101253","0"
"70","69","3116","3.116","0.393793","0.05430149","0.2105526","0.612122","0.1378935","0"
"71","70","287","0.287","0.3825902","0.03880996","0.2872488","0.5095389","0.10144","0"
"72","71","85","0.085","0.2786059","0.03832646","0.1910168","0.370296","0.1375651","0"
"73","72","5678","5.678","0.3071616","0.05212614","0.1074068","0.5181411","0.1697026","0"
"74","73","1386","1.386","0.335552","0.0352923","0.2284001","0.4420881","0.1051769","0"
"75","74","134","0.134","0.3559913","0.03515816","0.2509106","0.4326016","0.09876131","0"
"76","75","226","0.226","0.350033","0.03645442","0.2563773","0.452459","0.1041456","0"
"77","76","413","0.413","0.374373","0.03848843","0.2350729","0.4940228","0.1028077","0"
"78","77","837","0.837","0.2991623","0.03257293","0.1932678","0.4073578","0.1088805","0"
"79","78","1171","1.171","0.3232361","0.03632215","0.1959209","0.4422489","0.1123703","0"
"80","79","139","0.139","0.3356443","0.0347034","0.2204411","0.4087245","0.1033934","0"
"81","80","1296","1.296","0.3366908","0.03563032","0.241424","0.4641162","0.105825","0"
"82","81","5318","5.318","0.4468052","0.07041958","0.1116676","0.6946869","0.1576069","21"
"83","82","2951","2.951","0.4171098","0.07412113","0.09792023","0.6256283","0.1777017","1"
"84","83","554","0.554","0.2816668","0.03495719","0.1772694","0.3864553","0.1241083","0"
"85","84","50","0.05","0.3290506","0.03370629","0.2460869","0.4200601","0.102435","0"
"86","85","1823","1.823","0.3451476","0.0446192","0.2235765","0.4929777","0.1292757","0"
"87","86","190","0.19","0.3111118","0.03660794","0.2021112","0.4028557","0.1176681","0"
"88","87","151","0.151","0.3604959","0.03566027","0.2382886","0.4533433","0.09892005","0"
"89","88","255","0.255","0.3803166","0.03428226","0.2713307","0.4760145","0.09014138","0"
"90","89","3084","3.084","0.2442814","0.08595272","0.04301094","0.4850187","0.3518595","0"
"91","90","120","0.12","0.2906307","0.06444292","0.07950994","0.4109755","0.2217347","0"
"92","91","24734","24.734","0.2804808","0.07171938","0.04678947","0.5374358","0.2557016","450"
"93","92","184","0.184","0.2681757","0.0351807","0.176385","0.3674822","0.1311853","0"
"94","93","212","0.212","0.2678744","0.03160932","0.2030759","0.3520465","0.1180005","0"
"95","94","1","0.001","0.2441574","0","0.2441574","0.2441574","0","0"
"96","95","511","0.511","0.269109","0.02997866","0.1870775","0.3587997","0.1113997","0"
"97","96","18","0.018","0.2010616","0.05061205","0.1153658","0.3108043","0.2517241","0"
"98","97","181","0.181","0.3431734","0.03402511","0.2534831","0.4607396","0.09914844","0"
"99","98","347","0.347","0.281968","0.03381645","0.1897305","0.3820336","0.1199301","0"
"100","99","2379","2.379","0.2103936","0.04279949","0.07010381","0.3784963","0.2034258","0"
"101","100","1486","1.486","0.2341419","0.03220791","0.1402076","0.343364","0.1375572","0"
"102","101","120","0.12","0.2929575","0.03041388","0.2234961","0.3961026","0.1038167","0"
"103","102","53","0.053","0.2201817","0.03619137","0.1404488","0.3157887","0.1643704","0"
"104","103","193","0.193","0.2649612","0.02780576","0.1875598","0.3395854","0.1049428","0"
"105","104","2728","2.728","0.261992","0.04353912","0.1164112","0.4042224","0.1661849","0"
"106","105","209","0.209","0.2933115","0.03305541","0.1869971","0.3700549","0.1126973","0"
"107","106","320","0.32","0.2310095","0.03802085","0.1331329","0.3347618","0.1645857","0"
"108","107","1028","1.028","0.2931544","0.03831466","0.1703555","0.3998007","0.1306978","0"
"109","108","1","0.001","0.2784858","0","0.2784858","0.2784858","0","0"
"110","109","260","0.26","0.2056073","0.03554905","0.09470446","0.3035688","0.1728978","3"
"111","110","564","0.564","0.2249108","0.04363615","0.07621378","0.3702157","0.1940154","1"
"112","111","187","0.187","0.2372345","0.03364766","0.1041106","0.3248733","0.1418329","0"
"113","112","704","0.7040001","0.1903719","0.03237156","0.1062812","0.3018001","0.1700438","3"
"114","113","1317","1.317","0.2268664","0.03245123","0.1112657","0.32013","0.1430412","0"
"115","114","1946","1.946","0.1611439","0.03327577","2.614446e-07","0.2662658","0.2064973","9"
"116","115","1834","1.834","0.2301096","0.03648753","0.1173756","0.4059107","0.1585659","0"
"117","116","4028","4.028","0.1701851","0.03841352","0.04767381","0.3021217","0.2257161","1"
"118","117","473","0.473","0.1959907","0.02854682","0.1180992","0.2661855","0.145654","0"
"119","118","192","0.192","0.2483488","0.02877516","0.188203","0.3426404","0.1158659","0"
"120","119","990","0.9900001","0.2307051","0.06161644","2.838322e-07","0.3976301","0.2670789","18"
"121","120","1012","1.012","0.32021","0.04144411","0.1746968","0.4658848","0.1294279","0"
"122","121","7838","7.838","0.3732983","0.07209112","0.1726869","0.6124436","0.1931193","0"
"123","122","46","0.046","0.277362","0.03697272","0.1964836","0.3440875","0.1333013","0"
"124","123","465","0.465","0.315021","0.04470835","0.1924639","0.4418469","0.1419218","0"
