"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","31809","31.809","0.1859137","0.115386","2.671103e-13","0.6915514","0.6206427","3077639"
"3","1","791","0.791","0.340139","0.06534483","0.07140655","0.4821202","0.1921121","0"
"4","2","319","0.319","0.4318234","0.0557353","0.1871692","0.5414296","0.1290697","0"
"5","3","842","0.8420001","0.3913809","0.03837499","0.2216123","0.5198396","0.09805025","0"
"6","4","186","0.186","0.457295","0.04699689","0.2886505","0.5523506","0.1027715","0"
"7","5","199","0.199","0.4927137","0.05392984","0.2537033","0.6012431","0.1094547","0"
"8","6","109","0.109","0.5074813","0.04636019","0.3561087","0.6382905","0.09135349","0"
"9","7","510","0.5100001","0.5033225","0.04847061","0.1712077","0.6147684","0.09630131","0"
"10","8","1518","1.518","0.476668","0.07345027","0.163983","0.6644169","0.1540911","29"
"11","9","1290","1.29","0.3435215","0.03460609","0.2214443","0.4420485","0.1007392","0"
"12","10","644","0.6440001","0.42624","0.04743928","0.2025426","0.5658759","0.1112971","3"
"13","11","870","0.8700001","0.4625846","0.07013257","0.1389487","0.6143484","0.1516102","5"
"14","12","765","0.765","0.3976325","0.03768307","0.2006944","0.5116909","0.09476859","2"
"15","13","356","0.356","0.2753858","0.03886411","0.06006551","0.3733302","0.1411261","0"
"16","14","416","0.416","0.3294505","0.0380109","0.2132956","0.4628824","0.1153767","0"
"17","15","3559","3.559","0.3208551","0.05830376","0.06712215","0.4830443","0.1817137","51"
"18","16","3970","3.97","0.2875387","0.05177096","0.03805549","0.4302875","0.1800486","22"
"19","17","1602","1.602","0.2988633","0.03193812","0.1764162","0.3962643","0.1068653","0"
"20","18","104","0.104","0.518145","0.03208901","0.4407044","0.5882219","0.06193056","0"
"21","19","3642","3.642","0.3873126","0.06758616","0.0719946","0.588642","0.1745003","33"
"22","20","3342","3.342","0.3747627","0.07309367","0.06115761","0.5841896","0.1950399","52"
"23","21","905","0.905","0.312626","0.03590793","0.1843969","0.4179383","0.1148591","0"
"24","22","183","0.183","0.5036816","0.05194073","0.24043","0.5986389","0.1031222","0"
"25","23","31","0.031","0.5146474","0.02167207","0.4772478","0.5579792","0.04211052","0"
"26","24","390","0.39","0.4819544","0.03971928","0.3278821","0.6142643","0.08241295","0"
"27","25","4951","4.951","0.451682","0.06873089","0.119795","0.7066728","0.1521665","54"
"28","26","618","0.618","0.446357","0.04651175","0.294615","0.5694882","0.104203","0"
"29","27","1802","1.802","0.4285831","0.0536439","0.1609588","0.5685641","0.1251657","7"
"30","28","1383","1.383","0.4539307","0.05077812","0.218588","0.6377865","0.1118632","12"
"31","29","1588","1.588","0.3460933","0.03951462","0.163227","0.4943853","0.1141733","1"
"32","30","35","0.035","0.4940637","0.02697803","0.4429726","0.5572231","0.05460435","0"
"33","31","271","0.271","0.497306","0.04139792","0.3119206","0.6019152","0.08324436","0"
