ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	27341	27.341	0.1907212	0.13703	2.470574e-13	0.8297623	0.7184832	3115798
1	780	0.78	0.3705223	0.06587199	0.05472409	0.5345489	0.1777814	0
2	308	0.308	0.4523906	0.0529986	0.2831807	0.5876247	0.1171523	0
3	808	0.808	0.4112123	0.04329651	0.2924113	0.5502079	0.1052899	0
4	162	0.162	0.4928862	0.05042231	0.3570253	0.6369093	0.1023001	0
5	229	0.229	0.5208578	0.07997393	0.1475243	0.6982267	0.1535427	0
6	97	0.097	0.5432851	0.06366327	0.173238	0.6601506	0.1171821	0
7	503	0.503	0.5325822	0.04699842	0.2559835	0.6766338	0.08824631	0
8	1335	1.335	0.5209798	0.08605023	0.1317005	0.7880599	0.16517	23
9	1379	1.379	0.3714156	0.03693125	0.2357092	0.5136153	0.09943376	0
10	702	0.702	0.4300616	0.0549931	0.08769041	0.5605923	0.1278726	0
11	849	0.849	0.4670091	0.07090028	0.1025253	0.673502	0.1518178	2
12	771	0.771	0.3985329	0.045461	0.1729084	0.5546584	0.1140709	0
13	346	0.346	0.2983966	0.04099803	0.126261	0.3901564	0.1373944	0
14	418	0.418	0.3320657	0.03566988	0.2371927	0.4598802	0.1074182	0
15	3180	3.18	0.3566235	0.08007734	0.05703174	0.6245469	0.2245431	62
16	4223	4.223	0.2861073	0.04299344	0.0417024	0.42576	0.1502703	40
17	1517	1.517	0.3234126	0.04807914	0.1738973	0.5459223	0.1486619	0
18	107	0.107	0.5511307	0.05101472	0.459056	0.7079517	0.09256373	0
19	3248	3.248	0.4009255	0.07778139	0.06164702	0.63625	0.1940046	29
20	2735	2.735	0.4117023	0.07174617	0.09774514	0.6469641	0.1742671	87
21	759	0.7590001	0.3532458	0.04578418	0.2144459	0.5394939	0.12961	0
22	151	0.151	0.5495409	0.04388464	0.3253776	0.683227	0.0798569	0
23	36	0.036	0.5509497	0.05928291	0.4087824	0.6632824	0.1076013	0
24	288	0.288	0.5774323	0.08226709	0.288785	0.7972905	0.1424705	0
25	4193	4.193	0.4572065	0.1035664	0.0604932	0.8576189	0.2265198	23
26	583	0.583	0.4596041	0.07195217	0.3047736	0.6815787	0.1565525	0
27	1657	1.657	0.4357301	0.07144754	0.05653724	0.6782821	0.163972	8
28	1338	1.338	0.4754951	0.08242933	0.142909	0.7035013	0.1733547	7
29	1526	1.526	0.3472677	0.04181261	0.1518099	0.4842753	0.1204045	0
30	43	0.043	0.4974732	0.03834628	0.4094417	0.5785589	0.0770821	0
31	267	0.267	0.5473065	0.05953026	0.2431266	0.7554232	0.1087695	0
32	2178	2.178	0.3602635	0.05492674	0.07598737	0.539329	0.1524627	9
33	3238	3.238	0.3287252	0.05669571	0.05208679	0.5203734	0.1724714	12
34	1625	1.625	0.4007969	0.05212479	0.1536231	0.5721305	0.1300529	4
35	254	0.254	0.540945	0.06046369	0.3459815	0.7855874	0.1117742	0
36	968	0.9680001	0.540305	0.07388124	0.1259314	0.7720712	0.1367399	10
37	1942	1.942	0.4972159	0.07601583	0.1134041	0.6880071	0.1528829	21
38	1283	1.283	0.4886771	0.06584243	0.2101603	0.7783349	0.1347361	2
39	495	0.495	0.5532922	0.06195585	0.2276324	0.6931169	0.1119767	2
40	794	0.794	0.5406622	0.05881442	0.266203	0.8216856	0.1087822	2
41	858	0.858	0.3319709	0.03315151	0.2375223	0.4199909	0.09986271	0
42	2322	2.322	0.3127519	0.07084025	4.973671e-07	0.5055385	0.2265062	22
43	638	0.638	0.243757	0.03747165	0.1298873	0.3545528	0.1537254	0
44	1173	1.173	0.2843733	0.04459444	0.07252616	0.4336718	0.1568166	1
45	267	0.267	0.2637134	0.03636608	0.1621943	0.3716953	0.1379	0
46	518	0.518	0.2409884	0.03606366	0.1284039	0.3426848	0.149649	0
47	3	0.003	0.3368059	0.02769974	0.3087296	0.364113	0.08224243	0
49	822	0.822	0.1472196	0.04851048	8.614322e-08	0.2932353	0.3295109	78
50	8	0.008	0.2950486	0.02215218	0.2724667	0.3362565	0.07507977	0
51	13339	13.339	0.3988193	0.1191613	0.0990638	0.7986091	0.2987851	0
