ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	31230	31.23	0.3387757	0.1929997	1.171343e-12	1.675701	0.5696976	3075744
1	821	0.821	0.6884257	0.1013255	0.3219762	1.071105	0.1471843	0
2	311	0.311	0.7686285	0.0888458	0.462438	1.004946	0.1155901	0
3	782	0.7820001	0.7688802	0.07450926	0.5177405	1.110462	0.09690619	0
4	192	0.192	0.8153521	0.08316839	0.5665967	1.021231	0.102003	0
5	190	0.19	0.8067602	0.07890077	0.3525114	1.000535	0.09779953	0
6	105	0.105	0.8284266	0.08164696	0.4614201	0.9781428	0.09855667	0
7	610	0.61	0.8321013	0.078133	0.5017944	1.062284	0.09389843	0
8	1594	1.594	0.7811778	0.1568749	0.1160336	1.116569	0.2008185	1
9	1197	1.197	0.7367374	0.08173437	0.5180798	1.075516	0.110941	0
10	655	0.655	0.6397437	0.08825989	0.1838895	0.8933229	0.1379613	0
11	814	0.814	0.6766984	0.09245738	0.2089962	0.9560896	0.1366301	5
12	725	0.725	0.6182986	0.08176463	0.1509794	0.8909479	0.1322413	0
13	367	0.367	0.5793017	0.07452019	0.2242637	0.7613432	0.128638	0
14	390	0.39	0.664638	0.07467736	0.4885625	0.943197	0.1123579	0
15	3239	3.239	0.6961884	0.1283174	0.1061945	1.028695	0.1843142	68
16	3828	3.828	0.5414706	0.1038319	0.1136586	0.8492166	0.191759	18
17	1609	1.609	0.6186497	0.08370734	0.2656558	0.8936622	0.1353065	0
18	82	0.082	0.8219916	0.06318838	0.5842393	0.9740714	0.0768723	0
19	3482	3.482	0.7396754	0.1168888	0.1397832	1.142015	0.1580272	11
20	3202	3.202	0.7510538	0.1282509	0.1313012	1.049731	0.1707613	61
21	731	0.731	0.6605403	0.09283436	0.3901714	0.9035013	0.1405431	0
22	152	0.152	0.8386453	0.08065376	0.5428472	1.006981	0.09617147	0
23	28	0.028	0.7838689	0.06858764	0.6612557	0.9482862	0.08749887	0
24	280	0.28	0.7294	0.09170169	0.3487793	1.075177	0.1257221	0
25	4457	4.457	0.7207143	0.1178675	0.1292655	1.405635	0.1635426	29
26	572	0.572	0.7877763	0.0868826	0.5221512	1.170175	0.1102884	0
27	1574	1.574	0.7694682	0.08632582	0.2999231	1.025981	0.1121889	18
28	1300	1.3	0.776141	0.1015758	0.2520847	1.047017	0.1308728	9
29	1429	1.429	0.690969	0.08265772	0.3372438	0.9584646	0.1196258	0
30	29	0.029	0.801074	0.0546025	0.6856838	0.8984121	0.06816162	0
31	247	0.247	0.8169578	0.07682271	0.6341134	1.083659	0.0940351	1
32	2182	2.182	0.725752	0.1513954	0.1021231	1.134551	0.2086049	0
33	2716	2.716	0.6033818	0.09587952	0.1282476	0.9883212	0.1589036	18
34	1419	1.419	0.6027143	0.08824341	0.1811752	0.8668591	0.14641	2
35	280	0.28	0.7915887	0.07848872	0.5017944	0.9991781	0.09915342	0
36	855	0.855	0.7365674	0.1008913	0.2154425	0.9791606	0.1369749	11
37	1932	1.932	0.7235667	0.1304781	0.1333368	1.057195	0.1803264	11
38	1163	1.163	0.6938353	0.08993305	0.2317279	1.025981	0.1296173	2
39	485	0.485	0.820893	0.09949128	0.2690486	1.083998	0.1211988	3
40	782	0.7820001	0.8166001	0.105207	0.2782092	1.168818	0.1288354	1
41	828	0.8280001	0.6338684	0.07210004	0.4295278	0.8743232	0.1137461	0
42	2368	2.368	0.5029726	0.1155172	5.681751e-07	0.8770375	0.229669	27
43	610	0.61	0.4414685	0.07432505	0.1404617	0.6687199	0.1683587	2
44	1337	1.337	0.4883969	0.07659125	0.1652291	0.7002729	0.1568217	3
45	256	0.256	0.4449331	0.07285996	0.2592095	0.6439525	0.1637549	0
46	495	0.495	0.4392537	0.07074659	0.2151035	0.6765229	0.1610609	0
47	5	0.005	0.6390668	0.03825413	0.5872928	0.6850053	0.05985936	0
49	952	0.952	0.3571952	0.09200648	1.530449e-07	0.6025602	0.2575804	103
50	13	0.013	0.5278667	0.05900308	0.4319028	0.6127388	0.1117765	0
51	14669	14.669	0.6316174	0.1689647	0.1513187	1.491812	0.2675112	0
52	203	0.203	0.5261421	0.08477545	0.2873697	0.7772893	0.1611265	0
53	937	0.937	0.5795894	0.07999848	0.3087443	0.8298777	0.1380261	0
54	480	0.48	0.5927132	0.08410496	0.3721896	0.8251277	0.1418982	0
55	744	0.744	0.5243254	0.08175595	0.1547115	0.7375937	0.155926	0
56	55	0.055	0.6369695	0.09045608	0.4183316	0.9014656	0.1420101	0
57	29960	29.96	0.5609986	0.1562932	5.759406e-07	1.368314	0.2785983	335
58	119	0.119	0.3919052	0.06850138	0.1855859	0.5896672	0.1747907	1
59	5851	5.851	0.4638027	0.09383796	7.086011e-07	0.9167332	0.202323	17
60	3147	3.147	0.4930067	0.09127797	3.442701e-07	0.9265723	0.1851455	5
61	279	0.279	0.5363768	0.06984279	0.3572613	0.7230046	0.1302122	0
62	3654	3.654	0.5184831	0.09300445	1.199768e-06	1.061266	0.179378	0
63	1085	1.085	0.5773721	0.07629751	0.3582791	0.8163065	0.1321462	0
64	11236	11.236	0.5758743	0.0996546	0.1984785	1.130819	0.1730492	0
65	6603	6.603	0.4530876	0.102802	6.257692e-07	0.8332704	0.226892	16
66	1922	1.922	0.4900948	0.06761079	0.2924589	0.7175761	0.1379545	0
67	345	0.345	0.563039	0.09366716	0.3056908	0.8671984	0.16636	0
68	909	0.909	0.5464972	0.07802835	0.2989052	0.8434488	0.1427791	0
69	3921	3.921	0.6934433	0.1048816	0.2629416	1.041588	0.1512476	0
70	277	0.277	0.6772261	0.103935	0.2378349	0.9255545	0.1534717	0
71	112	0.112	0.4996738	0.07725219	0.3151906	0.6805947	0.1546052	0
72	6056	6.056	0.5443342	0.1102216	0.1791396	1.21496	0.2024888	0
73	1441	1.441	0.5811364	0.07010103	0.2490312	0.7990032	0.1206275	0
74	164	0.164	0.6293366	0.07478852	0.3871179	0.8183421	0.1188371	0
75	260	0.26	0.6073138	0.08600133	0.1055159	0.8037531	0.1416094	0
76	424	0.424	0.6444381	0.0773746	0.3840644	0.8587164	0.1200652	0
77	1083	1.083	0.534523	0.06890509	0.2927982	0.7918783	0.1289095	0
78	1209	1.209	0.5808133	0.07629849	0.3582791	0.8451452	0.1313649	0
79	144	0.144	0.5968397	0.08670374	0.3494579	0.7874677	0.1452714	0
80	1547	1.547	0.6095998	0.07357197	0.3728682	0.8356454	0.120689	0
81	5673	5.673	0.7569928	0.1352268	0.08481988	1.455848	0.1786368	4
82	3181	3.181	0.7985514	0.1435644	0.1652291	1.255334	0.179781	6
83	547	0.5470001	0.5110344	0.07733624	0.2697272	0.7094334	0.1513327	0
84	72	0.072	0.6083329	0.06849622	0.4380098	0.7369151	0.1125966	0
85	2014	2.014	0.6211784	0.09595356	0.2049248	1.353386	0.1544702	0
86	225	0.225	0.5811452	0.1051578	0.3386009	0.8386989	0.1809493	0
87	178	0.178	0.6529663	0.07332664	0.4827947	0.8814481	0.1122977	0
88	292	0.292	0.6608003	0.06897674	0.4525988	0.8773768	0.1043836	0
89	2852	2.852	0.4627297	0.1484437	2.242286e-07	0.9415006	0.3207999	0
90	106	0.106	0.5692279	0.1379481	0.1798181	0.8990906	0.2423424	0
91	25898	25.898	0.6000153	0.1642826	2.912059e-07	1.219031	0.2737973	544
92	244	0.244	0.5844824	0.08217221	0.2917804	0.7738965	0.1405897	0
93	283	0.283	0.5927955	0.07947604	0.3922071	0.7959497	0.1340699	0
94	2	0.002	0.6291938	0.05493867	0.5903463	0.6680413	0.08731597	0
95	608	0.608	0.5943132	0.08353925	0.3450472	0.8906087	0.1405644	0
96	14	0.014	0.4031851	0.07277607	0.258531	0.556079	0.1805029	0
97	185	0.185	0.6494176	0.07581903	0.4505632	0.9113047	0.1167493	0
98	437	0.437	0.5369872	0.07717136	0.3260476	0.7345401	0.1437117	0
99	2645	2.645	0.3803948	0.09257907	1.701937e-07	0.6989156	0.2433763	0
100	1189	1.189	0.4486358	0.08404738	0.180836	0.7023085	0.1873399	0
101	143	0.143	0.5644259	0.06460074	0.396957	0.7165583	0.1144539	0
102	54	0.054	0.3891097	0.06805044	0.2456384	0.6100245	0.1748876	0
103	194	0.194	0.4921267	0.06724412	0.3134943	0.6632914	0.1366399	0
104	2816	2.816	0.4784553	0.1031232	0.1696398	0.8661805	0.2155336	0
105	212	0.212	0.5558663	0.0841613	0.3314761	0.8560022	0.1514056	0
106	360	0.36	0.426741	0.08161055	0.195425	0.6646485	0.1912414	0
107	1094	1.094	0.5618498	0.08890605	0.2693879	0.8519308	0.1582381	0
108	1	0.001	0.6188458	0	0.6188458	0.6188458	0	0
109	283	0.283	0.3652384	0.08227731	0.1329976	0.6507381	0.2252701	0
110	501	0.501	0.3767118	0.07994832	0.07871331	0.6541305	0.2122268	0
111	181	0.181	0.4072009	0.069488	0.2290137	0.5998461	0.1706479	0
112	927	0.927	0.3120006	0.07043492	7.65548e-07	0.5743999	0.2257525	2
113	1390	1.39	0.3922162	0.07793424	0.1757468	0.6307206	0.1987022	0
114	1492	1.492	0.3180687	0.07545084	0.1061946	0.6191851	0.2372155	1
115	1662	1.662	0.4612248	0.09211983	0.1740504	0.8132529	0.1997287	0
