ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	27961	27.961	0.1927163	0.1305233	9.443809e-13	1.196503	0.6772818	3096686
1	781	0.781	0.3637867	0.0744976	0.06289022	0.5793929	0.2047837	0
2	330	0.33	0.4388191	0.06882267	0.1490298	0.5736224	0.1568361	0
3	779	0.779	0.4091646	0.04498402	0.2897801	0.5654266	0.1099411	0
4	190	0.19	0.4695845	0.05821701	0.1937721	0.5915194	0.1239756	0
5	165	0.165	0.468858	0.06317905	0.1442628	0.593861	0.1347509	0
6	90	0.09	0.4596654	0.04497987	0.3151202	0.5733715	0.0978535	0
7	459	0.459	0.4884465	0.05535974	0.1743698	0.6263933	0.1133384	0
8	1433	1.433	0.4363944	0.09434304	0.06757354	0.6881127	0.2161876	36
9	1198	1.198	0.3501186	0.04130545	0.1746207	0.5181753	0.1179756	0
10	658	0.6580001	0.3564776	0.04340918	0.1938558	0.4757746	0.1217725	6
11	838	0.8380001	0.3704939	0.06140386	0.1008585	0.4915808	0.1657352	3
12	753	0.753	0.3400486	0.04369516	0.1264495	0.4564559	0.1284968	1
13	400	0.4	0.2631623	0.04836202	0.06598455	0.4068629	0.1837726	1
14	487	0.487	0.3170545	0.03866489	0.2163524	0.4270179	0.1219503	0
15	3984	3.984	0.3045915	0.06193731	0.04273525	0.5432644	0.2033455	46
16	3822	3.822	0.2729185	0.0519096	0.04800397	0.4269343	0.1902018	27
17	1661	1.661	0.2935709	0.04287999	0.1696865	0.4822141	0.1460635	0
18	93	0.093	0.4983863	0.04041151	0.4042704	0.6197029	0.08108472	0
19	3668	3.668	0.391751	0.07000422	0.06263933	0.5863342	0.1786957	23
20	3187	3.187	0.380614	0.07772514	0.05987952	0.6061547	0.2042099	67
21	797	0.7970001	0.3133289	0.04075308	0.173868	0.4531107	0.1300649	0
22	160	0.16	0.5007116	0.04995879	0.3324317	0.6013041	0.09977558	0
23	31	0.031	0.4793518	0.0356897	0.4007579	0.5655938	0.07445409	0
24	306	0.306	0.4215896	0.04555706	0.1730317	0.5204333	0.1080602	0
25	4596	4.596	0.4023201	0.05747641	0.1071308	0.5893449	0.1428624	47
26	542	0.5420001	0.425996	0.0465407	0.2955506	0.563754	0.1092515	0
27	1594	1.594	0.4137115	0.06191501	0.08580501	0.5941119	0.1496575	2
28	1337	1.337	0.4428387	0.06695744	0.08438329	0.6371816	0.1512005	3
29	1568	1.568	0.3336661	0.04394363	0.1742026	0.4893227	0.1316994	0
30	32	0.032	0.477029	0.04201218	0.4073647	0.5676846	0.08807049	0
31	244	0.244	0.4895542	0.0423648	0.3116913	0.590683	0.0865375	0
32	2194	2.194	0.3459469	0.05400944	0.06305748	0.5034563	0.1561206	9
33	2852	2.852	0.3122477	0.05505265	0.05444353	0.4942569	0.1763109	13
34	1667	1.667	0.3210497	0.04225244	0.1457682	0.4605538	0.1316072	3
35	291	0.291	0.462451	0.04629351	0.2142616	0.5958681	0.1001047	0
36	1054	1.054	0.4031856	0.05585016	0.1080508	0.5632522	0.1385222	12
37	2106	2.106	0.3724811	0.08396484	0.06439558	0.5777203	0.2254204	18
38	1418	1.418	0.3637078	0.05977878	0.1320527	0.5536346	0.1643593	1
39	509	0.509	0.4721922	0.0553611	0.2464594	0.5888432	0.1172427	0
40	804	0.804	0.4456263	0.0606289	0.2377618	0.7027481	0.1360532	1
41	745	0.7450001	0.2987542	0.03459232	0.1724463	0.4130516	0.1157885	0
42	2681	2.681	0.2244809	0.04878128	3.327436e-07	0.3678911	0.217307	26
43	588	0.588	0.2334445	0.03547787	0.1345617	0.3431364	0.1519756	5
44	1234	1.234	0.245146	0.04341247	0.08463418	0.3571863	0.1770882	7
45	275	0.275	0.2068008	0.03361409	0.1063784	0.2989795	0.1625433	0
