ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
1132	4	0.004	0.3623719	0.02227595	0.3397616	0.3890931	0.06147261	0
1133	1234	1.234	0.2506908	0.04888534	0.04562608	0.3785549	0.1950025	0
1134	442	0.442	0.3361649	0.06675559	0.07828183	0.4818501	0.1985799	0
1135	990	0.9900001	0.1918125	0.0428078	0.06334343	0.3948832	0.2231753	0
1136	381	0.381	0.1447238	0.03264225	0.04909984	0.2280132	0.2255486	5
1137	94	0.094	0.2219386	0.0325253	0.1424359	0.2956413	0.1465509	0
1138	1	0.001	0.1908409	0	0.1908409	0.1908409	0	0
1139	11	0.011	0.1948413	0.03166185	0.1177701	0.242141	0.1625007	0
1140	708	0.708	0.1772746	0.0563368	0.07619741	0.3499522	0.317794	2
1141	331	0.331	0.1272765	0.03286948	0.0457416	0.2165488	0.2582525	5
1142	88	0.08800001	0.2982403	0.03027742	0.2302134	0.350068	0.1015202	0
1143	639	0.6390001	0.2936682	0.06616277	0.1467205	0.4926197	0.2252977	0
1144	914	0.914	0.2378696	0.05066264	0.09368343	0.40959	0.2129849	0
1145	397	0.397	0.3207282	0.04619795	0.2041581	0.5330344	0.1440408	0
1146	279	0.279	0.2392252	0.04714215	0.0837245	0.4073897	0.1970618	0
1147	3231	3.231	0.323308	0.04838505	0.1727759	0.5638376	0.1496562	0
1148	3970	3.97	0.2695743	0.089235	0.09379923	0.6233596	0.3310219	0
1149	230	0.23	0.248705	0.04550622	0.1232128	0.3904827	0.1829727	0
1151	284	0.284	0.5134293	0.04527811	0.3625745	0.6604161	0.08818763	0
1152	357	0.357	0.2613741	0.04840043	0.1141803	0.4021787	0.1851768	0
1153	460	0.46	0.4021736	0.03819098	0.3007365	0.580513	0.09496143	0
1154	47	0.047	0.3438862	0.1163664	0.08661953	0.5419511	0.3383863	0
1155	79	0.079	0.3783793	0.03913952	0.274218	0.4637851	0.1034399	0
1156	107	0.107	0.4024103	0.05112629	0.2973783	0.5339608	0.1270502	0
1157	377	0.377	0.2918747	0.03484176	0.1874827	0.4190857	0.1193723	0
1158	73	0.07300001	0.2905699	0.02978963	0.211801	0.3738073	0.1025214	0
1160	263	0.263	0.3189868	0.03568613	0.2157382	0.4304343	0.1118734	0
1161	180	0.18	0.4037304	0.1286107	0.09379923	0.7138005	0.318556	0
1162	858	0.858	0.21127	0.03726862	0.0866195	0.3131272	0.1764028	0
1163	858	0.858	0.2740704	0.03321021	0.1435939	0.3723019	0.121174	0
1164	40	0.04	0.2940634	0.03083864	0.2273184	0.353542	0.1048707	0
1165	33	0.033	0.2706316	0.03328422	0.1924621	0.3387195	0.1229872	0
1166	845	0.845	0.2513356	0.03170918	0.1676806	0.362343	0.1261627	0
