"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","30159","30.159","0.1913711","0.1332206","3.043502e-13","0.7727993","0.6961375","3090958"
"3","1","791","0.791","0.3536358","0.07115963","0.03581531","0.5097938","0.2012229","0"
"4","2","316","0.316","0.4701477","0.0701399","0.2019173","0.6152124","0.1491869","0"
"5","3","802","0.802","0.4120055","0.04740994","0.2827382","0.5557455","0.1150711","0"
"6","4","234","0.234","0.5254507","0.04202045","0.381129","0.6371071","0.0799703","0"
"7","5","197","0.197","0.5522864","0.07758359","0.1078514","0.6773824","0.1404771","0"
"8","6","103","0.103","0.5713261","0.04504693","0.4412717","0.6714357","0.07884627","0"
"9","7","509","0.509","0.5748855","0.05897196","0.0606833","0.6854915","0.1025803","0"
"10","8","1408","1.408","0.5320251","0.0937933","0.06189967","0.7655016","0.1762949","21"
"11","9","1260","1.26","0.3410968","0.03678765","0.1479916","0.4591117","0.107851","0"
"12","10","728","0.728","0.4193635","0.0521779","0.0990665","0.5806135","0.1244217","1"
"13","11","940","0.9400001","0.4230625","0.06264827","0.1298812","0.5515558","0.1480828","0"
"14","12","776","0.776","0.3935064","0.0384391","0.1277187","0.521552","0.09768352","0"
"15","13","344","0.344","0.2723138","0.04081675","0.05960208","0.3592343","0.1498887","0"
"16","14","445","0.445","0.3065807","0.03160331","0.2197573","0.4005909","0.1030832","0"
"17","15","3452","3.452","0.3017106","0.05656889","0.05311478","0.4561384","0.1874939","41"
"18","16","4027","4.027","0.2761348","0.04335056","0.03176074","0.4087","0.1569906","28"
"19","17","1624","1.624","0.2939702","0.03706431","0.1712377","0.5035768","0.1260819","0"
"20","18","99","0.09900001","0.5849383","0.04222795","0.4924943","0.6795448","0.07219214","0"
"21","19","3366","3.366","0.3967752","0.08286741","0.06825182","0.6404859","0.2088523","52"
"22","20","3157","3.157","0.396293","0.08943953","0.0508172","0.6679217","0.2256904","56"
"23","21","760","0.7600001","0.3136814","0.03440069","0.1713729","0.3927521","0.1096676","0"
"24","22","178","0.178","0.5736933","0.05972308","0.1762384","0.7023855","0.1041028","0"
"25","23","33","0.033","0.561426","0.04652787","0.4828985","0.6995474","0.08287444","0"
"26","24","323","0.323","0.4702389","0.03952695","0.3257166","0.5888578","0.08405717","0"
"27","25","4840","4.84","0.4162519","0.06409104","0.05541237","0.6056166","0.1539718","22"
"28","26","582","0.582","0.4400887","0.05323663","0.3180129","0.5972372","0.1209679","0"
"29","27","1601","1.601","0.4264264","0.06209611","0.1627231","0.5765589","0.1456198","9"
"30","28","1283","1.283","0.471074","0.07168768","0.09433617","0.6367016","0.1521792","6"
"31","29","1521","1.521","0.3195507","0.03461755","0.1885372","0.4178903","0.108332","0"
"32","30","33","0.033","0.5306277","0.03258568","0.4630311","0.6071033","0.06140968","0"
"33","31","262","0.262","0.5611643","0.04499532","0.3543688","0.674409","0.08018207","0"
"34","32","2308","2.308","0.352224","0.04953015","0.1121763","0.4865476","0.1406212","6"
"35","33","3191","3.191","0.3296898","0.05135144","0.06973849","0.5072259","0.1557568","12"
"36","34","1651","1.651","0.3822037","0.047657","0.1604256","0.5297963","0.1246901","0"
"37","35","286","0.286","0.5456795","0.04399036","0.4230261","0.6807612","0.08061575","0"
"38","36","1048","1.048","0.4867907","0.0463867","0.1512352","0.61751","0.09529086","17"
"39","37","1977","1.977","0.4845484","0.08051379","0.07717185","0.6710302","0.1661625","31"
"40","38","1327","1.327","0.4432561","0.05443496","0.08676766","0.5814244","0.122807","0"
"41","39","507","0.507","0.5749335","0.07527491","0.2388138","0.7411742","0.130928","3"
"42","40","787","0.7870001","0.558916","0.06730808","0.2392192","0.7556354","0.1204261","1"
"43","41","744","0.744","0.3035778","0.03642529","0.2173246","0.4774924","0.1199867","0"
"44","42","2410","2.41","0.2888525","0.05917659","0.04351898","0.450462","0.2048679","28"
"45","43","628","0.628","0.2706625","0.03586106","0.09866104","0.4091054","0.1324937","0"
"46","44","1205","1.205","0.2900224","0.04240296","0.07595549","0.4249182","0.1462058","1"
"47","45","280","0.28","0.2545079","0.03156864","0.1698862","0.3355827","0.124038","0"
"48","46","553","0.553","0.248097","0.02831452","0.1681293","0.3243651","0.1141268","0"
"49","47","3","0.003","0.2428683","0.005988019","0.2365162","0.2484096","0.02465541","0"
"50","49","996","0.9960001","0.1668634","0.04882838","1.068507e-07","0.2740885","0.2926248","57"
"51","50","12","0.012","0.2770618","0.05369711","0.1771844","0.3372045","0.1938091","0"
"52","51","13406","13.406","0.3915099","0.1072663","0.07649609","0.8571347","0.273981","0"
"53","52","242","0.242","0.2552013","0.04016246","0.06960334","0.3307172","0.1573756","0"
"54","53","1035","1.035","0.3522995","0.03980524","0.2380029","0.4970895","0.1129869","0"
"55","54","566","0.566","0.3556107","0.04752392","0.2485447","0.5015495","0.1336403","0"
"56","55","791","0.791","0.3259726","0.04386516","0.07406336","0.4301892","0.134567","1"
"57","56","57","0.057","0.4091054","0.04365236","0.2546266","0.4807361","0.106702","0"
"58","57","28670","28.67","0.2790332","0.06827959","3.06503e-07","0.5577728","0.2447006","267"
"59","58","113","0.113","0.2083938","0.02753883","0.1477214","0.2866576","0.132148","0"
"60","59","5013","5.013","0.2580939","0.04805658","3.668241e-07","0.3957254","0.1861981","14"
"61","60","3147","3.147","0.2612445","0.04905701","0.04243776","0.3922114","0.187782","4"
"62","61","248","0.248","0.3063076","0.02759006","0.2235417","0.3789665","0.09007308","0"
"63","62","3693","3.693","0.2716886","0.05065988","0.0381129","0.4749245","0.1864631","0"
"64","63","1041","1.041","0.309188","0.03408546","0.2062421","0.4381632","0.1102419","0"
"65","64","10811","10.811","0.3011501","0.03807554","0.09812044","0.4553275","0.1264338","0"
"66","65","6462","6.462","0.2359174","0.05970638","0.04635717","0.462896","0.2530816","7"
"67","66","2038","2.038","0.2537158","0.02806593","0.1579928","0.3496385","0.1106196","0"
"68","67","292","0.292","0.3059279","0.05366745","0.1515055","0.4880343","0.1754252","0"
"69","68","954","0.9540001","0.2886281","0.0330094","0.1890778","0.3974824","0.1143665","0"
"70","69","3588","3.588","0.4299113","0.06238193","0.1816444","0.6158882","0.1451042","0"
"71","70","285","0.285","0.4190252","0.07087961","0.1012289","0.5583134","0.1691536","0"
"72","71","79","0.079","0.2979129","0.04994204","0.1870505","0.3858593","0.1676397","0"
"73","72","5861","5.861","0.329844","0.06415368","0.1265024","0.6622453","0.194497","0"
"74","73","1457","1.457","0.3548076","0.03774048","0.1774547","0.4680318","0.1063688","0"
"75","74","121","0.121","0.3916618","0.03405622","0.2753049","0.4834391","0.08695312","0"
"76","75","268","0.268","0.36009","0.03494387","0.2804406","0.4608687","0.09704205","0"
"77","76","450","0.45","0.4080251","0.04297143","0.2812515","0.5337157","0.1053156","0"
"78","77","1026","1.026","0.3120162","0.0283247","0.2311101","0.4096461","0.09077961","0"
"79","78","1189","1.189","0.3353058","0.03751683","0.1878614","0.473573","0.1118884","0"
"80","79","137","0.137","0.3403475","0.0339999","0.2447605","0.4430286","0.09989761","0"
"81","80","1402","1.402","0.3560117","0.03279997","0.2408411","0.4580305","0.0921317","0"
"82","81","5090","5.09","0.4761866","0.08149026","0.0510875","0.6896812","0.1711309","19"
"83","82","3039","3.039","0.4497848","0.07820868","0.05689904","0.7296863","0.1738802","28"
"84","83","493","0.493","0.2932047","0.03217584","0.1702917","0.3792368","0.1097385","0"
"85","84","54","0.054","0.3502542","0.0399787","0.2648982","0.4446504","0.114142","0"
"86","85","1901","1.901","0.3597762","0.0452585","0.173265","0.5593946","0.1257963","0"
"87","86","232","0.232","0.3324154","0.04552397","0.231921","0.4480292","0.136949","0"
"88","87","203","0.203","0.3746617","0.03195549","0.2840897","0.4480292","0.08529159","0"
"89","88","278","0.278","0.3936821","0.03045276","0.3059844","0.5100641","0.07735368","0"
"90","89","2827","2.827","0.2524233","0.108876","0.03703168","0.6337283","0.431323","1"
"91","90","110","0.11","0.3239129","0.06583039","0.07541488","0.4272158","0.2032348","0"
"92","91","24328","24.328","0.2868481","0.08271413","4.250828e-07","0.5961559","0.2883551","580"
"93","92","179","0.179","0.2785871","0.03248556","0.1815093","0.3493682","0.1166083","0"
"94","93","237","0.237","0.2747933","0.03261876","0.1761032","0.3662622","0.1187029","0"
"95","94","1","0.001","0.2855764","0","0.2855764","0.2855764","0","0"
"96","95","508","0.508","0.2729342","0.02878256","0.1846178","0.363424","0.1054561","0"
"97","96","20","0.02","0.1852598","0.05106825","0.05284448","0.2525993","0.2756575","0"
"98","97","186","0.186","0.3650849","0.03611109","0.2690879","0.4666803","0.09891146","0"
"99","98","378","0.378","0.2895752","0.03259026","0.1770493","0.3799126","0.112545","0"
"100","99","2397","2.397","0.2002094","0.04969091","0.06487302","0.3553149","0.2481946","0"
"101","100","1168","1.168","0.2370336","0.03203468","0.1405582","0.3505846","0.1351482","0"
"102","101","138","0.138","0.3050843","0.0272491","0.2325968","0.3872108","0.08931661","0"
"103","102","49","0.049","0.2178735","0.02636321","0.1604257","0.2881443","0.1210024","0"
"104","103","185","0.185","0.2755437","0.02744362","0.2107022","0.3395021","0.09959805","0"
"105","104","2794","2.794","0.2678597","0.05106294","0.1108248","0.4089703","0.1906331","0"
"106","105","195","0.195","0.3149737","0.04072566","0.1866451","0.4245128","0.1292986","0"
"107","106","306","0.306","0.2299429","0.03704664","0.1152848","0.3497737","0.1611124","0"
"108","107","1039","1.039","0.3115045","0.03852318","0.1920512","0.4505971","0.1236681","0"
"109","109","218","0.218","0.1964521","0.03412198","0.1209611","0.2790891","0.1736911","3"
"110","110","474","0.474","0.2136324","0.04163827","0.03081468","0.3470706","0.1949062","0"
"111","111","164","0.164","0.2340933","0.03544599","0.1381255","0.3161208","0.1514182","0"
"112","112","805","0.8050001","0.1725678","0.03096002","0.07514461","0.2507072","0.1794079","0"
"113","113","1275","1.275","0.2216251","0.03488994","0.1233939","0.3442324","0.1574278","0"
"114","114","1693","1.693","0.1399978","0.03272983","0.04446505","0.2504369","0.2337883","11"
"115","115","1544","1.544","0.2357659","0.03774593","0.1383958","0.4097812","0.1600992","0"
"116","116","4228","4.228","0.1513512","0.04115584","0.02770618","0.2876037","0.2719228","2"
