ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	35178	35.178	0.2399827	0.1459643	2.582976e-13	1.033814	0.6082283	3077264
1	705	0.705	0.4822317	0.08601025	0.1421783	0.758077	0.1783588	0
2	297	0.297	0.6418737	0.07910094	0.2776031	0.8126379	0.1232344	0
3	763	0.763	0.5654699	0.07207657	0.3404282	0.8422288	0.1274631	0
4	220	0.22	0.7146367	0.06617311	0.5347682	0.9733883	0.09259685	0
5	195	0.195	0.7285624	0.1050803	0.159062	0.9016771	0.1442296	0
6	111	0.111	0.7610342	0.0669193	0.4716765	0.9198936	0.08793205	0
7	588	0.588	0.7821743	0.0669121	0.5250823	0.9762318	0.08554628	0
8	1635	1.635	0.7165182	0.1328735	0.1331144	0.9683231	0.1854432	21
9	1065	1.065	0.4678475	0.05785383	0.2641851	0.6742806	0.1236596	0
10	653	0.6530001	0.5798011	0.08269419	0.1280493	0.7713173	0.1426251	1
11	845	0.845	0.6245162	0.07767218	0.1701697	0.8088169	0.1243718	10
12	699	0.6990001	0.5500442	0.07029964	0.2262412	0.7585213	0.1278073	0
13	298	0.298	0.407618	0.06759197	0.1787892	0.6789014	0.1658218	1
14	412	0.412	0.4716047	0.06556652	0.3010626	0.6535759	0.1390285	0
15	3271	3.271	0.4372689	0.08560438	0.05491637	0.7559443	0.1957706	48
16	3653	3.653	0.4104134	0.07726865	0.07659856	0.6051464	0.1882703	14
17	1464	1.464	0.413778	0.0506091	0.2651626	0.6574858	0.1223098	0
18	96	0.096	0.773808	0.05633749	0.610567	0.9371328	0.07280551	0
19	3554	3.554	0.553237	0.110501	0.1157865	0.8829273	0.1997354	14
20	3244	3.244	0.5362149	0.1307531	0.08877258	0.899811	0.2438446	17
21	707	0.707	0.4230663	0.05472141	0.245613	0.5729786	0.1293448	0
22	182	0.182	0.783872	0.08319762	0.3411391	0.9644132	0.1061367	0
23	26	0.026	0.7421741	0.04809475	0.6437123	0.821524	0.06480251	0
24	296	0.296	0.6863074	0.05846159	0.4890045	0.8438283	0.0851828	0
25	4368	4.368	0.6173241	0.1042044	0.08628446	0.8855042	0.1688002	26
26	533	0.5330001	0.6502549	0.07719178	0.4458179	0.8512926	0.11871	0
27	1610	1.61	0.6170112	0.09025358	0.1544412	0.891458	0.1462754	3
28	1280	1.28	0.6641369	0.09180723	0.09756986	0.9015882	0.1382354	22
29	1399	1.399	0.4909238	0.06966785	0.2104239	0.8127267	0.1419117	0
30	33	0.033	0.728785	0.05190797	0.6117222	0.84525	0.07122535	0
31	259	0.259	0.7487143	0.07312462	0.4502609	0.9038097	0.09766692	0
32	2200	2.2	0.5330834	0.1106501	0.1009466	0.8894142	0.2075662	0
33	2710	2.71	0.4856899	0.08884548	0.08495153	0.7852685	0.1829263	11
34	1443	1.443	0.5265545	0.07707169	0.1132095	0.7225324	0.1463698	1
35	275	0.275	0.730741	0.06149543	0.5074877	0.8904805	0.0841549	0
36	932	0.932	0.6645686	0.09617967	0.1457328	0.8795506	0.144725	6
37	2088	2.088	0.6358092	0.1311684	0.1337365	0.9470853	0.2063015	8
38	1265	1.265	0.6185486	0.0865419	0.09899165	0.8784842	0.1399112	0
39	515	0.515	0.7429402	0.07756492	0.4035198	0.9150952	0.1044026	0
40	920	0.92	0.7270794	0.0900161	0.1780783	0.9597036	0.123805	0
