"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","30440","30.44","0.1864524","0.1353712","5.05536e-13","0.8046845","0.7260364","3076166"
"3","1","809","0.809","0.3564047","0.06586382","0.06082305","0.5889181","0.1848006","0"
"4","2","328","0.328","0.4558727","0.05945267","0.1707041","0.5717145","0.1304151","0"
"5","3","757","0.757","0.4047448","0.04583117","0.2722608","0.5491833","0.1132347","0"
"6","4","169","0.169","0.4956712","0.05608644","0.2772554","0.6007941","0.1131525","0"
"7","5","184","0.184","0.5088366","0.1000281","0.05982413","0.7530738","0.1965819","0"
"8","6","100","0.1","0.5155197","0.04935065","0.3012295","0.6330925","0.09572989","0"
"9","7","425","0.425","0.5338551","0.06252777","0.1018897","0.6613952","0.117125","0"
"10","8","1598","1.598","0.4871669","0.1020788","0.05016792","0.7244381","0.2095355","39"
"11","9","1196","1.196","0.3353681","0.03566544","0.1567193","0.4444079","0.1063472","0"
"12","10","683","0.683","0.4289843","0.05163947","0.08912574","0.5813707","0.1203761","3"
"13","11","931","0.9310001","0.4407496","0.05864206","0.1039985","0.5842565","0.1330508","3"
"14","12","739","0.739","0.3919493","0.03743118","0.2327481","0.5441887","0.09550007","0"
"15","13","361","0.361","0.266295","0.04170975","0.04461837","0.3428511","0.1566299","1"
"16","14","463","0.463","0.3154315","0.03336695","0.2238688","0.4324208","0.1057819","0"
"17","15","3705","3.705","0.3132554","0.0632973","0.04972395","0.5843675","0.2020629","68"
"18","16","4090","4.09","0.2829705","0.04874425","0.05205476","0.4260943","0.1722591","26"
"19","17","1461","1.461","0.287973","0.03797693","0.1341881","0.5063408","0.1318767","0"
"20","18","77","0.07700001","0.5435935","0.03348702","0.430312","0.6192186","0.06160305","0"
"21","19","3505","3.505","0.3981497","0.08022582","0.06115602","0.6738262","0.2014966","33"
"22","20","2928","2.928","0.3919825","0.09008763","0.02108828","0.688144","0.2298256","98"
"23","21","891","0.891","0.3050839","0.03443886","0.1665974","0.418325","0.1128832","0"
"24","22","139","0.139","0.5565279","0.04639067","0.3730406","0.6508511","0.0833573","0"
"25","23","29","0.029","0.5310803","0.03255514","0.4663841","0.590028","0.06129984","0"
"26","24","345","0.345","0.4777848","0.03991943","0.2781434","0.6178867","0.08355108","0"
"27","25","5058","5.058","0.4346143","0.06443596","0.03829188","0.6697195","0.1482601","35"
"28","26","578","0.578","0.4541655","0.0511286","0.3411862","0.59025","0.112577","0"
"29","27","1649","1.649","0.4317733","0.06516943","0.08257728","0.6433036","0.1509344","6"
"30","28","1348","1.348","0.4784123","0.07630734","0.07514089","0.6727163","0.1595012","7"
"31","29","1536","1.536","0.3363374","0.04124967","0.1738119","0.5245433","0.1226437","0"
"32","30","33","0.033","0.5235713","0.04143536","0.4567278","0.6315386","0.07913987","0"
"33","31","236","0.236","0.5314","0.04971948","0.2688201","0.6500741","0.0935632","0"
"34","32","2364","2.364","0.3714341","0.05919187","0.07658377","0.5864763","0.1593603","3"
"35","33","3118","3.118","0.3439873","0.05212885","0.07580683","0.5441887","0.1515429","6"
"36","34","1682","1.682","0.3706953","0.04602236","0.07391999","0.5329787","0.1241515","1"
"37","35","283","0.283","0.5199813","0.03661589","0.2889095","0.6116712","0.07041771","1"
"38","36","1055","1.055","0.4686777","0.0507508","0.1525016","0.6043459","0.1082851","13"
"39","37","2374","2.374","0.4367937","0.08483057","0.0774717","0.6379761","0.194212","25"
"40","38","1518","1.518","0.4279336","0.05543821","0.1693722","0.589473","0.1295486","2"
"41","39","545","0.545","0.540087","0.06150711","0.2371877","0.6721613","0.1138837","0"
"42","40","927","0.927","0.5132136","0.06341756","0.2631596","0.6672777","0.1235695","0"
"43","41","795","0.795","0.2957614","0.02897285","0.1915704","0.417326","0.09796021","0"
"44","42","2765","2.765","0.2651439","0.05057791","0.0344072","0.4070039","0.1907565","42"
"45","43","666","0.666","0.258693","0.03272944","0.122312","0.3592778","0.1265185","1"
"46","44","1334","1.334","0.2798192","0.03516871","0.1296374","0.3891343","0.1256837","1"
"47","45","281","0.281","0.2485358","0.03067126","0.1712591","0.3232057","0.1234078","0"
"48","46","546","0.546","0.2414653","0.03163717","0.1372958","0.3232057","0.1310216","0"
"49","47","2","0.002","0.2845253","0.004159578","0.2815841","0.2874666","0.01461936","0"
"50","49","871","0.8710001","0.1780911","0.0455808","0.04472936","0.3304201","0.2559409","85"
"51","50","14","0.014","0.3006983","0.026395","0.2530594","0.3396324","0.08777902","0"
"52","51","14206","14.206","0.3904651","0.1160504","0.08390918","0.8461952","0.2972107","0"
"53","52","288","0.288","0.2527191","0.04130997","0.05272071","0.3710428","0.163462","0"
"54","53","1072","1.072","0.3407801","0.0317101","0.2387416","0.4417441","0.09305151","0"
"55","54","623","0.623","0.3172115","0.04240817","0.1542774","0.4489585","0.1336905","0"
"56","55","768","0.768","0.3091941","0.05332654","0.05749332","0.417881","0.1724695","0"
"57","56","59","0.059","0.3632942","0.0399423","0.2532814","0.4717116","0.1099448","0"
"58","57","29587","29.587","0.2772838","0.06757786","2.747846e-07","0.6108943","0.2437137","310"
