Region,pval 
Fimbria,0.0055
Fasciculus Retroflexus,0.00607
Stria Medularis,0.0244
Longitudinal fasciculus of pons,0.0491
Lateral ventricle,0.00284
Substania nigra,0.0195
Anterior pretectal nucleus,0.00838
Left lateral orbital cortex,0.0308
Left dorsolateral orbital cortex,0.0111
Left cingulate cortex area 32,0.00839
Left cingulate cortex area 29b,0.00503
,
