ROI,voxels,volume_mm3,T1_mean,T1_std,T1_min,T1_max,T1_CoV,T1_nulls
68,948,0.9480001,0.2952962,0.03983032,0.1607659,0.4541525,0.1348826,0
69,3412,3.412,0.4128608,0.06556246,0.1673969,0.6186023,0.1588004,0
70,291,0.291,0.3501802,0.06354086,0.07308879,0.546545,0.1814519,0
71,93,0.093,0.2775545,0.0461184,0.1598819,0.3835687,0.1661598,0
72,6093,6.093,0.2887976,0.05517337,0.07647799,0.5822053,0.1910451,0
73,1508,1.508,0.3170519,0.04142117,0.1737332,0.4562155,0.1306448,0
74,165,0.165,0.332537,0.04436298,0.2055622,0.4669726,0.1334076,0
75,279,0.279,0.3386215,0.04535274,0.219119,0.4697723,0.1339334,0
76,434,0.434,0.3545795,0.03928632,0.2288446,0.4669726,0.1107969,0
77,1037,1.037,0.2899716,0.0418819,0.1556084,0.4481109,0.1444345,0
78,1269,1.269,0.3077138,0.04255599,0.1585555,0.4668252,0.1382973,0
79,138,0.138,0.3339512,0.0467277,0.2307602,0.4425114,0.1399238,0
80,1456,1.456,0.3249253,0.04603197,0.1438199,0.4889286,0.1416694,0
81,4547,4.547,0.4412784,0.08623399,0.06513155,0.6903649,0.1954186,32
82,2877,2.877,0.4682445,0.09057092,0.06513155,0.699501,0.1934265,12
83,501,0.501,0.2806624,0.0404297,0.1501562,0.4475215,0.144051,0
84,56,0.056,0.3297679,0.04710208,0.1953946,0.4459006,0.142834,0
85,2008,2.008,0.3471148,0.04749341,0.1226006,0.5203156,0.1368234,0
86,226,0.226,0.3092392,0.05389717,0.1377783,0.4703617,0.1742896,0
87,173,0.173,0.3833491,0.0492551,0.2462326,0.5070535,0.1284863,0
88,297,0.297,0.3793357,0.04125946,0.2668625,0.4836238,0.1087677,0
89,2958,2.958,0.2651586,0.07473569,0.04302808,0.5044011,0.2818528,0
90,105,0.105,0.283431,0.06840653,0.08266696,0.4747824,0.2413516,0
91,25648,25.648,0.3678361,0.09558733,3.27E-07,0.703627,0.2598639,526
92,204,0.204,0.334856,0.04501703,0.2117512,0.4619624,0.134437,0
93,239,0.239,0.3404785,0.04473459,0.2098356,0.4416272,0.1313874,0
94,3,0.003,0.3897578,0.0213316,0.3652966,0.4044934,0.05473039,0
95,543,0.543,0.3376759,0.04540496,0.2040887,0.4789084,0.1344631,0
96,17,0.017,0.1967729,0.05723114,0.1022654,0.2829244,0.2908487,0
97,195,0.195,0.383243,0.05063402,0.2578738,0.5421243,0.1321199,0
98,383,0.383,0.3142682,0.04258637,0.1959841,0.4348488,0.1355096,0
99,2374,2.374,0.238427,0.04752139,0.09475019,0.3934417,0.1993121,0
100,1324,1.324,0.2809857,0.04848336,0.1203902,0.4744877,0.1725474,0
101,132,0.132,0.3205784,0.04281599,0.2130774,0.4195238,0.1335586,0
102,52,0.052,0.2344753,0.03717634,0.1559031,0.321237,0.1585512,0
103,187,0.187,0.292579,0.04189089,0.1676916,0.4053776,0.143178,0
104,2759,2.759,0.272073,0.05392362,0.07264684,0.444427,0.1981954,0
105,166,0.166,0.3008975,0.04171072,0.2026151,0.4392695,0.138621,0
106,340,0.34,0.2386481,0.04741231,0.1332102,0.3950626,0.1986704,0
107,1013,1.013,0.3317736,0.05035578,0.1756489,0.4983595,0.1517776,0
108,2,0.002,0.4159872,0.02042255,0.4015463,0.4304281,0.04909417,0
109,268,0.268,0.2125199,0.04203343,0.09754996,0.3414246,0.1977858,0
110,604,0.604,0.2171904,0.0525393,0.08281432,0.500864,0.2419043,2
111,199,0.199,0.2361738,0.04148093,0.1377783,0.3929995,0.1756373,0
112,737,0.737,0.1848989,0.04390864,1.67E-07,0.3359725,0.2374738,0
113,1330,1.33,0.2432035,0.04365746,0.09725524,0.3962415,0.17951,0
114,1703,1.703,0.2136326,0.05307012,0.05629016,0.3847477,0.2484177,1
115,1637,1.637,0.2775698,0.0479597,0.1159695,0.4453112,0.1727843,0
116,3374,3.374,0.2069793,0.04955891,1.02E-07,0.3604337,0.239439,0
117,378,0.378,0.2605797,0.04186652,0.1551663,0.3779693,0.1606669,0
118,203,0.203,0.2474267,0.04289353,0.1433778,0.3745801,0.1733585,0
119,987,0.987,0.2322719,0.06059385,3.31E-07,0.4008095,0.2608747,27
120,1143,1.143,0.2949214,0.04656195,0.1063913,0.4243865,0.1578792,0
121,8513,8.513,0.3584778,0.08142218,0.07574121,0.733835,0.2271331,0
122,46,0.046,0.2651775,0.03441765,0.1722597,0.3426037,0.129791,0
123,428,0.428,0.3013817,0.0568182,0.1069808,0.4744877,0.1885257,0
124,429,0.429,0.4125835,0.06099231,0.2751145,0.5906046,0.1478302,0
125,399,0.399,0.2630076,0.06465834,4.99E-07,0.4198185,0.2458421,14
126,10,0.01,0.3295627,0.02493604,0.2802719,0.3561605,0.07566401,0
127,1620,1.62,0.2885218,0.04387479,0.1348311,0.5453662,0.1520675,0
129,35,0.035,0.2418161,0.06719818,0.1340944,0.3897578,0.2778896,0
131,20,0.02,0.3688995,0.07195722,0.2046781,0.5487553,0.1950591,0
132,5,0.005,0.3283691,0.05590615,0.2667151,0.4074405,0.170254,0
133,1189,1.189,0.2536567,0.05461892,0.06513184,0.4174608,0.2153262,0
134,501,0.501,0.3160502,0.06031923,0.06410005,0.4825923,0.1908533,0
135,993,0.993,0.1933025,0.04555015,0.06085821,0.3801796,0.2356418,2
136,397,0.397,0.1547344,0.03847817,0.05231159,0.2879343,0.2486723,6
137,78,0.078,0.2062348,0.04061582,0.1097805,0.2991336,0.1969397,0
139,13,0.013,0.227507,0.03180151,0.1625342,0.2624418,0.1397826,0
140,664,0.664,0.2091507,0.06155329,0.06542637,0.4375013,0.2943011,3
141,226,0.226,0.1530159,0.03616551,0.06881545,0.242254,0.2363514,7
142,113,0.113,0.2826819,0.04000627,0.1619447,0.3651493,0.141524,0
143,647,0.647,0.275687,0.06417828,0.1557558,0.5145687,0.232794,0
144,1026,1.026,0.2277888,0.0528837,0.07235201,0.4358803,0.2321611,4
145,367,0.367,0.3293152,0.05272242,0.1925949,0.5269466,0.1600971,0
146,274,0.274,0.2269887,0.04754467,0.06896281,0.4012516,0.2094584,0
147,3359,3.359,0.3157749,0.05815814,0.1363047,0.5861839,0.184176,0
148,3707,3.707,0.2632456,0.07543744,0.05570098,0.5574494,0.2865668,0
149,183,0.183,0.2820337,0.04973493,0.0652789,0.3919681,0.1763439,0
151,258,0.258,0.4610397,0.07146695,0.257137,0.6446844,0.1550126,0
152,460,0.46,0.2792474,0.05452574,0.1482406,0.4481109,0.1952596,0
153,499,0.499,0.3595377,0.04209092,0.2297287,0.510148,0.1170695,0
154,48,0.048,0.2453424,0.1128398,0.06483683,0.4622571,0.4599277,0
155,69,0.06900001,0.3519897,0.04063947,0.227371,0.4503213,0.1154564,0
156,91,0.09100001,0.3510435,0.04595455,0.1663654,0.4794978,0.1309084,0
157,390,0.39,0.298238,0.04258232,0.1741753,0.429544,0.1427797,0
158,61,0.061,0.3221163,0.03950617,0.2226556,0.4261548,0.1226457,0
160,255,0.255,0.309037,0.04135246,0.1735859,0.4177555,0.1338107,0
161,197,0.197,0.4182387,0.1665212,0.06203706,0.7750949,0.3981486,0
162,746,0.7460001,0.2258235,0.0438001,0.07412037,0.379148,0.1939573,0
163,574,0.574,0.2879049,0.04386034,0.1377783,0.4136295,0.1523431,0
164,37,0.037,0.2840076,0.04020289,0.217056,0.3775272,0.1415557,0
165,48,0.048,0.2996278,0.03773353,0.206299,0.3682437,0.1259347,0
166,851,0.851,0.2605266,0.03921914,0.1324734,0.4049355,0.150538,0
1001,817,0.817,0.3438104,0.05534323,0.1414622,0.5181052,0.1609702,0
1002,330,0.33,0.3844655,0.06395861,0.1429357,0.5468397,0.1663572,0
1003,930,0.9300001,0.3679745,0.04063198,0.2090988,0.5217891,0.1104206,0
1004,204,0.204,0.4191645,0.0635072,0.1768277,0.6430635,0.151509,1
1005,266,0.266,0.4727543,0.08503189,0.06380533,0.6818182,0.1798649,0
1006,93,0.093,0.5422416,0.04521054,0.3479086,0.6402637,0.08337712,0
1007,565,0.565,0.4708364,0.06090664,0.1567872,0.6666405,0.1293584,0
1008,1384,1.384,0.4866638,0.08831511,0.07264672,0.6692929,0.1814705,7
1009,1124,1.124,0.3531128,0.04399428,0.1485353,0.4871604,0.1245899,0
1010,628,0.628,0.5024089,0.064748,0.2229511,0.6934594,0.1288751,0
1011,780,0.78,0.5385025,0.09168575,0.2015836,0.8512781,0.1702606,0
1012,608,0.608,0.4494655,0.06747674,0.2415172,0.6853548,0.1501267,0
1013,364,0.364,0.3095137,0.04488411,0.1691652,0.4463426,0.145015,4
1014,330,0.33,0.3638881,0.04157121,0.2645048,0.4876024,0.1142418,0
1015,3508,3.508,0.3549766,0.06014579,0.09371869,0.5903099,0.1694359,89
1016,3835,3.835,0.314793,0.04971503,8.15E-07,0.4559208,0.1579293,40
1017,1560,1.56,0.3201574,0.03569004,0.1373362,0.436175,0.1114765,0
1018,72,0.072,0.5113534,0.03701219,0.4386801,0.5975304,0.07238083,0
1019,3562,3.562,0.3865065,0.05946648,0.0686681,0.5718904,0.1538563,17
1020,3315,3.315,0.3689583,0.06742629,0.06748925,0.6356957,0.1827478,67
1021,667,0.6670001,0.3388339,0.04327804,0.2141089,0.4774348,0.1277264,0
1022,197,0.197,0.5016662,0.05211962,0.3056172,0.6508734,0.103893,0
1023,5,0.005,0.507024,0.01973323,0.4749298,0.5207577,0.03891971,0
1024,329,0.329,0.5329466,0.05397688,0.4027251,0.7154155,0.1012801,0
1025,4790,4.79,0.4692407,0.08097616,7.47E-07,0.7618324,0.1725685,22
1026,599,0.599,0.4680936,0.05835564,0.3288996,0.7101107,0.1246666,0
1027,1580,1.58,0.4270728,0.06106694,0.09769732,0.6457159,0.1429896,0
1028,1243,1.243,0.4351158,0.05799805,0.1220111,0.6443897,0.1332934,8
1029,1355,1.355,0.3865115,0.04382508,0.2547793,0.5349039,0.1133862,0
1030,31,0.031,0.4888668,0.04537424,0.3901998,0.5883942,0.09281514,0
1031,265,0.265,0.4983239,0.04278057,0.367949,0.6087294,0.08584893,0
1032,1914,1.914,0.4039853,0.0590013,1.57E-06,0.6796079,0.1460481,10
1033,2692,2.692,0.3634066,0.05949789,1.10E-06,0.5985618,0.1637226,18
1034,1372,1.372,0.464045,0.08236191,0.2444643,0.6930173,0.1774869,0
1035,330,0.33,0.5398241,0.04925,0.4022831,0.7112895,0.09123341,0
1036,1048,1.048,0.55633,0.05945899,0.2382754,0.7341298,0.1068772,1
1037,2107,2.107,0.5396438,0.06979094,0.08163547,0.7440026,0.1293278,13
1038,1245,1.245,0.5655821,0.06021357,0.2889671,0.8816336,0.106463,2
1039,572,0.572,0.547576,0.05732779,0.3022281,0.7202783,0.1046938,0
1040,804,0.804,0.5501943,0.05340301,0.3424564,0.7182153,0.0970621,0
1041,749,0.749,0.3258526,0.04227602,0.2177928,0.4899602,0.1297397,0
1042,2657,2.657,0.3751525,0.08995665,3.75E-07,0.6321591,0.2397869,41
1043,649,0.649,0.2979072,0.04143646,0.1759436,0.4161346,0.1390918,1
1044,1299,1.299,0.345003,0.05895455,0.1059493,0.4924652,0.1708813,4
1045,296,0.296,0.3014618,0.04166857,0.1694604,0.4159872,0.1382217,0
1046,584,0.5840001,0.2811302,0.04077338,0.1469147,0.4096509,0.1450338,0
1047,69,0.06900001,0.2903328,0.03363608,0.2176455,0.3825373,0.1158535,0
1048,1,0.001,0.326689,0,0.326689,0.326689,0,0
1049,902,0.9020001,0.1985717,0.05837018,6.07E-13,0.3322888,0.2939501,93
1050,57,0.057,0.3146395,0.03992749,0.1672496,0.3764957,0.1268991,0
1051,13556,13.556,0.4316104,0.1146626,0.09931824,0.8968112,0.2656624,0
1052,198,0.198,0.2713234,0.0447787,0.1379256,0.3925576,0.1650381,0
1053,1048,1.048,0.4045092,0.08935022,0.1718177,0.6579465,0.2208855,0
1054,643,0.643,0.440286,0.05970147,0.1759436,0.6351063,0.135597,0
1055,861,0.8610001,0.37074,0.082943,0.0663104,0.6492525,0.2237228,1
1056,46,0.046,0.4550464,0.0490134,0.3368568,0.54404,0.1077108,0
1057,28683,28.683,0.299834,0.06611656,1.58E-07,0.5792581,0.2205106,431
1058,89,0.089,0.2674777,0.04431713,0.1691652,0.3831266,0.1656853,3
1059,5421,5.421,0.2590849,0.04801939,1.65E-07,0.4058196,0.1853423,14
1060,3104,3.104,0.2718186,0.04878538,0.06807905,0.4202605,0.1794777,2
1061,257,0.257,0.302017,0.04010058,0.1617974,0.4159872,0.1327759,0
1062,3495,3.495,0.2768594,0.04393217,3.61E-07,0.4285125,0.1586804,0
1063,831,0.831,0.3175504,0.04103814,0.1990785,0.4447217,0.1292335,0
1064,10402,10.402,0.3144237,0.04170517,0.1330629,0.5571547,0.13264,0
1065,6325,6.325,0.2555522,0.06448349,8.43E-08,0.4812661,0.2523301,19
1066,2112,2.112,0.2794098,0.03417489,0.155019,0.3792955,0.122311,0
1067,278,0.278,0.302908,0.0487461,0.191416,0.4625519,0.1609271,0
1068,1094,1.094,0.3062148,0.03917589,0.1819852,0.427481,0.127936,0
1069,3676,3.676,0.433649,0.07647871,0.1978997,0.6878598,0.1763609,0
1070,310,0.31,0.3892321,0.04891177,0.2054149,0.5033696,0.1256622,0
1071,113,0.113,0.287975,0.04883133,0.1218639,0.4002201,0.169568,0
1072,5601,5.601,0.2994463,0.0569939,0.0848773,0.5680591,0.1903309,0
1073,902,0.9020001,0.3450137,0.04381262,0.1329155,0.4806767,0.126988,0
1074,127,0.127,0.3694945,0.04580143,0.2600841,0.4995383,0.123957,0
1075,240,0.24,0.3645182,0.0516099,0.1323261,0.4796452,0.1415839,0
1076,484,0.484,0.3903652,0.04481776,0.2565476,0.5139793,0.1148098,0
1077,869,0.869,0.3117574,0.04475811,0.1861112,0.4478162,0.1435671,0
1078,946,0.946,0.3345066,0.04639762,0.1526613,0.4930546,0.1387046,0
1079,152,0.152,0.3537165,0.06776588,0.1475038,0.4556261,0.1915825,0
1080,1403,1.403,0.3442709,0.04565553,0.2155825,0.4772875,0.1326151,0
1081,4312,4.312,0.4782776,0.08438046,0.09637111,0.7112895,0.1764257,36
1082,2738,2.738,0.5300769,0.08681102,0.08281432,0.7833468,0.1637706,7
1083,528,0.528,0.3057292,0.04514531,0.1595873,0.4641728,0.1476644,0
1084,55,0.055,0.3232786,0.04616787,0.2387174,0.4347015,0.1428114,0
1085,2018,2.018,0.3809848,0.05721232,0.1364521,0.6265596,0.1501696,0
1086,169,0.169,0.3022141,0.04966567,0.1581134,0.4638781,0.1643394,0
1087,272,0.272,0.4432238,0.05036575,0.2852821,0.5605439,0.113635,0
1088,311,0.311,0.4391433,0.04862433,0.2953023,0.5661435,0.1107254,0
1089,3052,3.052,0.278111,0.07585666,0.04273337,0.5228207,0.2727568,0
1090,82,0.082,0.2886155,0.06256178,0.1644498,0.4227656,0.2167651,0
1091,24980,24.98,0.4245222,0.1099184,2.52E-07,0.7665482,0.2589227,730
1092,196,0.196,0.4056107,0.05264701,0.267894,0.5313673,0.1297969,0
1093,242,0.242,0.412793,0.05200285,0.2852821,0.5362301,0.1259781,0
1094,2,0.002,0.4068511,0.03438492,0.3825373,0.4311649,0.08451474,0
1095,506,0.506,0.377411,0.04886599,0.2444643,0.5425664,0.1294768,0
1096,14,0.014,0.235023,0.04300374,0.1592924,0.3165216,0.1829767,0
1097,215,0.215,0.4345268,0.05039049,0.2897027,0.6082874,0.1159664,0
1098,403,0.403,0.3517102,0.04451774,0.2172034,0.4848027,0.1265751,0
1099,2652,2.652,0.2568282,0.05242706,0.08664586,0.4319017,0.2041328,0
