ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	30110	30.11	0.2520092	0.1549047	2.376584e-13	1.13669	0.6146786	3074899
1	808	0.808	0.5192181	0.09247681	0.1972496	0.8345371	0.1781078	0
2	309	0.309	0.6400825	0.07496654	0.4229133	0.9228237	0.1171201	0
3	832	0.832	0.5818526	0.06181813	0.388791	0.7887447	0.1062436	0
4	236	0.236	0.6847764	0.07829194	0.3994463	0.8862913	0.1143321	0
5	180	0.18	0.6587715	0.05846179	0.4267188	0.8181736	0.08874366	0
6	96	0.096	0.6458086	0.0839671	0.09120416	0.7963557	0.1300185	0
7	600	0.6	0.7113566	0.07081846	0.4753018	0.9107731	0.0995541	0
8	1593	1.593	0.6359701	0.1409586	0.09323373	0.9506036	0.2216435	14
9	1162	1.162	0.502703	0.05216703	0.2436762	0.7182169	0.1037731	0
10	582	0.582	0.5296537	0.08758093	0.1827889	0.8583846	0.1653551	3
11	805	0.8050001	0.5814027	0.1184254	0.1706114	0.9668402	0.2036892	7
12	689	0.689	0.4808342	0.05796196	0.2415198	0.6734393	0.1205446	2
13	340	0.34	0.4063667	0.07166727	0.07712396	0.5671402	0.1763611	4
14	476	0.476	0.4652785	0.0581894	0.268158	0.6900565	0.1250636	0
15	3318	3.318	0.4699661	0.0961419	0.07141577	0.7920428	0.204572	45
16	4012	4.012	0.38436	0.07433917	0.04376277	0.8231207	0.1934102	5
17	1547	1.547	0.4554233	0.08235366	0.2076512	0.7661657	0.1808288	0
18	89	0.089	0.7101712	0.06534681	0.5259144	0.8347908	0.09201556	0
19	3494	3.494	0.5606143	0.1077048	0.1224089	0.9063334	0.1921193	13
20	3296	3.296	0.550586	0.1137312	0.1219015	0.8975809	0.2065639	25
21	770	0.77	0.4641009	0.06821071	0.2819845	0.739908	0.1469739	0
22	173	0.173	0.7206602	0.07772222	0.2879464	0.8752555	0.1078486	0
23	35	0.035	0.6856567	0.05775886	0.5662522	0.8394842	0.08423875	0
24	332	0.332	0.6270019	0.07531664	0.3696369	0.9171156	0.1201219	2
25	4642	4.642	0.6172572	0.1320858	0.0918384	1.053351	0.2139883	17
26	646	0.646	0.6322221	0.08321793	0.4317927	0.9686161	0.1316277	0
27	1723	1.723	0.6127067	0.09543153	0.1234237	0.9206673	0.155754	5
28	1349	1.349	0.6664884	0.1206409	0.1723873	1.011237	0.1810097	14
29	1493	1.493	0.4839197	0.06079794	0.303295	0.7149189	0.1256364	0
30	37	0.037	0.6971669	0.06197656	0.5906072	0.8104358	0.08889774	0
31	280	0.28	0.7200257	0.08505063	0.439911	0.984599	0.1181217	0
32	1936	1.936	0.4957683	0.09122981	0.1170813	0.8043471	0.184017	9
33	2920	2.92	0.4362983	0.07570551	0.07775821	0.7542419	0.1735177	8
34	1549	1.549	0.4552937	0.06928973	0.1413094	0.7255741	0.1521869	1
35	285	0.285	0.6795972	0.07650135	0.4168246	0.882359	0.1125687	0
36	979	0.979	0.5884433	0.1044378	0.1083287	1.009081	0.1774814	6
37	2141	2.141	0.5551192	0.1209174	0.1140369	0.8585115	0.2178225	8
38	1350	1.35	0.5479909	0.09138498	0.09944932	0.9460371	0.1667637	0
39	563	0.563	0.6818797	0.0904654	0.2585175	0.9048112	0.1326706	4
40	901	0.901	0.643276	0.0961867	0.2114567	0.9419779	0.1495263	0
41	793	0.793	0.4477198	0.05825574	0.2988554	0.6572027	0.1301165	0
42	2584	2.584	0.3475871	0.08195797	0.06608813	0.6961452	0.2357911	29
43	608	0.608	0.3119373	0.05453714	0.09919562	0.46008	0.1748336	1
44	1238	1.238	0.3345252	0.06403326	0.0873987	0.7305212	0.1914154	1
45	314	0.314	0.3065054	0.05224002	0.1905266	0.4709889	0.1704375	0
46	538	0.538	0.3035353	0.05146105	0.1734021	0.5081556	0.1695389	0
47	4	0.004	0.3963702	0.06898508	0.3412228	0.4869719	0.174042	0
49	915	0.915	0.2698289	0.05642592	3.462226e-07	0.4323001	0.2091174	70
50	9	0.009000001	0.3777552	0.05774511	0.2725977	0.4588115	0.1528638	0
51	14116	14.116	0.5087293	0.1682187	0.1088361	1.27115	0.3306644	0
52	204	0.204	0.3750943	0.06326403	0.1997866	0.5942858	0.1686617	0
53	944	0.9440001	0.4332076	0.06105729	0.2438031	0.6901833	0.1409423	0
54	451	0.451	0.4388025	0.0716274	0.2169112	0.6856168	0.1632338	0
55	698	0.698	0.3740079	0.08642563	0.07763135	0.5791908	0.2310797	0
56	44	0.044	0.4941042	0.06889045	0.3478189	0.6204166	0.1394249	0
57	29031	29.031	0.419364	0.1229388	3.31706e-07	0.9792714	0.2931553	354
58	104	0.104	0.2829322	0.06124165	0.1153057	0.4323001	0.2164534	0
59	5752	5.752	0.3359521	0.07615174	5.063899e-07	0.6655747	0.2266744	26
60	3134	3.134	0.3567211	0.07451236	4.913894e-07	0.709718	0.2088812	2
61	286	0.286	0.3970016	0.05441174	0.2481159	0.5366966	0.1370568	0
62	3641	3.641	0.3789677	0.07188005	0.0730648	0.7260815	0.1896733	0
63	1060	1.06	0.4378884	0.06163915	0.2625766	0.6272665	0.1407645	0
64	11313	11.313	0.4245813	0.07514656	0.1775881	1.04777	0.1769898	0
65	5854	5.854	0.3353555	0.07272221	2.308151e-07	0.6522556	0.2168511	39
66	1835	1.835	0.3586968	0.05362543	0.197757	0.5746242	0.1495007	0
67	308	0.308	0.4248412	0.06602619	0.2451984	0.6385559	0.1554138	0
68	881	0.881	0.3988713	0.06212621	0.1882434	0.5950469	0.155755	0
69	4014	4.014	0.5162854	0.08773834	0.1127684	0.8072646	0.1699415	0
70	274	0.274	0.5482485	0.08814074	0.1134027	0.7593158	0.1607679	0
71	102	0.102	0.3777875	0.0611719	0.1987718	0.5189377	0.1619214	0
72	6074	6.074	0.4141593	0.1002161	0.1009715	1.16853	0.2419748	0
73	1408	1.408	0.4436316	0.05603167	0.2595323	0.6540315	0.1263022	0
74	116	0.116	0.4970313	0.05735866	0.355303	0.6363996	0.1154025	0
75	246	0.246	0.4582417	0.06423649	0.2810965	0.6377949	0.1401804	0
76	435	0.435	0.5091521	0.0712491	0.3258741	0.8412601	0.1399368	0
77	1101	1.101	0.402988	0.05332353	0.2118372	0.5862944	0.1323204	0
78	1333	1.333	0.442796	0.06224264	0.2670164	0.7731423	0.1405673	0
79	119	0.119	0.4396967	0.07367579	0.1964885	0.6313256	0.1675605	0
80	1472	1.472	0.4629481	0.05643093	0.2479891	0.6659552	0.1218947	0
81	5564	5.564	0.6045135	0.122376	0.05771612	1.701547	0.2024371	10
82	3141	3.141	0.5520676	0.09774062	0.08600336	0.8842617	0.1770446	20
83	542	0.5420001	0.3690717	0.05526239	0.1988986	0.5208405	0.1497335	0
84	77	0.07700001	0.4636135	0.06657862	0.3313286	0.6462938	0.143608	0
85	2038	2.038	0.4636968	0.07501966	0.142451	0.9266292	0.161786	0
86	214	0.214	0.4277622	0.07602508	0.2322598	0.6805429	0.1777274	0
87	174	0.174	0.4690717	0.04992512	0.2982211	0.591622	0.1064339	0
88	252	0.252	0.4968192	0.05814787	0.3338656	0.686251	0.1170403	0
89	2975	2.975	0.3418012	0.1325124	0.05961885	0.9173692	0.3876885	0
90	124	0.124	0.3904564	0.1177461	0.1068065	0.6706487	0.3015601	0
91	25700	25.7	0.3711385	0.1050201	4.23403e-07	0.8895894	0.2829673	535
92	249	0.249	0.363779	0.06050826	0.1721336	0.5236311	0.1663325	0
93	274	0.274	0.3780598	0.05717017	0.2259174	0.5469713	0.1512199	0
94	3	0.003	0.419277	0.08481578	0.3219418	0.4773314	0.2022906	0
95	606	0.606	0.3662214	0.05191094	0.2162769	0.5384724	0.1417474	0
96	17	0.017	0.3057798	0.06180801	0.2257905	0.4146681	0.2021324	0
97	215	0.215	0.4546572	0.0570984	0.3214344	0.637668	0.1255856	0
98	401	0.401	0.3730972	0.05285636	0.2356847	0.5477324	0.1416691	0
99	3065	3.065	0.2811543	0.06452459	0.09703919	0.5191914	0.2294988	0
100	1496	1.496	0.3196737	0.0534301	0.1593219	0.4844349	0.1671395	0
101	132	0.132	0.3844369	0.05530875	0.2462132	0.5260412	0.1438695	0
102	67	0.067	0.2887188	0.05268367	0.1689626	0.3849856	0.182474	0
103	253	0.253	0.3567596	0.04926419	0.2147547	0.5032085	0.1380879	0
104	3136	3.136	0.3507673	0.06871564	0.1363623	0.6081123	0.1959009	0
105	220	0.22	0.4031947	0.06003959	0.2511603	0.5568655	0.1489097	0
106	421	0.421	0.3049393	0.05554302	0.1473981	0.4706084	0.1821445	0
107	1088	1.088	0.386999	0.06114879	0.1585608	0.5520452	0.1580076	0
109	283	0.283	0.2747196	0.05923363	0.140802	0.4832929	0.2156149	0
110	495	0.495	0.2956025	0.05690435	0.1098509	0.5082824	0.1925029	2
111	222	0.222	0.3178301	0.05493557	0.161732	0.4504395	0.1728457	0
112	972	0.9720001	0.241239	0.05868874	0.06976674	0.4211374	0.2432805	0
113	1635	1.635	0.3039662	0.05480054	0.1352206	0.4728917	0.180285	0
114	1643	1.643	0.2202971	0.05610853	0.06456595	0.4197421	0.2546948	0
115	1997	1.997	0.3151383	0.05792174	0.1306541	0.5183035	0.1837978	0
116	4428	4.428	0.2205371	0.05915995	2.175081e-07	0.4339489	0.268254	12
117	411	0.411	0.2770068	0.04594861	0.1593219	0.3981778	0.1658754	0
118	227	0.227	0.3462928	0.05175135	0.2000403	0.4907773	0.1494439	0
119	1036	1.036	0.3223866	0.09276529	3.863854e-07	0.6188945	0.2877455	25
120	926	0.9260001	0.4803895	0.1071974	0.1758122	0.8525496	0.2231467	0
121	8811	8.811001	0.5062883	0.1102093	0.1227895	1.001977	0.217681	0
122	50	0.05	0.385252	0.06131521	0.239617	0.5112	0.1591561	0
123	426	0.426	0.4383173	0.07801946	0.2183065	0.6805429	0.1779977	0
124	487	0.487	0.5921619	0.07412763	0.3894253	0.7873494	0.1251814	0
125	436	0.436	0.3422152	0.1109379	0.07395275	0.6440105	0.3241758	6
126	8	0.008	0.4863852	0.07672533	0.3437598	0.579064	0.157746	0
127	1789	1.789	0.4101229	0.05966996	0.176827	0.6178796	0.1454929	0
129	37	0.037	0.3807105	0.08396891	0.2029578	0.5438001	0.2205584	0
131	16	0.016	0.5233933	0.08028756	0.4102285	0.6626572	0.1533982	0
132	3	0.003	0.5087475	0.02256562	0.4879867	0.5327642	0.04435525	0
133	1216	1.216	0.3506893	0.07279731	0.08486173	0.602531	0.2075835	0
134	461	0.461	0.4087152	0.08454685	0.08524227	0.6849825	0.2068601	0
135	1104	1.104	0.2294524	0.05438026	0.06583443	0.4277336	0.2370001	1
136	405	0.405	0.2028989	0.055345	0.06837141	0.3829559	0.2727713	4
137	97	0.097	0.2531036	0.0509903	0.1135295	0.366212	0.2014602	0
