ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	31815	31.815	0.2831066	0.1835715	6.11808e-13	1.340584	0.6484184	3084321
1	705	0.705	0.5541694	0.08403658	0.152826	0.7366339	0.1516442	0
2	310	0.31	0.645595	0.06717336	0.3667184	0.8581273	0.1040488	0
3	785	0.785	0.6034359	0.04899172	0.3232365	0.8079314	0.08118795	0
4	174	0.174	0.6922277	0.06614659	0.5297753	0.858447	0.09555612	0
5	180	0.18	0.7490459	0.1092171	0.1013511	0.8616442	0.1458083	0
6	97	0.097	0.8081192	0.09914332	0.1627373	0.9847363	0.122684	0
7	494	0.494	0.7822285	0.07320375	0.5815699	1.136283	0.09358359	0
8	1446	1.446	0.7624742	0.128362	0.1863965	1.112944	0.1683493	28
9	1198	1.198	0.6028385	0.05372128	0.3209984	0.8047341	0.08911389	0
10	645	0.645	0.6371076	0.06819664	0.2030219	0.7967411	0.107041	3
11	784	0.784	0.6451922	0.09418949	0.1604992	0.9191937	0.1459867	4
12	699	0.6990001	0.5923123	0.06062657	0.3050125	0.7913059	0.1023557	0
13	337	0.337	0.4915911	0.05581098	0.2174093	0.6461532	0.1135313	2
14	395	0.395	0.5606894	0.05209736	0.4169143	0.751341	0.09291661	0
15	3542	3.542	0.5855307	0.1042547	0.1010314	0.9361389	0.1780517	70
16	3582	3.582	0.4380125	0.07826465	0.07225662	0.6324053	0.1786813	13
17	1482	1.482	0.5179154	0.07013382	0.2327558	0.7481438	0.1354156	0
18	94	0.094	0.7872584	0.05666152	0.6340039	0.9466896	0.07197322	0
19	3424	3.424	0.5923307	0.08658048	0.07929045	0.9076838	0.1461692	31
20	3176	3.176	0.5892565	0.09561776	0.1023103	0.9243093	0.1622685	67
21	586	0.586	0.5753093	0.08089264	0.2724011	0.7698847	0.1406072	0
22	170	0.17	0.7727979	0.1007308	0.3158829	0.9581995	0.1303457	0
23	33	0.033	0.7632772	0.04916862	0.6755674	0.8517329	0.06441778	0
24	253	0.253	0.7063479	0.05948771	0.5083541	0.9044867	0.0842187	1
25	4275	4.275	0.6401051	0.1104524	0.0914398	0.9908109	0.1725535	22
26	686	0.686	0.6798784	0.08868864	0.4207509	0.9198332	0.1304478	0
27	1888	1.888	0.661991	0.1083333	0.1726486	1.018627	0.1636477	8
28	1327	1.327	0.6594977	0.09560052	0.1531457	0.9127994	0.1449596	8
29	1404	1.404	0.5601819	0.05792742	0.2644081	0.8578076	0.1034082	0
30	33	0.033	0.7240292	0.05543701	0.5978756	0.8411822	0.07656737	0
31	276	0.276	0.7505604	0.07324763	0.3168421	0.9016092	0.09759058	0
32	1967	1.967	0.5406982	0.07511942	0.1010314	0.8015369	0.1389304	7
33	2721	2.721	0.4952667	0.07531834	0.09879334	0.7778777	0.1520763	15
34	1388	1.388	0.6083487	0.08134026	0.2116544	0.8092102	0.1337066	0
35	288	0.288	0.766803	0.06596952	0.4367369	0.9591587	0.0860319	0
36	932	0.932	0.73602	0.07119026	0.2298784	0.9211121	0.09672327	18
37	1961	1.961	0.7401566	0.09904972	0.165295	0.9949673	0.1338226	41
38	1246	1.246	0.7170684	0.09209972	0.1096638	1.069782	0.1284392	1
39	538	0.538	0.8203111	0.1035817	0.2023825	1.045803	0.1262712	1
40	845	0.845	0.814582	0.09318699	0.407003	1.158983	0.1143985	4
41	658	0.6580001	0.5324779	0.05784475	0.3795071	0.7129746	0.1086331	0
42	2265	2.265	0.4897615	0.1065679	0.05563121	0.7542185	0.2175914	24
43	606	0.606	0.4073365	0.05393736	0.1963078	0.5499176	0.1324147	0
44	1257	1.257	0.4611	0.06431123	0.1953487	0.6563843	0.1394735	4
45	222	0.222	0.4162332	0.05493203	0.1787232	0.5601487	0.1319742	0
46	469	0.469	0.3915136	0.0480784	0.2381911	0.5694205	0.1228014	0
47	6	0.006	0.4702009	0.02915847	0.4338594	0.5192246	0.0620128	0
49	931	0.9310001	0.2919675	0.07760584	3.067378e-07	0.472865	0.265803	66
50	6	0.006	0.4351916	0.02697298	0.4002889	0.4655117	0.06197954	0
51	13586	13.586	0.5998884	0.1631609	0.08792288	1.514512	0.2719854	0
52	169	0.169	0.4203707	0.06221614	0.1857571	0.574536	0.148003	0
53	845	0.845	0.5553032	0.07816255	0.3018153	0.7922651	0.1407565	0
54	478	0.478	0.5613921	0.08301963	0.1684922	0.8673992	0.1478817	0
55	674	0.674	0.493953	0.08971817	0.0735355	0.6995464	0.181633	0
56	43	0.043	0.6143078	0.08696997	0.3392225	0.8549301	0.1415739	0
57	27916	27.916	0.4746835	0.1418864	4.073575e-07	1.124134	0.2989073	371
58	103	0.103	0.3523906	0.04992942	0.2206065	0.4878921	0.1416877	1
59	5640	5.64	0.3632634	0.07304221	0.0636242	0.7762791	0.2010723	48
60	2825	2.825	0.3772786	0.06501703	0.05243401	0.5793319	0.1723316	5
61	268	0.268	0.4454469	0.04339899	0.3222773	0.5582303	0.09742799	0
62	3570	3.57	0.4034441	0.05860588	0.07385522	0.6423166	0.145264	0
63	1090	1.09	0.4675475	0.05445987	0.2957406	0.662459	0.1164799	0
64	11117	11.117	0.449564	0.05272465	0.2260417	0.7829932	0.1172795	0
