"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","33358","33.358","0.2680691","0.1845305","5.81232e-08","1.18832","0.6883693","3074776"
"3","1","790","0.79","0.4776033","0.07862092","0.1423624","0.7165143","0.1646155","0"
"4","2","298","0.298","0.6555861","0.08223771","0.4244132","0.926001","0.1254415","0"
"5","3","760","0.7600001","0.5464195","0.06654783","0.3796945","0.8052142","0.1217889","0"
"6","4","186","0.186","0.7170528","0.06881785","0.4732812","0.8589689","0.09597319","0"
"7","5","183","0.183","0.7825981","0.07828378","0.3185635","0.949605","0.1000306","0"
"8","6","91","0.09100001","0.7864239","0.06063478","0.5507322","0.9207453","0.0771019","0"
"9","7","537","0.537","0.8154302","0.06582034","0.4507835","1.025304","0.08071855","0"
"10","8","1469","1.469","0.7226167","0.1587856","0.1483556","1.081364","0.2197369","12"
"11","9","1255","1.255","0.439828","0.04344236","0.2809444","0.5877059","0.09877124","0"
"12","10","589","0.589","0.489731","0.06262299","0.1486322","0.6261548","0.1278722","2"
"13","11","751","0.751","0.550461","0.08255892","0.1454051","0.7736806","0.1499814","2"
"14","12","702","0.702","0.4571469","0.04991292","0.2086568","0.628091","0.1091836","0"
"15","13","389","0.389","0.3336614","0.04070339","0.1493699","0.4559469","0.1219901","0"
"16","14","444","0.444","0.3993385","0.04413395","0.2931153","0.5586617","0.1105176","0"
"17","15","3647","3.647","0.3784353","0.07390834","0.06408151","0.580514","0.1952998","38"
"18","16","3734","3.734","0.3414399","0.05375464","0.08270665","0.5032473","0.1574351","43"
"19","17","1688","1.688","0.3590645","0.03954362","0.184315","0.4967931","0.1101296","0"
"20","18","83","0.083","0.7626083","0.0500412","0.6563975","0.8952049","0.06561849","0"
"21","19","3418","3.418","0.5192291","0.1072284","0.1850527","0.8540821","0.2065146","58"
"22","20","2972","2.972","0.5211336","0.1245127","0.06334388","0.9241568","0.2389266","61"
"23","21","849","0.849","0.4052534","0.05205937","0.2249768","0.698719","0.1284613","0"
"24","22","149","0.149","0.7787659","0.05633823","0.5671445","0.9082056","0.07234295","0"
"25","23","31","0.031","0.7207884","0.04029882","0.6488369","0.7946108","0.05590936","0"
"26","24","248","0.248","0.6075824","0.05083574","0.4548405","0.7585592","0.08366888","0"
"27","25","4296","4.296","0.5485616","0.08704714","0.1171908","0.929689","0.1586825","39"
