ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	29936	29.936	0.2614107	0.177248	8.845347e-13	1.012381	0.6780441	3091843
1	655	0.655	0.5288472	0.09258613	0.1556299	0.7409453	0.1750716	0
2	280	0.28	0.7076315	0.08770525	0.3393816	0.8895885	0.123942	0
3	809	0.809	0.5989283	0.06013033	0.3806034	0.7940446	0.1003965	0
4	225	0.225	0.7657388	0.06374511	0.5234826	0.9107234	0.08324654	0
5	175	0.175	0.7972625	0.09113253	0.3484644	0.9751762	0.1143068	0
6	119	0.119	0.8232878	0.05343727	0.6015595	0.9732549	0.06490716	0
7	565	0.565	0.8682769	0.05482972	0.6675844	1.005569	0.06314774	0
8	1602	1.602	0.77804	0.1243588	0.2742301	1.064607	0.1598359	17
9	1109	1.109	0.4873172	0.04343271	0.2709114	0.6183277	0.08912616	0
10	685	0.6850001	0.5883683	0.08104912	0.0981639	0.746884	0.1377524	2
11	844	0.844	0.6357334	0.07325956	0.1678568	0.803302	0.1152363	5
12	763	0.763	0.5844108	0.05448267	0.3617392	0.7984114	0.09322667	0
13	307	0.307	0.400983	0.05560158	0.1353684	0.5561457	0.1386632	2
14	361	0.361	0.4758288	0.04850906	0.3374602	0.6183277	0.1019465	0
15	3493	3.493	0.4380787	0.07357952	0.06585016	0.6488948	0.1679596	48
16	3680	3.68	0.4182318	0.0618391	0.06095943	0.5694205	0.1478585	49
17	1389	1.389	0.4365862	0.05361329	0.2847102	0.689942	0.1228011	0
18	88	0.08800001	0.8260685	0.04425743	0.7170157	0.9582334	0.05357598	0
19	3357	3.357	0.5907072	0.1139711	0.1173775	0.928365	0.1929401	32
20	3229	3.229	0.5656313	0.1277432	0.04995529	0.901466	0.2258417	35
21	607	0.6070001	0.4392283	0.04352788	0.2974611	0.5365827	0.09910079	0
22	161	0.161	0.8360313	0.08767022	0.319644	0.9559627	0.1048648	0
23	33	0.033	0.8072824	0.04556402	0.689942	0.8834751	0.05644124	0
24	304	0.304	0.7172898	0.06032659	0.4295107	0.8876671	0.08410352	0
25	4297	4.297	0.6447557	0.112025	0.08366638	1.029324	0.173748	32
26	547	0.5470001	0.6936912	0.08616591	0.5164958	0.9725562	0.1242136	0
27	1674	1.674	0.6665046	0.09612644	0.1806076	1.005219	0.1442247	11
28	1260	1.26	0.6937533	0.1068686	0.1165041	0.8930818	0.1540441	6
29	1301	1.301	0.5085146	0.05656511	0.2875049	0.6958807	0.111236	0
30	34	0.034	0.7979593	0.04384281	0.7149196	0.8834751	0.05494367	0
31	250	0.25	0.8082683	0.05389004	0.5957955	0.980067	0.06667345	0
32	1903	1.903	0.540441	0.07211823	0.1509139	0.7219064	0.1334433	8
33	2725	2.725	0.4960808	0.0716363	0.1020066	0.6892433	0.1444045	10
34	1445	1.445	0.5576575	0.06617973	0.1432285	0.7561415	0.1186745	2
35	250	0.25	0.7940742	0.05373049	0.5014743	0.9212036	0.06766432	0
36	957	0.957	0.722595	0.08617052	0.1512632	0.9135181	0.1192515	12
37	2061	2.061	0.7059038	0.1168533	0.05379801	0.9901978	0.1655372	26
38	1345	1.345	0.6607304	0.08284349	0.1233162	0.9942151	0.1253817	0
39	520	0.52	0.8363141	0.08396894	0.3675033	0.9903724	0.1004036	0
40	907	0.9070001	0.8052766	0.08594503	0.3283775	1.050459	0.1067273	0
41	655	0.655	0.4336987	0.03467873	0.3301241	0.5454909	0.07996043	0
42	2376	2.376	0.4181029	0.09253535	0.08052234	0.6824312	0.221322	18
43	601	0.601	0.371222	0.04717124	0.128731	0.5033957	0.1270701	0
44	1233	1.233	0.4190742	0.05345589	0.1063733	0.5832193	0.1275571	0
45	231	0.231	0.3561052	0.0435553	0.2113493	0.48261	0.1223102	0
46	444	0.444	0.3431277	0.0412895	0.2281175	0.4714313	0.1203328	0
47	6	0.006	0.4080847	0.03421614	0.3699486	0.4604271	0.08384569	0
49	956	0.956	0.2650381	0.06513594	1.992263e-07	0.4031357	0.2457607	51
50	9	0.009000001	0.4595343	0.04178479	0.3793808	0.5318667	0.09092856	0
51	13638	13.638	0.5440592	0.1519544	0.1402591	1.215521	0.2792975	0
52	229	0.229	0.3664088	0.04212409	0.1523113	0.5131771	0.1149648	0
53	925	0.9250001	0.5254036	0.05684741	0.2429644	0.6871473	0.1081976	0
54	500	0.5	0.4922864	0.06575824	0.2597326	0.637716	0.1335772	0
55	696	0.696	0.4555614	0.09026697	0.06986754	0.6216465	0.1981445	0
56	56	0.056	0.5473966	0.04686249	0.3964983	0.6391134	0.08560976	0
57	28204	28.204	0.4032122	0.1035145	4.927354e-07	0.7496787	0.2567247	242
58	98	0.098	0.3255471	0.04954432	0.2171134	0.4356241	0.1521879	0
59	5846	5.846	0.3197283	0.07589488	4.554221e-07	0.7129983	0.237373	15
60	3047	3.047	0.3473399	0.063779	0.06881953	0.5351854	0.1836213	1
