Region,Pval
Pontine Reticular Nucleus,0.00315
Raphe Nucleus,0.00145
Optic Tracts,0.0405
Finbria,0.0383
Left Primary Visual Cortex Monocular Area,0.0084
Left Primary Visual Cortex,0.0149
Left Primary Somatosensory Cortex Shoulder,0.0406
Left Primary Somatosensory Cortex Hindlimb,0.000275
Left Cingulate Cortex Area 29b,0.0324
