"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","30371","30.371","0.2535651","0.1483161","4.551728e-13","1.023656","0.5849231","3098705"
"3","1","748","0.748","0.4801274","0.08111855","0.1418413","0.6968999","0.1689521","0"
"4","2","339","0.339","0.570284","0.09207156","0.1241703","0.773895","0.1614486","0"
"5","3","776","0.776","0.5251315","0.05947744","0.3425333","0.7216709","0.113262","0"
"6","4","206","0.206","0.6148708","0.07337239","0.3589421","0.7784705","0.1193298","0"
"7","5","207","0.207","0.6879356","0.07657332","0.3059291","0.8773965","0.1113089","0"
"8","6","122","0.122","0.7241994","0.08124849","0.2609628","0.9050075","0.1121908","0"
"9","7","586","0.586","0.6821386","0.07025153","0.3635176","0.9168407","0.1029872","0"
"10","8","1646","1.646","0.6454068","0.1221599","0.1126526","0.9239407","0.1892759","4"
"11","9","1111","1.111","0.4731195","0.05856557","0.2999336","0.6931133","0.123786","0"
"12","10","647","0.647","0.5767913","0.07508698","0.2712182","0.7623773","0.1301805","3"
"13","11","834","0.8340001","0.6068485","0.09714284","0.1049215","0.8261191","0.1600776","2"
"14","12","716","0.716","0.5413663","0.06417957","0.2262519","0.7303486","0.1185511","2"
"15","13","313","0.313","0.4155688","0.05394829","0.2171008","0.5407009","0.1298179","2"
"16","14","405","0.405","0.4586123","0.05038405","0.2879426","0.6364714","0.109862","0"
"17","15","3346","3.346","0.4543606","0.09149382","0.08425279","0.8011904","0.2013683","89"
"18","16","3605","3.605","0.4104115","0.06924822","0.100346","0.6004983","0.1687288","26"
"19","17","1362","1.362","0.4385867","0.06353062","0.2298807","0.792197","0.1448531","0"
"20","18","85","0.085","0.7002764","0.06357859","0.5798296","0.8616188","0.09079071","0"
"21","19","3410","3.41","0.5258701","0.1010077","0.1312703","0.8100259","0.1920772","27"
"22","20","3002","3.002","0.5190641","0.1056098","0.108866","0.8382679","0.2034619","34"
"23","21","660","0.66","0.4515626","0.06201969","0.2541783","0.7282975","0.1373446","0"
