"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","26945","26.945","0.2036075","0.1370722","1.542216e-13","0.9858168","0.6732178","3089290"
"3","1","741","0.7410001","0.4065799","0.08148623","0.06092201","0.6348153","0.2004188","0"
"4","2","308","0.308","0.5014768","0.07232258","0.1551712","0.6745413","0.1442192","0"
"5","3","857","0.8570001","0.4633234","0.04976625","0.3106089","0.6252171","0.1074115","0"
"6","4","206","0.206","0.5376011","0.0593483","0.314075","0.6849394","0.1103947","0"
"7","5","174","0.174","0.5418457","0.07484984","0.2320902","0.7355966","0.1381387","0"
"8","6","109","0.109","0.518344","0.05612212","0.3655321","0.6910716","0.1082719","0"
"9","7","517","0.517","0.5566686","0.06045362","0.1181114","0.7084017","0.1085989","0"
"10","8","1664","1.664","0.5090426","0.09755975","0.1001147","0.7481276","0.1916534","29"
"11","9","1234","1.234","0.4018741","0.04841903","0.2246249","0.5465651","0.1204831","0"
"12","10","721","0.721","0.4464736","0.06042711","0.1334419","0.6197515","0.1353431","3"
"13","11","944","0.9440001","0.46808","0.07399455","0.08278462","0.6928046","0.158081","5"
"14","12","773","0.7730001","0.4340309","0.05290305","0.1413071","0.5945562","0.1218878","3"
"15","13","309","0.309","0.3162606","0.04680004","0.08798365","0.4296535","0.1479793","1"
"16","14","412","0.412","0.3756456","0.04441356","0.263551","0.5386999","0.1182326","0"
"17","15","3492","3.492","0.3576056","0.06571044","0.059189","0.5144377","0.1837512","64"
"18","16","3905","3.905","0.3352312","0.06117425","0.0779855","0.5113716","0.1824837","42"
"19","17","1390","1.39","0.3413542","0.04499449","0.1622365","0.4733787","0.1318118","0"
"20","18","111","0.111","0.5719284","0.03992204","0.4955079","0.6741413","0.0698025","0"
"21","19","4035","4.035","0.4295079","0.08266346","0.07838544","0.7045357","0.1924609","21"
"22","20","3760","3.76","0.4271426","0.08542865","0.05692275","0.6772075","0.2000003","90"
"23","21","856","0.8560001","0.3623194","0.04993866","0.1715681","0.50204","0.1378305","0"
"24","22","217","0.217","0.5675684","0.05926596","0.3669985","0.7357299","0.1044208","0"
"25","23","37","0.037","0.5558679","0.04167277","0.4637805","0.6408142","0.07496883","0"
"26","24","358","0.358","0.5174329","0.05684789","0.2295573","0.6777407","0.1098652","0"
"27","25","5130","5.13","0.4867432","0.06808555","0.0529235","0.7230656","0.1398798","47"
"28","26","709","0.7090001","0.4894156","0.0536902","0.3411366","0.6997366","0.1097027","0"
"29","27","1961","1.961","0.4684976","0.06787308","0.1067802","0.6620103","0.1448739","1"
"30","28","1693","1.693","0.4843983","0.07198267","0.0638548","0.6776074","0.1486022","4"
"31","29","1524","1.524","0.3934296","0.04542691","0.2532863","0.547365","0.1154639","1"
"32","30","45","0.045","0.5438603","0.04182621","0.4392517","0.6282832","0.07690617","0"
"33","31","311","0.311","0.5526322","0.05289752","0.2836806","0.6876056","0.09571923","0"
"34","32","2200","2.2","0.4241138","0.06966256","0.07998513","0.6097533","0.1642544","3"
"35","33","3132","3.132","0.3913395","0.0616842","0.0763858","0.5762929","0.1576232","11"
"36","34","1575","1.575","0.404816","0.05592097","0.1105128","0.6002885","0.1381392","1"
"37","35","321","0.321","0.5312301","0.05419724","0.2156933","0.6998699","0.1020221","0"
"38","36","1061","1.061","0.479531","0.06371541","0.1513052","0.6518788","0.1328703","13"
"39","37","2253","2.253","0.454267","0.08309453","0.1066468","0.7034693","0.18292","24"
"40","38","1349","1.349","0.4592384","0.06139472","0.1487723","0.6622769","0.1336881","0"
"41","39","599","0.599","0.5361028","0.07734784","0.1402406","0.7195996","0.144278","0"
"42","40","997","0.997","0.5022854","0.07526956","0.08745041","0.697737","0.1498542","0"
"43","41","797","0.7970001","0.3501374","0.041772","0.2364894","0.4624474","0.1193018","0"
"44","42","2535","2.535","0.2890323","0.06180062","0.06278833","0.4677797","0.213819","35"
"45","43","619","0.619","0.2919192","0.05886538","0.05132379","0.7259984","0.2016496","3"
"46","44","1344","1.344","0.3103914","0.05226152","0.1155785","0.507239","0.168373","8"
"47","45","255","0.255","0.2831756","0.04286446","0.157704","0.4208551","0.1513706","0"
"48","46","497","0.497","0.2722204","0.04476614","0.1314422","0.400059","0.1644481","0"
"49","47","4","0.004","0.371431","0.0487261","0.3044767","0.4196553","0.1311848","0"
"50","49","980","0.98","0.1960726","0.06069516","1.657814e-07","0.3491351","0.3095545","77"
"51","50","11","0.011","0.3634355","0.05118018","0.283414","0.4339193","0.1408233","0"
"52","51","14067","14.067","0.4095933","0.1099483","0.1129123","0.8533081","0.2684328","0"
"53","52","283","0.283","0.2970015","0.05034005","0.09291606","0.4265874","0.1694943","0"
"54","53","977","0.9770001","0.378868","0.04672534","0.1202443","0.5597627","0.1233288","0"
"55","54","605","0.605","0.3366241","0.04992649","0.1863654","0.4779112","0.1483153","0"
"56","55","743","0.743","0.3373024","0.07178707","0.06025547","0.5075057","0.212827","3"
"57","56","66","0.066","0.391095","0.0453587","0.2810144","0.4901756","0.1159787","0"
"58","57","28233","28.233","0.3183646","0.07670232","2.962198e-07","0.5972223","0.240926","409"
"59","58","114","0.114","0.2495887","0.0491401","0.1277096","0.3583334","0.1968843","0"
