"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","30773","30.773","0.1637079","0.1089055","3.921589e-13","0.7060999","0.6652429","3073390"
"3","1","773","0.7730001","0.2924793","0.05640316","0.04407277","0.457945","0.192845","0"
"4","2","304","0.304","0.379312","0.04859342","0.2136266","0.4974327","0.1281094","0"
"5","3","760","0.7600001","0.3387848","0.03960182","0.220551","0.4439091","0.1168937","0"
"6","4","194","0.194","0.4043075","0.04502309","0.2062343","0.5284989","0.1113585","0"
"7","5","257","0.257","0.4321602","0.06766549","0.05296218","0.6305867","0.156575","0"
"8","6","110","0.11","0.4298349","0.03958983","0.3023335","0.5252239","0.09210474","0"
"9","7","467","0.467","0.4427561","0.03681009","0.2536757","0.5500206","0.08313853","0"
"10","8","1610","1.61","0.4007686","0.07009817","0.08702265","0.595497","0.1749093","43"
"11","9","1200","1.2","0.2713928","0.02964061","0.1623487","0.3570736","0.1092166","1"
"12","10","770","0.77","0.3664935","0.05285206","0.06213231","0.5133401","0.1442101","0"
"13","11","990","0.9900001","0.3725931","0.06188437","0.07916255","0.5143694","0.166091","1"
"14","12","746","0.7460001","0.3314898","0.03938042","0.08692908","0.4383883","0.1187983","1"
"15","13","381","0.381","0.218314","0.03563543","0.0666238","0.3115037","0.1632301","0"
"16","14","466","0.466","0.2627666","0.03403863","0.1659045","0.443067","0.1295394","0"
"17","15","3665","3.665","0.2463134","0.03927657","0.05539507","0.3431313","0.1594577","99"
"18","16","3904","3.904","0.2374528","0.04065562","0.03087901","0.3984328","0.1712156","51"
"19","17","1416","1.416","0.2297589","0.02799838","0.1319376","0.4105037","0.1218598","0"
"20","18","97","0.097","0.4449576","0.03006389","0.35436","0.5003335","0.06756574","0"
"21","19","3570","3.57","0.3368897","0.0651553","0.05511435","0.5313996","0.1934025","46"
"22","20","2990","2.99","0.3308867","0.06600553","0.03555764","0.5103458","0.1994807","131"
"23","21","801","0.8010001","0.2412599","0.03396347","0.1081701","0.4037664","0.1407754","0"
"24","22","171","0.171","0.4400507","0.04218955","0.2139073","0.519703","0.0958743","0"
"25","23","36","0.036","0.4464382","0.02572295","0.390947","0.5078193","0.05761818","0"
"26","24","338","0.338","0.4001829","0.04605726","0.120896","0.5038893","0.1150905","0"
"27","25","4990","4.99","0.3706371","0.05488816","0.07738467","0.528686","0.1480914","62"
"28","26","610","0.61","0.3851395","0.04487156","0.2751974","0.5480556","0.1165073","0"
"29","27","1768","1.768","0.3619961","0.05228046","0.09899997","0.5417862","0.1444227","5"
"30","28","1380","1.38","0.3874373","0.05768045","0.1043336","0.5205452","0.1488768","7"
"31","29","1572","1.572","0.2832364","0.03485458","0.1636587","0.4074157","0.1230583","0"
"32","30","40","0.04","0.4307715","0.03088355","0.3368619","0.4841454","0.07169357","0"
"33","31","291","0.291","0.4322011","0.03651466","0.2369262","0.545997","0.08448534","0"
"34","32","2345","2.345","0.314959","0.04629574","0.08954912","0.5144629","0.1469897","15"
"35","33","3080","3.08","0.2890412","0.04595729","0.0487514","0.4871397","0.1589991","14"
"36","34","1709","1.709","0.318316","0.04278728","0.1167788","0.496497","0.1344176","7"
"37","35","307","0.307","0.4291285","0.03858102","0.2458156","0.5146501","0.08990551","0"
"38","36","1135","1.135","0.3947882","0.05308828","0.1098544","0.5401019","0.1344728","7"
"39","37","2329","2.329","0.3666643","0.06844249","0.07111529","0.5136208","0.1866626","12"
"40","38","1453","1.453","0.3641477","0.05213187","0.09085914","0.5108137","0.1431613","1"
