"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","31484","31.484","0.2865945","0.1872705","4.608808e-13","1.247597","0.6534337","3081125"
"3","1","720","0.72","0.5409696","0.07983039","0.1655808","0.7045517","0.1475691","0"
"4","2","302","0.302","0.6369928","0.08498204","0.2478155","0.8079008","0.1334113","0"
"5","3","726","0.726","0.6089119","0.05907138","0.4341402","0.7738215","0.09701137","0"
"6","4","151","0.151","0.7062713","0.06790385","0.4634039","0.872355","0.09614414","0"
"7","5","167","0.167","0.7543799","0.1050634","0.1448369","0.9331051","0.1392713","0"
"8","6","97","0.097","0.8092755","0.09169734","0.1681737","0.9920029","0.1133079","0"
"9","7","440","0.44","0.7953451","0.05813248","0.5949054","0.9557011","0.07309088","0"
"10","8","1349","1.349","0.7506146","0.1259152","0.1233521","1.140544","0.1677495","13"
"11","9","1170","1.17","0.5718269","0.05815346","0.3511646","0.7545593","0.1016977","0"
"12","10","679","0.679","0.5980005","0.08075804","0.09445883","0.8345715","0.1350468","0"
"13","11","778","0.7780001","0.6352403","0.1172069","0.0844573","0.9490334","0.184508","7"
"14","12","755","0.7550001","0.5667922","0.06485668","0.2474451","0.761227","0.1144276","0"
"15","13","338","0.338","0.4577607","0.05970151","0.1722485","0.591942","0.1304208","1"
"16","14","430","0.43","0.5109176","0.05230202","0.3381996","0.7064039","0.1023688","0"
"17","15","3114","3.114","0.5396687","0.1031191","0.08408687","0.8038261","0.1910785","48"
"18","16","3839","3.839","0.4278814","0.06384057","0.06519511","0.6052774","0.1492015","37"
"19","17","1633","1.633","0.4903658","0.06209064","0.2800426","0.7364084","0.1266211","0"
"20","18","81","0.081","0.7707667","0.04776842","0.6534328","0.8727255","0.0619752","0"
"21","19","3358","3.358","0.5840747","0.104884","0.1126097","0.8875425","0.179573","22"
"22","20","2968","2.968","0.5921553","0.1149418","0.07519663","0.9342163","0.1941075","36"
"23","21","677","0.677","0.5530141","0.07655539","0.3152332","0.799381","0.138433","0"
"24","22","141","0.141","0.7794698","0.06202444","0.5397118","0.9745928","0.0795726","0"
"25","23","33","0.033","0.7249252","0.05128898","0.6152788","0.8293855","0.07075072","0"
"26","24","311","0.311","0.6980642","0.08311091","0.2233673","0.9490334","0.1190591","0"
"27","25","4393","4.393","0.6315391","0.1192423","0.06297255","1.045344","0.1888122","23"
"28","26","672","0.6720001","0.6491745","0.08657775","0.4315472","0.9149541","0.1333659","0"
"29","27","1790","1.79","0.6412129","0.1018647","0.1918811","1.082757","0.1588626","12"
"30","28","1281","1.281","0.6654347","0.09887569","0.1966966","0.9694068","0.1485881","7"
"31","29","1576","1.576","0.5227543","0.05842185","0.3070838","0.8349419","0.1117578","0"
"32","30","35","0.035","0.7077162","0.04020166","0.6412087","0.8104938","0.05680477","0"
"33","31","231","0.231","0.7434003","0.04794461","0.6226874","0.8979145","0.06449367","0"
"34","32","2112","2.112","0.5249559","0.07764682","0.1166844","0.7978992","0.1479111","3"
"35","33","2957","2.957","0.4784279","0.07791208","0.04333993","0.7530776","0.1628502","8"
"36","34","1535","1.535","0.5568926","0.06870194","0.2674481","0.7515959","0.1233666","3"
"37","35","250","0.25","0.7334434","0.06667879","0.412285","0.8960624","0.09091198","0"
"38","36","922","0.9220001","0.7047243","0.08474378","0.1374283","0.8960624","0.120251","6"
"39","37","1846","1.846","0.7056443","0.1099571","0.0955701","0.9631096","0.1558251","17"
"40","38","1316","1.316","0.6828005","0.08697797","0.2596692","1.029416","0.1273842","0"
"41","39","472","0.472","0.7801155","0.1038267","0.2811539","1.050901","0.1330914","2"
"42","40","724","0.724","0.7930539","0.08116162","0.3230121","1.013117","0.1023406","2"
"43","41","875","0.8750001","0.5112833","0.05897123","0.3296798","0.7408535","0.1153396","0"
"44","42","2371","2.371","0.4627777","0.1002084","6.648476e-07","0.7338154","0.2165367","33"
"45","43","628","0.628","0.3785231","0.05731208","0.1426146","0.5219313","0.1514097","0"
"46","44","1157","1.157","0.4250552","0.06263704","0.06297255","0.6204649","0.1473621","6"
"47","45","277","0.277","0.382326","0.05646959","0.2267012","0.553788","0.1477001","0"
"48","46","493","0.493","0.3588265","0.04909855","0.2129954","0.5089664","0.1368309","0"
"49","47","3","0.003","0.3989496","0.05589394","0.3530167","0.4611813","0.1401028","0"
"50","49","1069","1.069","0.2482619","0.05660643","1.727473e-07","0.4082102","0.2280109","94"
"51","50","11","0.011","0.4045734","0.0440661","0.3393109","0.4915563","0.1089199","0"
"52","51","13675","13.675","0.5718867","0.1604577","0.1318719","1.300939","0.280576","0"
"53","52","234","0.234","0.4240311","0.05836777","0.1140914","0.5752728","0.1376497","0"
"54","53","947","0.947","0.5251297","0.07884641","0.3044908","0.8697621","0.1501466","0"
"55","54","499","0.499","0.5508051","0.07627008","0.3322728","0.7430761","0.1384702","0"
"56","55","676","0.6760001","0.4585209","0.09574027","0.07556706","0.6508398","0.2088024","0"
"57","56","48","0.048","0.6221318","0.05733659","0.4997057","0.7297407","0.0921615","0"
"58","57","28173","28.173","0.4696211","0.1441447","2.868524e-07","1.060902","0.3069383","329"
"59","58","103","0.103","0.3053243","0.04288848","0.1941036","0.414878","0.1404686","3"
"60","59","5674","5.674","0.361018","0.08577377","2.338624e-07","0.6086112","0.2375886","22"
"61","60","2988","2.988","0.3921209","0.07681469","0.08223496","0.7249252","0.1958954","10"
"62","61","262","0.262","0.4511642","0.04694948","0.3196783","0.6175014","0.104063","0"
"63","62","3504","3.504","0.4181493","0.0625288","0.09260669","0.8712438","0.149537","3"
"64","63","1088","1.088","0.4744315","0.05789788","0.2893033","0.6267621","0.1220363","0"
"65","64","11278","11.278","0.4433925","0.05363884","0.1722485","0.6893642","0.1209737","0"
"66","65","6120","6.12","0.3587716","0.08932061","2.101936e-07","0.672695","0.2489623","5"
"67","66","2039","2.039","0.4036294","0.04471744","0.2589283","0.6134267","0.1107884","0"
"68","67","313","0.313","0.4514589","0.06759398","0.295971","0.7204801","0.1497234","0"
"69","68","911","0.9110001","0.4523658","0.05916204","0.2311463","0.6356523","0.1307836","0"
"70","69","3830","3.83","0.6619847","0.1036206","0.212625","0.9971889","0.1565302","0"
"71","70","320","0.32","0.5903306","0.08086236","0.2222561","0.8060486","0.1369781","0"
"72","71","92","0.09200001","0.4598567","0.06389623","0.2852289","0.6004618","0.1389481","0"
"73","72","6459","6.459","0.4408365","0.09916613","0.06186127","0.8927285","0.2249499","0"
"74","73","1406","1.406","0.4852703","0.05370471","0.3015274","0.6630639","0.1106697","0"
"75","74","154","0.154","0.523692","0.05263153","0.4030243","0.644913","0.1005009","0"
"76","75","242","0.242","0.5323215","0.06104541","0.3837621","0.6908459","0.1146777","0"
"77","76","432","0.432","0.5439476","0.05830498","0.3126402","0.6997362","0.1071886","0"
"78","77","1135","1.135","0.4553262","0.05054954","0.318567","0.6260213","0.1110183","0"
"79","78","1169","1.169","0.4814146","0.06035766","0.2452225","0.7119603","0.1253756","0"
"80","79","121","0.121","0.5373147","0.0648523","0.334125","0.6523215","0.120697","0"
"81","80","1424","1.424","0.5450225","0.0570903","0.3700563","0.7012179","0.1047485","0"
"82","81","5438","5.438","0.7242549","0.1325572","0.08112346","1.255747","0.1830257","32"
"83","82","3146","3.146","0.7569765","0.1396058","0.1633582","1.124616","0.1844255","12"
"84","83","534","0.534","0.4337586","0.05789453","0.2148475","0.6045365","0.1334718","0"
"85","84","71","0.071","0.5490299","0.05370757","0.4252499","0.683067","0.09782267","0"
"86","85","2054","2.054","0.5624428","0.06609773","0.2900442","0.8812453","0.117519","0"
"87","86","231","0.231","0.508118","0.08415235","0.3204192","0.7338154","0.1656158","0"
"88","87","173","0.173","0.6166769","0.0574844","0.4715533","0.7634495","0.09321639","0"
"89","88","288","0.288","0.6251271","0.04875155","0.5085959","0.7841935","0.07798663","0"
"90","89","3213","3.213","0.3889738","0.1362136","0.08705034","0.8479069","0.350187","0"
"91","90","104","0.104","0.4960906","0.1331964","0.1192774","0.6904755","0.2684921","0"
"92","91","25236","25.236","0.5505061","0.1437937","3.490273e-07","1.061273","0.2612028","542"
"93","92","231","0.231","0.5299748","0.05943279","0.3396814","0.7115898","0.1121427","0"
"94","93","279","0.279","0.5432672","0.0587575","0.3985792","0.7208505","0.1081558","0"
"95","94","2","0.002","0.5291547","0.1574207","0.4178414","0.6404679","0.2974947","0"
"96","95","590","0.59","0.5366309","0.05586722","0.359314","0.6938093","0.1041074","0"
"97","96","19","0.019","0.3295434","0.08299404","0.188177","0.5215608","0.2518456","0"
"98","97","171","0.171","0.6077036","0.06522025","0.4182118","0.7727103","0.1073225","0"
"99","98","419","0.419","0.5032092","0.05224777","0.3389405","0.7034404","0.1038291","0"
"100","99","2559","2.559","0.3499015","0.08161097","0.1296495","0.5745319","0.2332399","0"
"101","100","1233","1.233","0.4295887","0.06409014","0.207439","0.634541","0.1491895","0"
"102","101","156","0.156","0.5073187","0.05317896","0.3559801","0.6237987","0.1048236","0"
"103","102","49","0.049","0.3715759","0.05332372","0.2155884","0.4830365","0.1435069","0"
"104","103","201","0.201","0.4567492","0.0573645","0.3189378","0.622317","0.125593","0"
"105","104","2958","2.958","0.4300683","0.08685557","0.1511343","0.6652865","0.2019576","0"
"106","105","197","0.197","0.4947208","0.06904647","0.3315321","0.7034404","0.1395665","0"
