ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	33224	33.224	0.2359583	0.1747437	1.116616e-12	1.165916	0.7405701	3084005
1	793	0.793	0.4982248	0.08872507	0.1304005	0.7108466	0.1780824	0
2	320	0.32	0.6304397	0.08136207	0.2177442	0.7914243	0.1290561	0
3	803	0.803	0.5579674	0.06533178	0.3888436	0.7806601	0.1170889	0
4	217	0.217	0.6623555	0.092724	0.1539792	0.8380691	0.1399913	0
5	172	0.172	0.6954299	0.06599284	0.4946402	0.8960932	0.09489504	0
6	107	0.107	0.6878648	0.07307832	0.3721334	0.830893	0.1062394	0
7	540	0.54	0.7393575	0.06068103	0.5164761	0.9091128	0.08207266	0
8	1512	1.512	0.6416722	0.1467696	0.1203539	0.9953288	0.2287298	29
9	1109	1.109	0.4652897	0.06404791	0.2046221	0.7393461	0.1376517	0
10	665	0.665	0.470675	0.05253151	0.2245103	0.6121236	0.1116089	10
11	875	0.8750001	0.4978905	0.07736176	0.08057766	0.6610238	0.1553791	4
12	743	0.743	0.438868	0.04621108	0.2876602	0.5850593	0.1052961	3
13	328	0.328	0.3432873	0.05032814	0.1317332	0.4641929	0.1466065	3
14	391	0.391	0.4042731	0.04849717	0.2057498	0.6351898	0.1199614	0
15	3124	3.124	0.3756353	0.07901004	0.06489269	0.5660939	0.2103371	43
16	3705	3.705	0.3501586	0.06172347	0.0719663	0.5548171	0.1762729	40
17	1445	1.445	0.3768275	0.04118189	0.2207172	0.5074547	0.1092858	0
18	87	0.087	0.705762	0.06730977	0.5241648	0.8829712	0.09537176	0
19	3387	3.387	0.502424	0.1126136	0.07586192	0.8517038	0.2241406	19
20	2891	2.891	0.5148684	0.1239419	0.05330837	0.8638006	0.2407255	48
21	632	0.632	0.4163787	0.0447276	0.1939605	0.5403624	0.1074205	0
22	141	0.141	0.7312559	0.05253837	0.4978182	0.8619553	0.07184675	0
23	33	0.033	0.6728535	0.04980297	0.5593278	0.7661028	0.07401755	0
24	304	0.304	0.5667606	0.07609982	0.159105	0.7292995	0.1342715	0
25	4487	4.487	0.5180479	0.09176146	0.08314055	0.7751242	0.1771293	19
26	553	0.553	0.5599263	0.06198136	0.3999153	0.7322725	0.1106956	0
27	1579	1.579	0.5387653	0.08371583	0.07780972	0.7402688	0.1553846	1
28	1268	1.268	0.5863109	0.09787192	0.1007733	0.8479106	0.1669284	3
29	1390	1.39	0.4253643	0.05342022	0.143215	0.5775757	0.125587	0
30	34	0.034	0.6499039	0.04453435	0.5595329	0.7290945	0.06852451	0
