ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	27845	27.845	0.1863043	0.1193901	6.945808e-13	0.7495803	0.6408336	3104094
1	779	0.779	0.3441638	0.05501676	0.08334223	0.5397878	0.1598563	0
2	347	0.347	0.4330924	0.04715434	0.2312841	0.5410373	0.1088782	0
3	815	0.8150001	0.3878987	0.04197322	0.2698939	0.5209202	0.1082066	0
4	218	0.218	0.4660646	0.04437385	0.3601084	0.5950161	0.09520965	0
5	204	0.204	0.4823309	0.06688959	0.05447858	0.615383	0.1386799	0
6	108	0.108	0.4968277	0.04322168	0.3714789	0.5820212	0.08699532	0
7	556	0.5560001	0.503069	0.04164871	0.318	0.6021383	0.08278926	0
8	1496	1.496	0.4875987	0.0795274	0.09783653	0.7114702	0.1631001	26
9	1157	1.157	0.3329556	0.03509922	0.2309092	0.4941807	0.1054171	0
10	638	0.638	0.4178664	0.05094419	0.1448181	0.5622789	0.121915	1
11	742	0.742	0.4596709	0.07016363	0.1115811	0.6572416	0.1526388	5
12	701	0.701	0.387337	0.04379237	0.1125807	0.5174215	0.1130601	0
13	320	0.32	0.2793038	0.0357855	0.1759308	0.3659811	0.128124	5
14	416	0.416	0.3072095	0.0340342	0.2096676	0.4165862	0.110785	0
15	3814	3.814	0.315906	0.05920134	0.06697367	0.5868943	0.1874017	77
16	3445	3.445	0.2780287	0.04576635	0.03111277	0.4569453	0.1646101	51
17	1396	1.396	0.2899319	0.04042875	0.1316982	0.4935559	0.1394422	0
18	120	0.12	0.5478888	0.04961741	0.452697	0.7398341	0.0905611	0
19	3377	3.377	0.3810976	0.07070503	0.07984361	0.6432471	0.1855299	52
20	3101	3.101	0.3767269	0.08052443	0.05585304	0.6429972	0.2137475	49
21	775	0.775	0.3004615	0.03549353	0.1997964	0.4003426	0.1181301	0
22	193	0.193	0.5586696	0.05739538	0.322998	0.7222161	0.1027358	0
23	34	0.034	0.5145183	0.04160852	0.452697	0.6132589	0.08086889	0
24	310	0.31	0.4990015	0.05282547	0.185677	0.6962262	0.1058623	0
25	4184	4.184	0.4296747	0.07861873	0.078844	0.6931025	0.1829727	28
26	634	0.634	0.434859	0.05767114	0.289886	0.6313767	0.1326203	0
27	1699	1.699	0.4246148	0.06209685	0.1570632	0.6528683	0.1462428	16
28	1400	1.4	0.4604432	0.07752176	0.0717218	0.7258396	0.1683633	8
29	1494	1.494	0.3200862	0.03993623	0.1604369	0.4589446	0.1247671	0
30	35	0.035	0.4854912	0.03557119	0.3779764	0.5440361	0.07326844	0
31	281	0.281	0.5299239	0.05731376	0.3413658	0.7127198	0.1081547	0
32	2067	2.067	0.3526942	0.05104202	0.09771159	0.5083001	0.1447203	10
33	2630	2.63	0.3284843	0.04787043	0.07209665	0.5259182	0.1457313	22
34	1380	1.38	0.3830298	0.0489073	0.0854664	0.5612793	0.1276854	4
35	301	0.301	0.5206283	0.04747338	0.3970939	0.7212164	0.09118479	0
36	952	0.952	0.4839344	0.0828463	0.09246364	0.7038482	0.1711932	2
37	1968	1.968	0.4628344	0.0864393	0.09596227	0.6813571	0.1867607	24
38	1237	1.237	0.4566818	0.05135263	0.2141658	0.592517	0.1124473	0
39	578	0.578	0.5204195	0.06350005	0.1490664	0.6601155	0.1220171	2
