ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	31684	31.684	0.1682025	0.107607	2.803348e-13	0.7935941	0.6397467	3098739
1	745	0.7450001	0.3039265	0.0541777	0.06419606	0.4612188	0.1782592	0
2	242	0.242	0.4260418	0.08731101	0.2049987	0.6147703	0.2049353	0
3	643	0.643	0.3334068	0.03472371	0.2405378	0.4677625	0.1041482	0
4	179	0.179	0.3906732	0.04079936	0.2554303	0.4945014	0.1044335	0
5	213	0.213	0.5134847	0.09160741	0.1978908	0.768886	0.1784034	0
6	92	0.09200001	0.4389376	0.03888485	0.3159033	0.5266559	0.08858856	0
7	490	0.49	0.4868278	0.08223922	0.1509566	0.6824639	0.1689288	0
8	1469	1.469	0.4264543	0.0769932	0.05020605	0.6395913	0.1805427	34
9	1250	1.25	0.2931089	0.0304414	0.1428334	0.3927355	0.1038569	0
10	709	0.7090001	0.3541069	0.04598995	0.1101149	0.4737421	0.1298759	0
11	826	0.826	0.3949071	0.06186412	0.1785982	0.6147703	0.1566548	6
12	727	0.7270001	0.3406545	0.03827241	0.18187	0.4542238	0.1123496	0
13	349	0.349	0.2436046	0.03619017	0.07423726	0.3183854	0.1485611	0
14	497	0.497	0.2801608	0.02703626	0.1923625	0.3754736	0.09650263	0
15	3424	3.424	0.271992	0.04962597	0.04558033	0.4472288	0.1824538	47
16	3940	3.94	0.2504529	0.04332351	0.04569315	0.3826942	0.1729807	11
17	1349	1.349	0.2661543	0.03455627	0.1206074	0.4326746	0.1298355	0
18	70	0.07	0.4966885	0.06204162	0.355504	0.6235705	0.1249105	0
19	3090	3.09	0.3342869	0.06399191	0.05505743	0.5606155	0.1914281	31
20	2891	2.891	0.3198721	0.06489468	0.06803203	0.592093	0.202877	48
21	781	0.781	0.2868749	0.03246445	0.1881881	0.3954432	0.1131659	0
22	137	0.137	0.4556164	0.05304286	0.1964241	0.6770484	0.11642	0
23	27	0.027	0.4756016	0.06785884	0.3817917	0.6330476	0.14268	0
24	294	0.294	0.4442735	0.05218152	0.2303837	0.5969443	0.1174536	0
25	4485	4.485	0.3775772	0.07299628	0.04986759	0.6341758	0.1933281	13
26	606	0.606	0.3813244	0.06304011	0.2475328	0.6300014	0.1653189	0
27	1614	1.614	0.3654002	0.06294066	0.09262735	0.6142062	0.1722513	6
28	1242	1.242	0.3953153	0.06599213	0.08078098	0.6253756	0.1669355	8
29	1643	1.643	0.2895412	0.02938788	0.1508438	0.3902534	0.1014981	1
30	29	0.029	0.4241663	0.0362427	0.367576	0.5017221	0.08544455	0
31	207	0.207	0.4666474	0.06215686	0.2494508	0.6351912	0.1331988	0
32	2265	2.265	0.3101326	0.04401644	0.08518106	0.4472288	0.1419278	7
33	3026	3.026	0.292232	0.04743882	0.07908864	0.4656188	0.1623327	7
34	1552	1.552	0.3290041	0.04023127	0.1252331	0.4371876	0.122282	0
35	237	0.237	0.4436787	0.04306208	0.2845386	0.6005546	0.09705692	0
36	971	0.9710001	0.4238681	0.06992544	0.08834009	0.6292116	0.1649698	6
37	2013	2.013	0.4129055	0.07169592	0.08676057	0.6568531	0.1736376	28
38	1275	1.275	0.3915689	0.04848564	0.2236144	0.5582462	0.123824	0
39	459	0.459	0.4589778	0.06509677	0.206691	0.7149568	0.1418299	1
40	846	0.846	0.4368845	0.05444732	0.2042089	0.6344014	0.1246263	0
41	687	0.687	0.2756373	0.02737726	0.1886394	0.3716376	0.09932351	0
42	2623	2.623	0.2443473	0.05096077	0.03971355	0.3997304	0.2085587	22
43	603	0.603	0.2381204	0.03659222	0.1269254	0.362499	0.153671	0
44	1053	1.053	0.2521241	0.03665696	0.06216525	0.3486218	0.1453926	2
45	292	0.292	0.2188623	0.03191227	0.1207202	0.332601	0.1458098	0
46	597	0.597	0.2181937	0.02960472	0.1114687	0.3152263	0.1356809	0
47	5	0.005	0.2536026	0.01507425	0.23783	0.2759641	0.05944044	0
49	923	0.923	0.1777078	0.04473699	1.801157e-07	0.2843129	0.2517446	63
50	13	0.013	0.265541	0.04375952	0.1605466	0.3104878	0.1647938	0
51	12674	12.674	0.3294769	0.08916612	0.04490339	0.6689252	0.2706293	0
52	254	0.254	0.2413284	0.03118974	0.0679192	0.2999953	0.1292419	0
53	1003	1.003	0.3116752	0.03677869	0.1439616	0.4366235	0.1180032	0
54	556	0.5560001	0.2987155	0.04069108	0.1350486	0.4128179	0.1362202	0
55	733	0.733	0.2752004	0.04559423	0.0609242	0.3912688	0.1656765	0
56	55	0.055	0.3378237	0.03142409	0.24742	0.3934124	0.09301921	0
57	28509	28.509	0.2603225	0.06489492	0.03215444	0.5281225	0.2492867	301
58	116	0.116	0.2075249	0.03209088	0.1014275	0.2773179	0.1546362	1
59	4925	4.925	0.2265673	0.03781817	4.402829e-07	0.3747967	0.1669181	9
60	3104	3.104	0.226022	0.03993153	0.0459188	0.3463654	0.176671	6
61	268	0.268	0.2558168	0.02771947	0.1704749	0.3267342	0.1083567	0
62	3681	3.681	0.2410337	0.04157075	0.05212404	0.3746838	0.1724686	4
63	899	0.899	0.2636416	0.033655	0.1701365	0.3756993	0.1276543	0
64	10373	10.373	0.2613803	0.03243257	0.1271511	0.4298541	0.1240819	0
65	6423	6.423	0.2110129	0.04810343	3.617378e-07	0.4136076	0.2279644	1
66	1916	1.916	0.2269022	0.0284078	0.1322281	0.3332779	0.1251984	0
67	283	0.283	0.2683065	0.04131623	0.1620132	0.3998433	0.153989	0
68	839	0.839	0.2476644	0.03077327	0.1635928	0.3379037	0.1242539	0
69	3410	3.41	0.3592577	0.05347682	0.1844649	0.5362458	0.1488536	0
70	281	0.281	0.3262745	0.04957221	0.1041353	0.4550135	0.151934	0
71	80	0.08000001	0.2453102	0.03770799	0.1625774	0.3421909	0.1537156	0
72	5596	5.596	0.2760497	0.04924325	0.08834009	0.5737029	0.1783855	0
73	1389	1.389	0.2945857	0.03196593	0.1912343	0.396233	0.1085115	0
74	156	0.156	0.319818	0.03616299	0.2126706	0.40131	0.1130736	0
75	276	0.276	0.3075185	0.03252092	0.2306094	0.3886738	0.1057527	0
76	423	0.423	0.3261679	0.03670349	0.1432847	0.4301926	0.1125294	0
77	960	0.96	0.2588862	0.02987591	0.1669774	0.3582117	0.1154017	0
78	1124	1.124	0.2809892	0.0328477	0.1727314	0.3848379	0.1169002	0
79	135	0.135	0.3002937	0.03134226	0.2380557	0.3965714	0.104372	0
80	1370	1.37	0.2947568	0.03018621	0.197778	0.4009715	0.1024106	0
81	4913	4.913	0.4117856	0.0896237	0.04501621	0.6724226	0.2176465	14
82	2954	2.954	0.395364	0.07573382	0.04366234	0.6533557	0.1915547	11
83	544	0.544	0.2437295	0.03039257	0.1245561	0.3575348	0.124698	0
84	54	0.054	0.2871732	0.02556011	0.2336556	0.3321497	0.08900589	0
85	1926	1.926	0.3020784	0.03954904	0.1419308	0.4690035	0.1309231	0
86	230	0.23	0.2770202	0.04500927	0.157049	0.4335772	0.1624765	0
87	236	0.236	0.3239572	0.03269925	0.236589	0.4178949	0.1009369	0
88	305	0.305	0.3347831	0.02881216	0.2306094	0.4171051	0.08606219	0
89	3066	3.066	0.2184486	0.07592919	0.04411364	0.5466255	0.3475837	0
90	119	0.119	0.2683537	0.05926513	0.07886299	0.3817917	0.2208471	0
91	24015	24.015	0.2655592	0.07392058	0.03316984	0.5836313	0.2783582	481
92	199	0.199	0.2415345	0.02819425	0.1653979	0.3235752	0.1167297	0
93	223	0.223	0.2488952	0.02844873	0.1620132	0.3296676	0.1143	0
94	3	0.003	0.2665246	0.03529784	0.2263221	0.2924362	0.1324375	0
95	503	0.503	0.2513468	0.03011547	0.1482489	0.3428679	0.1198164	0
96	17	0.017	0.1837017	0.05196298	0.05866775	0.2705486	0.282866	0
97	201	0.201	0.3142227	0.03299659	0.2338812	0.3928483	0.1050102	0
98	364	0.364	0.2479686	0.03124714	0.1483617	0.3349703	0.1260125	0
99	2431	2.431	0.1890029	0.03608666	0.06995001	0.3197392	0.1909318	0
100	1434	1.434	0.2136172	0.0297964	0.1173355	0.314775	0.139485	0
101	145	0.145	0.2629429	0.0273195	0.1802905	0.3314728	0.103899	0
102	45	0.045	0.1899707	0.02634526	0.1324537	0.2513687	0.1386807	0
103	195	0.195	0.2355291	0.024533	0.171716	0.2918721	0.1041613	0
104	2663	2.663	0.2343439	0.03751954	0.09195042	0.3417396	0.1601046	0
105	195	0.195	0.2692145	0.03756484	0.1688954	0.3819045	0.139535	0
106	297	0.297	0.196823	0.03451321	0.1051507	0.2959337	0.1753515	0
107	1000	1	0.2670867	0.03803299	0.1111303	0.4028895	0.1423994	0
108	2	0.002	0.3339549	0.01116887	0.3260573	0.3418525	0.03344426	0
109	266	0.266	0.1792852	0.03496542	0.06633969	0.2636664	0.1950268	0
110	599	0.599	0.1991799	0.04326394	0.05686279	0.4208283	0.2172103	5
111	186	0.186	0.2039371	0.02753712	0.1207202	0.2844258	0.1350275	0
112	704	0.7040001	0.1762677	0.03566989	0.02425703	0.2886002	0.202362	0
113	1468	1.468	0.2092744	0.02774687	0.1172227	0.2931131	0.1325861	0
114	1904	1.904	0.1542652	0.03150284	0.04027767	0.2837488	0.2042122	7
115	1831	1.831	0.2089245	0.03158047	0.1107918	0.3151135	0.1511573	0
116	4422	4.422	0.1641241	0.03371235	0.04862649	0.2999953	0.2054077	0
117	386	0.386	0.1852407	0.02526338	0.1000736	0.2512559	0.1363814	0
118	185	0.185	0.2133354	0.03313384	0.1497156	0.3031543	0.1553134	0
119	932	0.932	0.199784	0.05508021	0.034975	0.3480577	0.2756988	15
120	1055	1.055	0.2734241	0.03586761	0.1728442	0.3914944	0.1311794	0
121	6741	6.741	0.3288022	0.08379821	0.1218484	0.6552736	0.254859	0
122	41	0.041	0.2392004	0.03477424	0.1669774	0.311616	0.145377	0
123	406	0.406	0.2689538	0.04437998	0.1491515	0.3991663	0.1650097	0
124	391	0.391	0.4133812	0.07454859	0.2374916	0.5887083	0.1803386	0
125	391	0.391	0.2162839	0.05295717	0.05415485	0.3668991	0.2448503	20
126	10	0.01	0.2928198	0.02745119	0.2333171	0.3302317	0.09374774	0
127	1522	1.522	0.2558852	0.03347751	0.1532131	0.4120281	0.1308302	0
129	36	0.036	0.2383315	0.04966874	0.1440745	0.3511039	0.208402	0
131	13	0.013	0.3455929	0.04068721	0.2589279	0.4015356	0.1177316	0
132	7	0.007	0.3064423	0.05166041	0.2157168	0.3767146	0.1685812	0
133	1123	1.123	0.2197845	0.04546136	0.06769355	0.3662221	0.2068452	0
134	525	0.525	0.2606635	0.05012206	0.06182678	0.3822429	0.1922864	0
135	1010	1.01	0.1489045	0.03033024	0.03181597	0.2330915	0.2036892	1
136	351	0.351	0.1407005	0.03088073	0.0530267	0.2400865	0.2194785	3
137	73	0.07300001	0.1665895	0.02614116	0.1136124	0.2354608	0.1569196	0
138	2	0.002	0.1752699	0.01699264	0.1632543	0.1872855	0.09695127	0
139	9	0.009000001	0.1920491	0.02571568	0.1582901	0.2336556	0.1339016	0
140	862	0.862	0.1752282	0.04806216	0.03960087	0.322447	0.2742832	0
141	293	0.293	0.1190095	0.02707074	0.03486218	0.2020653	0.227467	4
142	82	0.082	0.2639498	0.02984691	0.197778	0.3399345	0.113078	0
143	600	0.6	0.235614	0.04712342	0.1225253	0.3921713	0.2000027	0
