ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	28641	28.641	0.1962212	0.1389173	3.464801e-13	0.7928708	0.707963	3092252
1	801	0.8010001	0.384228	0.0626353	0.08446857	0.5901462	0.163016	0
2	305	0.305	0.4744589	0.05516569	0.270753	0.6115752	0.1162707	0
3	750	0.7500001	0.4329066	0.04475617	0.2794833	0.5878786	0.1033853	0
4	148	0.148	0.5234509	0.04820045	0.3724554	0.6376527	0.09208208	0
5	208	0.208	0.5188532	0.08734135	0.06133893	0.667812	0.1683353	0
6	100	0.1	0.5422691	0.0445418	0.3984196	0.7089691	0.08213966	0
7	518	0.518	0.5514507	0.04867226	0.2176908	0.678243	0.08826221	0
8	1524	1.524	0.5219639	0.1042566	0.07879955	0.832554	0.1997392	35
9	1380	1.38	0.3737223	0.03834747	0.2263077	0.5128207	0.1026095	0
10	714	0.714	0.4235134	0.05755995	0.1047637	0.5531842	0.1359106	4
11	879	0.8790001	0.4525842	0.06846721	0.1100926	0.6209857	0.1512806	5
12	805	0.8050001	0.3993769	0.04357812	0.1731322	0.5241587	0.1091153	3
13	341	0.341	0.3091781	0.03433145	0.1735858	0.3979661	0.111041	5
14	464	0.464	0.3488011	0.04137832	0.2456958	0.4833417	0.1186301	0
15	3286	3.286	0.3494915	0.07117397	0.05158819	0.5946814	0.2036501	32
16	4191	4.191	0.3090323	0.04665876	0.06678119	0.4563571	0.1509834	38
17	1667	1.667	0.3278914	0.03766221	0.1293673	0.4710965	0.1148618	0
18	88	0.08800001	0.5717272	0.04109665	0.4693958	0.6908283	0.07188158	0
19	3337	3.337	0.4310895	0.07690512	0.08968408	0.7308516	0.1783971	53
20	2827	2.827	0.4315815	0.08543605	0.04705296	0.7217811	0.1979604	80
21	796	0.7960001	0.3557409	0.04458451	0.238893	0.5359503	0.1253286	0
22	159	0.159	0.5709649	0.05287621	0.3009122	0.71101	0.09260852	0
23	29	0.029	0.5472375	0.0409384	0.475405	0.6390133	0.07480919	0
24	339	0.339	0.5143956	0.05015389	0.2962636	0.6552267	0.09750062	0
25	4974	4.974	0.4571722	0.07336994	0.08594252	0.6769958	0.1604864	28
26	624	0.624	0.47469	0.05686424	0.3290306	0.6512584	0.1197924	0
27	1616	1.616	0.4659946	0.07217746	0.1299342	0.7101029	0.154889	3
28	1268	1.268	0.4973865	0.07661273	0.1411589	0.6918486	0.1540306	5
29	1621	1.621	0.3596143	0.03971589	0.2129288	0.4989882	0.1104402	0
30	32	0.032	0.55137	0.05151391	0.4666747	0.725296	0.09342892	0
31	246	0.246	0.548099	0.05395667	0.3051073	0.6828916	0.09844328	0
32	2262	2.262	0.3845389	0.05359346	0.1097525	0.6027315	0.1393707	10
33	3241	3.241	0.3544987	0.05687055	0.05249524	0.5896927	0.1604253	2
34	1799	1.799	0.3824144	0.04425015	0.09920806	0.5107798	0.1157126	6
35	286	0.286	0.5496756	0.04311382	0.3837935	0.6551133	0.07843503	0
36	1087	1.087	0.489899	0.05730057	0.1536308	0.637426	0.1169641	12
37	2196	2.196	0.4711631	0.08302999	0.08582915	0.680057	0.1762234	37
38	1464	1.464	0.4589222	0.06012686	0.1480751	0.6796036	0.1310175	0
39	504	0.504	0.5626588	0.06986576	0.188552	0.6979712	0.1241707	2
40	855	0.855	0.5334527	0.06841167	0.1967154	0.6874268	0.1282432	0
41	832	0.832	0.3400167	0.03993665	0.2294824	0.5292608	0.117455	0
42	2801	2.801	0.2871449	0.06056992	0.05929808	0.5094192	0.2109385	34
43	643	0.643	0.2637917	0.04062774	0.07460446	0.3791448	0.1540145	0
44	1265	1.265	0.2950318	0.04439246	0.05181495	0.4129323	0.1504667	3
45	293	0.293	0.2589799	0.0374793	0.1449005	0.364632	0.1447189	0
46	551	0.551	0.2464322	0.03579569	0.1408188	0.3401419	0.1452558	0
47	5	0.005	0.321094	0.02781237	0.2924087	0.3537476	0.08661754	0
49	950	0.95	0.1680281	0.05773377	9.493656e-08	0.2863993	0.3435959	80
50	13	0.013	0.3216609	0.02813554	0.280277	0.3760836	0.08746956	0
51	13721	13.721	0.3889069	0.104222	0.0573706	0.8433252	0.267987	0
52	261	0.261	0.291758	0.03939884	0.0649671	0.397059	0.1350395	0
53	1117	1.117	0.3577428	0.038201	0.2345845	0.5002354	0.1067834	0
54	576	0.576	0.3498347	0.0446336	0.2184845	0.4751783	0.1275848	0
55	804	0.804	0.3283911	0.05482083	0.07074952	0.4479669	0.1669376	0
56	65	0.06500001	0.387331	0.03655963	0.2825446	0.4764254	0.0943886	0
57	28041	28.041	0.3095825	0.08237074	9.612597e-08	0.6576077	0.2660704	281
58	120	0.12	0.2060251	0.03791837	2.030648e-07	0.2995516	0.1840474	1
59	5176	5.176	0.2527304	0.05324414	2.322594e-07	0.419395	0.2106756	4
60	3033	3.033	0.2752129	0.05372979	2.330163e-07	0.4217758	0.1952299	7
61	248	0.248	0.2971634	0.03690714	0.1971689	0.401594	0.1241981	0
62	3804	3.804	0.2916696	0.05142452	0.05850441	0.4751783	0.1763109	1
63	1013	1.013	0.3249858	0.04220583	0.1868513	0.472117	0.1298698	0
64	11325	11.325	0.324029	0.04179393	0.1430864	0.5297143	0.1289821	0
65	6354	6.354	0.2451335	0.06482878	1.426211e-07	0.4620259	0.2644632	8
66	2040	2.04	0.2841423	0.03318567	0.1823161	0.4055625	0.1167924	0
67	301	0.301	0.3326307	0.04797416	0.2086204	0.4808473	0.1442265	0
68	880	0.8800001	0.3084711	0.03965185	0.1773273	0.4421845	0.1285432	0
69	3582	3.582	0.4142223	0.05813539	0.1528371	0.5768807	0.1403483	0
70	260	0.26	0.4110596	0.04591103	0.2329972	0.5535243	0.1116895	0
71	92	0.09200001	0.2781129	0.05079129	0.1587329	0.4000069	0.1826283	0
72	6284	6.284	0.3318458	0.05891819	0.1174624	0.6809641	0.1775469	0
73	1509	1.509	0.354576	0.03967626	0.2069197	0.4785797	0.1118978	0
74	145	0.145	0.3919327	0.0492163	0.1667829	0.5137277	0.1255734	0
75	301	0.301	0.3630519	0.03847862	0.2346979	0.4881037	0.1059866	0
76	430	0.43	0.3923479	0.03985185	0.2852657	0.5147481	0.1015727	0
77	1038	1.038	0.3184172	0.03611923	0.2134957	0.4222295	0.1134337	0
78	1167	1.167	0.3418669	0.03972845	0.1746062	0.5114601	0.1162103	0
79	145	0.145	0.3577582	0.04608133	0.2172373	0.4691691	0.1288058	0
80	1439	1.439	0.3555776	0.0373766	0.2047654	0.4797135	0.1051152	0
81	4705	4.705	0.4533372	0.08014214	0.05759737	0.6479704	0.1767826	20
82	3064	3.064	0.4296373	0.07749601	0.07721221	0.7161121	0.1803754	18
83	489	0.489	0.2836959	0.03963577	0.1722252	0.4356084	0.1397122	0
84	60	0.06	0.3455124	0.04236159	0.248417	0.4286922	0.1226051	0
85	1939	1.939	0.3595276	0.0461989	0.1527237	0.5382179	0.1284989	0
86	224	0.224	0.3239786	0.04536286	0.1995499	0.4570374	0.1400181	0
87	218	0.218	0.3691295	0.04084545	0.2401402	0.4748381	0.1106535	0
88	318	0.318	0.3911205	0.03307211	0.2850389	0.4947931	0.08455733	0
89	2653	2.653	0.2588389	0.1060606	6.109244e-08	0.5788082	0.4097554	2
90	105	0.105	0.2944949	0.05727074	0.1291406	0.412252	0.1944711	0
91	25156	25.156	0.2947452	0.08132623	1.135346e-07	0.6283555	0.2759204	592
92	215	0.215	0.2848285	0.03413543	0.1801618	0.3759702	0.1198456	0
93	237	0.237	0.2856064	0.03451471	0.1880985	0.3849273	0.1208471	0
94	1	0.001	0.2695058	0	0.2695058	0.2695058	0	0
95	543	0.543	0.2848536	0.03774529	0.1702977	0.417014	0.1325077	0
96	20	0.02	0.1604052	0.04570017	0.06859529	0.2202986	0.2849045	0
97	202	0.202	0.3682986	0.03667665	0.2807305	0.4580578	0.09958401	0
98	363	0.363	0.291968	0.04231675	0.179028	0.433681	0.1449363	0
99	2318	2.318	0.1963844	0.04890072	0.05691708	0.3921836	0.2490052	0
100	1167	1.167	0.2245023	0.041257	0.1107729	0.3737026	0.1837709	0
101	122	0.122	0.3133218	0.03292729	0.2193915	0.3951315	0.105091	0
102	53	0.053	0.2062608	0.03408285	0.1055575	0.2760819	0.1652416	0
103	184	0.184	0.2592122	0.03341657	0.1697308	0.3587363	0.1289159	0
104	2606	2.606	0.2520541	0.05698083	0.06269961	0.4267647	0.2260659	0
105	163	0.163	0.2907497	0.04677519	0.1586195	0.4266514	0.1608779	0
106	320	0.32	0.2175713	0.04512762	0.09886799	0.35953	0.2074153	0
107	1040	1.04	0.3079066	0.04920718	0.1671231	0.444112	0.159812	0
108	1	0.001	0.3935442	0	0.3935442	0.3935442	0	0
109	258	0.258	0.192246	0.04089507	0.08945744	0.3268764	0.2127226	3
110	526	0.526	0.1995513	0.04629962	0.04682633	0.3985329	0.2320187	1
111	194	0.194	0.213549	0.03915986	0.1231315	0.3305046	0.1833765	0
112	687	0.687	0.1450844	0.03432024	0.05056776	0.258848	0.2365536	1
113	1184	1.184	0.2063898	0.04112933	0.07789259	0.3294841	0.1992799	0
