ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	28547	28.547	0.1973839	0.1180051	3.015133e-13	0.7842725	0.5978456	3104476
1	679	0.679	0.3231345	0.0530482	0.06212806	0.4437	0.1641676	0
2	237	0.237	0.3810954	0.04108114	0.2634783	0.5409166	0.1077975	0
3	574	0.574	0.3673059	0.0326463	0.2520337	0.458163	0.08888041	0
4	130	0.13	0.41045	0.04446147	0.2737911	0.5268309	0.1083237	2
5	198	0.198	0.4412285	0.07040714	0.1271487	0.5766339	0.1595707	0
6	84	0.08400001	0.4730079	0.05684287	0.17255	0.5861921	0.1201732	0
7	367	0.367	0.4405339	0.05064237	0.2330431	0.5827965	0.1149568	0
8	1414	1.414	0.4646411	0.07490133	0.1141949	0.9014857	0.1612026	49
9	1121	1.121	0.3507556	0.03678466	0.1692801	0.4674697	0.1048726	0
10	662	0.6620001	0.3881739	0.0501553	0.1204832	0.5294719	0.1292083	0
11	834	0.8340001	0.4105258	0.06812527	0.1423663	0.6398939	0.1659464	3
12	748	0.748	0.3553817	0.04289901	0.1158299	0.494635	0.1207125	2
13	341	0.341	0.2885666	0.03807719	0.1440013	0.3804401	0.1319528	1
14	402	0.402	0.3218123	0.03401346	0.2302763	0.427099	0.1056935	0
15	3717	3.717	0.3352942	0.06734976	0.04087372	0.5928577	0.2008677	51
16	3856	3.856	0.2751898	0.04149422	0.05722322	0.3967896	0.150784	34
17	1409	1.409	0.3077508	0.04867917	0.1896541	0.5248187	0.1581773	0
18	96	0.096	0.4412856	0.03725666	0.3004533	0.5297235	0.08442755	0
19	3263	3.263	0.3669009	0.05146485	0.08803572	0.5323645	0.1402691	35
20	3100	3.1	0.3753703	0.06138384	0.06577526	0.5781431	0.1635288	80
21	726	0.726	0.3253847	0.04167291	0.2081416	0.4719972	0.1280727	0
22	184	0.184	0.439193	0.04484171	0.2924044	0.5425516	0.1021002	0
23	32	0.032	0.4437355	0.03718122	0.3715107	0.5165181	0.08379141	0
24	378	0.378	0.4168457	0.04378533	0.1910375	0.5411682	0.1050397	0
25	4052	4.052	0.4023605	0.07757948	0.1067747	0.6808934	0.1928109	43
26	619	0.619	0.4216214	0.07599045	0.2638556	0.6808934	0.1802339	0
27	1791	1.791	0.389006	0.06029689	0.1202316	0.6319707	0.1550025	4
28	1335	1.335	0.3877032	0.05522766	0.1213635	0.5220518	0.1424483	9
29	1510	1.51	0.3354132	0.0415856	0.1824855	0.5148832	0.1239832	0
30	37	0.037	0.4131833	0.04078614	0.3332781	0.482813	0.09871198	0
