ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	40438	40.438	0.2829063	0.1596068	1.537087e-12	1.162437	0.5641684	3054911
1	799	0.799	0.5184599	0.07463307	0.1624227	0.8266218	0.1439515	0
2	321	0.321	0.6233749	0.07484018	0.3727937	0.8151212	0.1200565	0
3	717	0.717	0.5739464	0.06035292	0.3816402	0.7510722	0.1051543	0
4	185	0.185	0.6888958	0.07296412	0.3862404	0.8864244	0.1059146	0
5	185	0.185	0.7657431	0.05877436	0.4221574	0.889963	0.07675467	0
6	113	0.113	0.7875639	0.0666583	0.6210279	0.9462271	0.08463859	0
7	528	0.528	0.7777311	0.07462049	0.5652946	1.016999	0.09594639	0
8	1590	1.59	0.7190272	0.1251741	0.2057708	1.023546	0.1740881	26
9	1274	1.274	0.5201597	0.05306254	0.3101601	0.682246	0.102012	0
10	666	0.666	0.5576108	0.0808228	0.1295135	0.7372715	0.1449448	1
11	959	0.9590001	0.5894288	0.1039644	0.1004968	0.8510382	0.1763817	1
12	709	0.7090001	0.5162957	0.07612887	0.1401294	0.718163	0.1474521	0
13	349	0.349	0.4282425	0.06994472	0.1592379	0.6997622	0.1633297	4
14	396	0.396	0.4736957	0.05100177	0.3030829	0.6350054	0.1076678	0
15	3766	3.766	0.4887982	0.1080045	0.08970403	0.8124673	0.2209592	31
16	4006	4.006	0.3983125	0.07134358	0.09660434	0.6633144	0.1791146	16
17	1607	1.607	0.4584031	0.05925049	0.2758355	0.6896771	0.1292541	0
18	87	0.087	0.7485687	0.05917928	0.5890034	0.8908477	0.07905657	0
19	3825	3.825	0.537972	0.115757	0.09235799	0.8818242	0.215173	0
20	3388	3.388	0.5314989	0.128816	0.08864244	0.8816473	0.2423637	0
21	743	0.743	0.5173731	0.06654155	0.3108678	0.8016745	0.1286142	0
22	188	0.188	0.7473841	0.08167282	0.4080029	0.8897861	0.1092783	0
23	30	0.03	0.7430101	0.04333091	0.6613682	0.8375915	0.05831806	0
24	316	0.316	0.6452483	0.08239644	0.2761893	0.8597078	0.1276973	0
25	5148	5.148	0.5801743	0.1248933	0.1185438	0.9575507	0.2152687	11
26	541	0.541	0.6214607	0.08219072	0.3595238	0.8483843	0.1322541	0
27	1550	1.55	0.59794	0.1043475	0.1234979	0.8959787	0.1745117	1
28	1300	1.3	0.6177495	0.1010561	0.2247024	0.854223	0.1635875	4
29	1481	1.481	0.4847182	0.06533194	0.177108	0.7008238	0.1347834	0
30	32	0.032	0.6908714	0.05158878	0.5868802	0.7912356	0.07467205	0
31	261	0.261	0.715224	0.06617626	0.3724398	0.8793472	0.09252522	0
32	2147	2.147	0.4818042	0.1006679	0.09713513	0.8329912	0.2089395	0
33	2820	2.82	0.4444949	0.08861995	0.04210958	0.7820351	0.1993722	5
34	1477	1.477	0.5131068	0.07876763	0.1176591	0.7454104	0.1535112	1
35	284	0.284	0.7081393	0.07334162	0.3430693	0.8742162	0.1035695	0
36	998	0.998	0.6414862	0.1006108	0.1702076	0.8365299	0.1568402	3
37	2078	2.078	0.6312606	0.1232503	0.1542839	0.951712	0.1952448	6
38	1350	1.35	0.6080459	0.07655701	0.1774618	0.8271526	0.1259066	0
39	561	0.561	0.7394364	0.1082294	0.3080369	0.9646279	0.1463674	0
40	939	0.9390001	0.7424327	0.09594653	0.3135218	0.9570199	0.1292326	4
41	819	0.8190001	0.4764819	0.05613126	0.3338688	0.6741072	0.1178035	0
42	2672	2.672	0.4309359	0.09614357	0.08280372	0.7148013	0.2231041	47
43	575	0.575	0.3720864	0.06215039	0.1348215	0.5449476	0.1670322	0
44	1290	1.29	0.413342	0.06930991	0.06723379	0.6063426	0.1676818	3
45	283	0.283	0.3817971	0.05870149	0.1466758	0.5444168	0.1537505	0
46	501	0.501	0.3615314	0.05356595	0.1985166	0.5143385	0.148164	0
47	4	0.004	0.435383	0.06017499	0.3830557	0.5219465	0.1382116	0
49	979	0.979	0.2656359	0.07829177	1.667098e-07	0.4665671	0.2947333	125
50	12	0.012	0.4025623	0.0335632	0.3466079	0.4456893	0.08337392	0
51	14597	14.597	0.547644	0.1426528	0.1659613	1.390324	0.2604845	0
52	167	0.167	0.4217579	0.07898532	0.1544608	0.6413749	0.1872764	0
53	956	0.956	0.4838782	0.07150133	0.2650427	0.6997622	0.1477672	0
54	478	0.478	0.5209245	0.07656615	0.2705275	0.7402794	0.1469813	0
55	766	0.766	0.4302213	0.09240185	0.0815652	0.6813614	0.2147775	0
56	52	0.052	0.5752435	0.04976471	0.4508202	0.6627836	0.08651068	0
57	31005	31.005	0.4448299	0.1260391	1.6401e-07	1.229317	0.2833421	316
58	110	0.11	0.3227905	0.06579403	7.339954e-07	0.4594899	0.2038289	9
59	5997	5.997	0.366426	0.07842415	2.120994e-07	0.5594559	0.2140245	37
60	3314	3.314	0.3859242	0.07266597	0.0684723	0.7843353	0.1882908	1
61	313	0.313	0.4377285	0.05433774	0.2928212	0.5755566	0.1241357	0
62	3676	3.676	0.4028168	0.06609598	0.115536	0.7222325	0.1640844	0
63	1030	1.03	0.4378177	0.05455742	0.2498266	0.6068734	0.1246122	0
64	10860	10.86	0.4261886	0.05685524	0.1850698	0.6344746	0.1334039	0
65	6800	6.8	0.3564618	0.08182018	8.807945e-08	0.6587142	0.2295342	104
66	2092	2.092	0.3859514	0.04918208	0.2271794	0.5410551	0.1274307	0
67	345	0.345	0.4319625	0.05910269	0.2422186	0.6480983	0.1368237	0
68	1001	1.001	0.4266918	0.05828213	0.1905547	0.6059887	0.1365907	0
69	4114	4.114	0.6254587	0.09107969	0.2376184	0.9398576	0.1456206	0
70	287	0.287	0.592782	0.05654353	0.4396736	0.741164	0.09538671	0
71	115	0.115	0.430864	0.0714898	0.2537192	0.5939574	0.165922	0
72	6174	6.174	0.4466485	0.09198643	0.1431372	0.9340189	0.2059482	0
73	1350	1.35	0.4811037	0.05603442	0.3076831	0.6645529	0.1164706	0
74	157	0.157	0.5125164	0.05303717	0.384825	0.6496907	0.1034839	0
75	289	0.289	0.5168939	0.05633674	0.3239607	0.687377	0.1089909	0
76	476	0.476	0.5340677	0.05806156	0.3551006	0.6788843	0.1087157	0
77	1123	1.123	0.4459578	0.05455355	0.2634503	0.6730456	0.1223289	0
78	1286	1.286	0.4657442	0.06280187	0.2834435	0.6705686	0.134842	0
79	162	0.162	0.5132583	0.09117609	0.3278532	0.9324265	0.1776417	0
80	1416	1.416	0.5270606	0.06056711	0.354039	0.7155091	0.1149149	0
81	5902	5.902	0.6945342	0.1118804	0.1503914	1.228786	0.1610869	21
82	3356	3.356	0.6722333	0.09604125	0.1670229	0.9584354	0.1428689	36
