ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	34090	34.09	0.2028813	0.1318763	2.125707e-13	0.8985178	0.6500168	3056398
1	816	0.816	0.3365645	0.05215792	0.07162508	0.5132502	0.1549716	0
2	330	0.33	0.3943114	0.0505472	0.1732196	0.5315335	0.1281911	0
3	886	0.886	0.3797983	0.03378549	0.2544575	0.4783801	0.08895639	0
4	190	0.19	0.4374407	0.0394576	0.2785839	0.5315335	0.09020102	0
5	254	0.254	0.5029427	0.07764148	0.1093225	0.6881663	0.1543744	0
6	102	0.102	0.5556024	0.04616323	0.3956343	0.6704485	0.08308681	0
7	518	0.518	0.5020434	0.0548439	0.3524708	0.6770455	0.1092413	0
8	1564	1.564	0.5174798	0.0739799	0.1869792	0.7852371	0.1429619	38
9	1398	1.398	0.353397	0.03523042	0.2188335	0.4710292	0.09969079	0
10	757	0.757	0.4229207	0.04535978	0.1805706	0.5645187	0.1072536	8
11	902	0.9020001	0.429073	0.05016024	0.1130922	0.6176721	0.1169037	17
12	788	0.788	0.3966036	0.04157161	0.2646358	0.6024047	0.104819	2
13	371	0.371	0.2879391	0.03797958	0.1027254	0.3978962	0.1319014	0
14	454	0.454	0.3450575	0.04794096	0.2231687	0.494967	0.1389362	0
15	3612	3.612	0.3307866	0.05902322	0.06653593	0.539073	0.1784329	56
16	3930	3.93	0.2862039	0.04148225	0.08689253	0.4925167	0.1449395	59
17	1644	1.644	0.3029675	0.03534263	0.1628528	0.429562	0.1166549	0
18	92	0.09200001	0.5068704	0.04475467	0.4231534	0.6220073	0.08829607	0
19	3788	3.788	0.3826782	0.05385054	0.0844422	0.5805401	0.1407202	58
20	3356	3.356	0.3794469	0.06384869	0.05899645	0.6614011	0.1682678	94
21	896	0.896	0.3312177	0.03938507	0.1975344	0.4789456	0.1189099	0
22	166	0.166	0.4991819	0.04624002	0.3334336	0.6446257	0.09263162	0
23	30	0.03	0.5001504	0.03422394	0.4207031	0.5628223	0.0684273	0
24	316	0.316	0.4751621	0.05318269	0.2996944	0.6453797	0.1119254	0
25	4864	4.864	0.4025641	0.05894398	0.1245899	0.6120175	0.1464213	37
26	616	0.6160001	0.4164223	0.04296909	0.2586042	0.5447276	0.1031863	0
27	1723	1.723	0.402276	0.05088773	0.1195008	0.6174836	0.1264995	9
28	1391	1.391	0.4190442	0.05708327	0.1274173	0.5760164	0.1362226	9
29	1643	1.643	0.3533937	0.04508799	0.1986654	0.5194703	0.1275857	0
30	34	0.034	0.4718662	0.03479639	0.385833	0.5488743	0.07374206	0
31	259	0.259	0.4905706	0.04475237	0.2629395	0.6014622	0.09122515	0
32	2408	2.408	0.3479314	0.04458273	0.1178044	0.5362457	0.1281365	20
33	3133	3.133	0.3220043	0.05361868	0.08312279	0.5503822	0.1665154	3
34	1584	1.584	0.4067336	0.06105394	0.1447581	0.5786552	0.1501079	4
35	288	0.288	0.5006406	0.04881636	0.2834845	0.6284158	0.09750779	0
