ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	30569	30.569	0.2883322	0.1698944	5.136485e-08	1.373429	0.5892315	3091190
1	763	0.763	0.5563138	0.08317041	0.1501203	0.8826729	0.1495027	0
2	387	0.387	0.6801094	0.1212488	0.2564077	0.9803657	0.1782784	0
3	895	0.895	0.6067208	0.05607819	0.4495014	0.8780891	0.09242833	0
4	224	0.224	0.6662698	0.06397654	0.471561	0.814202	0.09602197	0
5	203	0.203	0.7324029	0.0950125	0.1615798	0.9250733	0.1297271	0
6	105	0.105	0.7465413	0.06060716	0.5151074	0.8904081	0.08118393	0
7	713	0.7130001	0.7760597	0.1039165	0.5007829	1.07548	0.1339027	0
8	1549	1.549	0.7043512	0.1069789	0.09998469	0.9835171	0.1518829	25
9	1468	1.468	0.5955161	0.07636196	0.3449329	1.103556	0.1282282	0
10	612	0.612	0.6017352	0.06134504	0.2979487	0.7566177	0.1019469	6
11	767	0.767	0.6065741	0.0833914	0.1810611	0.8256615	0.1374793	6
12	683	0.683	0.5588633	0.05572376	0.3741547	0.7471635	0.0997091	0
13	386	0.386	0.4647135	0.05366544	0.1959585	0.6027731	0.1154807	3
14	469	0.469	0.5245501	0.04947177	0.3933495	0.7394283	0.09431276	0
15	3443	3.443	0.5583408	0.1015788	0.07248174	0.8815269	0.1819298	62
16	3779	3.779	0.4394974	0.06857492	0.091963	0.8631916	0.1560303	24
17	1740	1.74	0.5029411	0.05967333	0.2257534	0.6933036	0.1186487	0
18	85	0.085	0.7032195	0.05181902	0.5715457	0.8004505	0.07368825	0
19	3635	3.635	0.5927671	0.07564001	0.06216813	0.8485807	0.1276049	35
20	3209	3.209	0.6016548	0.09713832	0.1226173	0.8497266	0.1614519	23
21	773	0.7730001	0.5735062	0.08755165	0.3715763	0.9898198	0.1526604	0
22	172	0.172	0.7207779	0.06318789	0.4489284	0.8614727	0.08766624	2
23	29	0.029	0.691802	0.04501297	0.5956108	0.7909964	0.06506626	0
24	257	0.257	0.649377	0.06422634	0.2429428	0.8041749	0.09890454	0
25	3968	3.968	0.5914117	0.09948125	0.1360823	0.9714845	0.1682098	35
26	571	0.571	0.6501002	0.09362941	0.4489284	0.9279382	0.1440231	0
27	1779	1.779	0.6330264	0.09635948	0.250105	0.9780738	0.1522203	6
28	1332	1.332	0.6357729	0.07835371	0.1592879	0.8889757	0.1232417	21
29	1573	1.573	0.5372925	0.05580489	0.3575384	0.8969973	0.1038631	0
30	30	0.03	0.6622863	0.04374774	0.5741242	0.7591961	0.06605563	0
31	239	0.239	0.6915902	0.05418636	0.5620916	0.8755107	0.07835037	0
32	2025	2.025	0.5229107	0.0675125	0.1251957	0.6918712	0.1291091	5
33	2684	2.684	0.4787669	0.07113772	0.08078992	0.7021847	0.1485853	2
34	1378	1.378	0.576542	0.07453993	0.2965162	0.8113371	0.129288	6
35	276	0.276	0.7029	0.07443931	0.3959279	0.9353869	0.1059031	0
36	809	0.809	0.693343	0.0996158	0.1761908	0.9906793	0.1436746	6
37	1830	1.83	0.6735349	0.1114121	0.1329309	0.9585925	0.165414	20
38	1146	1.146	0.655548	0.07442838	0.2598456	0.9671872	0.1135361	0
39	497	0.497	0.7221425	0.09531985	0.2750295	0.9265057	0.1319959	0
40	801	0.8010001	0.7405583	0.08113805	0.2498185	0.9703386	0.1095634	0
41	924	0.924	0.5211399	0.05886795	0.342068	0.813629	0.11296	0
42	2242	2.242	0.4970225	0.1133035	0.0813629	1.083215	0.2279646	22
43	573	0.573	0.3942046	0.05215602	0.2151533	0.5635241	0.132307	0
44	1244	1.244	0.4390175	0.05939198	0.1300661	0.6345733	0.1352839	3
45	245	0.245	0.4142352	0.05617637	0.2363535	0.5818594	0.1356147	0
46	482	0.482	0.3807586	0.05286939	0.1902288	0.5440428	0.1388528	0
47	2	0.002	0.4923315	0.02208105	0.4767179	0.5079452	0.04484997	0
49	1013	1.013	0.2581778	0.07062141	1.890664e-07	0.4179876	0.2735379	99
50	8	0.008	0.4376121	0.03554147	0.3647006	0.4712746	0.08121685	0
51	13252	13.252	0.5474403	0.1342038	0.09769278	1.134783	0.2451478	0
52	169	0.169	0.4444936	0.06513144	0.2446617	0.6678061	0.1465295	0
53	877	0.877	0.5277126	0.08348253	0.3317544	0.7540393	0.1581969	0
54	457	0.457	0.5788038	0.0846303	0.3094082	1.027923	0.1462159	0
55	673	0.673	0.4757844	0.084949	0.08623321	0.6915846	0.1785452	0
56	48	0.048	0.6220453	0.06082497	0.432312	0.7082011	0.09778222	0
57	28256	28.256	0.4694143	0.1306126	2.666601e-07	1.157989	0.2782459	328
58	92	0.09200001	0.3357717	0.05669732	6.846825e-07	0.4377553	0.1688567	3
59	5590	5.59	0.3776015	0.08068411	7.109114e-07	0.9184835	0.2136753	44
60	3132	3.132	0.3967498	0.07643106	0.07076327	0.7801098	0.192643	1
61	281	0.281	0.4492585	0.05067593	0.3076893	0.6569195	0.112799	0
62	3409	3.409	0.4233122	0.0601348	0.08881162	0.7654989	0.1420578	4
63	1083	1.083	0.4716406	0.05347659	0.2707322	0.6503302	0.1133842	0
64	10923	10.923	0.4505833	0.05043517	0.1684556	0.65606	0.1119331	0
65	6000	6	0.3639119	0.08570887	0.06990349	0.6417356	0.2355209	13
66	1999	1.999	0.404924	0.04247509	0.2756025	0.5532104	0.1048965	0
67	308	0.308	0.4477397	0.06150354	0.2953703	0.6460329	0.1373645	0
68	970	0.97	0.4490134	0.05635762	0.2804728	0.6563465	0.1255143	0
69	3868	3.868	0.6353197	0.09985095	0.2300507	0.9855224	0.1571665	0
70	275	0.275	0.5721385	0.08694362	0.144677	0.7488825	0.1519625	0
71	96	0.096	0.453751	0.06300404	0.3085487	0.6105083	0.1388516	0
72	6234	6.234	0.4376443	0.09166852	0.1300661	0.8351157	0.209459	0
73	1371	1.371	0.476266	0.04853179	0.3053974	0.668952	0.1019006	0
74	153	0.153	0.5019255	0.05175478	0.3830359	0.6405896	0.1031125	0
75	269	0.269	0.5302222	0.06671634	0.3626952	0.787272	0.1258271	0
76	404	0.404	0.5320263	0.04953836	0.3606898	0.6950225	0.09311262	0
77	1059	1.059	0.4500825	0.05177331	0.3065433	0.6225408	0.1150307	0
78	1153	1.153	0.4736299	0.0575553	0.2968027	0.6907252	0.1215196	0
79	129	0.129	0.5201197	0.05605577	0.3764467	0.6898657	0.1077747	0
80	1382	1.382	0.535742	0.05674773	0.3248786	0.7259634	0.1059236	0
81	5660	5.66	0.6952947	0.1224625	0.05357346	1.419267	0.1761304	20
82	3202	3.202	0.7520726	0.1321846	0.08050343	1.130199	0.1757605	9
83	535	0.535	0.4378327	0.05659124	0.2340616	0.6503302	0.1292531	0
84	60	0.06	0.5398839	0.05270166	0.4202795	0.671244	0.09761664	0
85	1896	1.896	0.5586052	0.07143516	0.1211849	1.129627	0.1278813	0
86	236	0.236	0.5085571	0.08660537	0.3108407	0.7511744	0.1702962	0
87	183	0.183	0.6326463	0.06342084	0.394209	0.7841206	0.1002469	0
88	309	0.309	0.6208627	0.0508827	0.4154092	0.7397149	0.08195484	0
89	2889	2.889	0.399781	0.1319343	0.07248174	0.8984298	0.3300164	0
90	104	0.104	0.5133004	0.1179036	0.1360831	0.7213795	0.2296972	0
91	24746	24.746	0.5939566	0.1460409	3.606468e-07	1.103842	0.245878	559
92	246	0.246	0.5779781	0.06191258	0.4108254	0.7202336	0.1071193	0
93	272	0.272	0.5904406	0.06187217	0.4389013	0.77438	0.1047898	0
94	2	0.002	0.682417	0.05267037	0.6451734	0.7196606	0.07718208	0
95	592	0.592	0.5750384	0.06262142	0.3973604	0.7783909	0.1088996	0
96	14	0.014	0.3993453	0.06056283	0.2922189	0.5216966	0.1516553	0
97	197	0.197	0.6148652	0.06341847	0.4678367	0.8090452	0.1031421	0
98	424	0.424	0.5249332	0.05360023	0.3738683	0.6844224	0.1021087	0
99	2523	2.523	0.3674192	0.08546344	0.1346499	0.6291301	0.2326047	0
100	1251	1.251	0.4633761	0.06449536	0.2538293	0.6872873	0.1391858	0
101	144	0.144	0.5271439	0.05343536	0.4088199	0.6703845	0.1013677	0
102	57	0.057	0.3757178	0.05276303	0.2810458	0.4876044	0.1404326	0
103	216	0.216	0.4766635	0.04670209	0.3240192	0.605638	0.09797707	0
104	2807	2.807	0.4407517	0.08415776	0.1670233	0.7388554	0.1909414	0
105	193	0.193	0.4954644	0.06818496	0.3131326	0.6640817	0.1376183	0
106	363	0.363	0.4091962	0.06524237	0.2352075	0.6162381	0.1594403	0
107	1077	1.077	0.5317115	0.07261831	0.2297643	0.7652124	0.1365746	0
108	1	0.001	0.6930171	0	0.6930171	0.6930171	0	0
109	241	0.241	0.3533742	0.06177474	0.1930936	0.5873026	0.174814	2
110	509	0.509	0.3577948	0.07995082	0.0710493	0.8643376	0.2234544	0
111	203	0.203	0.3877906	0.05425062	0.2357805	0.5194047	0.1398967	0
112	947	0.947	0.2808478	0.05458236	0.1088661	0.4517932	0.1943485	1
113	1274	1.274	0.3822095	0.06746266	0.1819206	0.5778485	0.176507	0
