ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	30386	30.386	0.2519671	0.1534849	7.626722e-13	0.9411358	0.6091465	3100431
1	777	0.777	0.4915693	0.08302693	0.1373727	0.6964855	0.1689018	0
2	314	0.314	0.6400599	0.08000666	0.336778	0.8054009	0.1249987	0
3	740	0.74	0.5749666	0.06359491	0.4076139	0.7699829	0.1106063	0
4	181	0.181	0.7105088	0.06997743	0.4483549	0.9014184	0.09848919	0
5	167	0.167	0.7250566	0.06264982	0.3513137	0.844504	0.08640679	0
6	99	0.09900001	0.7395095	0.06080244	0.4639142	0.8375432	0.08221996	0
7	534	0.534	0.7686519	0.05091557	0.5666878	0.9030563	0.06624009	0
8	1551	1.551	0.7026833	0.140629	0.1443334	1.064996	0.2001314	18
9	1034	1.034	0.4635308	0.04914214	0.2632805	0.6178699	0.106017	0
10	675	0.675	0.5699998	0.06706608	0.1826176	0.710407	0.1176598	2
11	853	0.853	0.5899115	0.08033757	0.2421935	0.8203461	0.1361858	4
12	718	0.7180001	0.5524715	0.05539112	0.2868243	0.694643	0.1002606	3
13	346	0.346	0.3707131	0.05065897	0.1115769	0.4903241	0.1366528	1
14	372	0.372	0.4441392	0.04770636	0.3459907	0.5748769	0.1074131	0
15	3104	3.104	0.4136313	0.08160801	0.06837923	0.6109091	0.1972965	19
16	3604	3.604	0.3929524	0.06548151	0.06694613	0.559727	0.1666398	25
17	1418	1.418	0.392702	0.04016049	0.2575481	0.5024031	0.1022671	0
18	89	0.089	0.7605816	0.05826347	0.5871606	0.8883159	0.07660384	0
19	3182	3.182	0.5532032	0.1154677	0.0724738	0.9390885	0.2087257	24
20	2938	2.938	0.5415059	0.121469	0.08578113	0.9736875	0.224317	26
21	700	0.7	0.4227627	0.04651286	0.2481306	0.5537899	0.1100212	0
22	163	0.163	0.7734144	0.1055511	0.3996295	0.9583329	0.1364742	0
23	31	0.031	0.7602154	0.0429375	0.6956666	0.8911821	0.05648071	0
24	285	0.285	0.6525572	0.06689138	0.4231733	0.8066293	0.1025065	0
25	4530	4.53	0.5932813	0.09055373	0.1388057	0.8414331	0.152632	24
26	521	0.521	0.6489781	0.07597955	0.4158031	0.8877017	0.1170757	0
27	1548	1.548	0.6049809	0.08590119	0.2849817	0.8309919	0.1419899	5
28	1289	1.289	0.6555146	0.09398963	0.2473117	0.870914	0.143383	7
29	1282	1.282	0.474145	0.05616466	0.2663515	0.6485791	0.1184546	0
30	33	0.033	0.7512969	0.04143782	0.6569729	0.8316061	0.05515506	0
31	267	0.267	0.7531653	0.07639929	0.4794736	0.9110407	0.1014376	0
32	1957	1.957	0.5119523	0.07783142	0.1517036	0.6970997	0.1520287	9
33	2577	2.577	0.4686322	0.07695795	0.1598928	0.7026274	0.1642182	9
34	1412	1.412	0.5424432	0.06345498	0.230524	0.7001706	0.1169799	1
35	272	0.272	0.7333269	0.06539892	0.4684182	0.8653863	0.08918113	0
36	932	0.932	0.6474057	0.08542056	0.3042262	0.8496222	0.1319429	10
37	1974	1.974	0.6269726	0.1142812	0.1357348	0.8946624	0.1822746	23
38	1265	1.265	0.6095226	0.07032724	0.2989032	0.816661	0.1153809	1
39	520	0.52	0.7541274	0.09789798	0.4190787	0.9614038	0.1298162	1
40	848	0.848	0.737518	0.09435217	0.4641189	0.9704119	0.127932	2
41	737	0.737	0.3992703	0.03454416	0.2755642	0.4917572	0.08651822	0
42	2227	2.227	0.376685	0.08579066	0.08250549	0.6019011	0.2277517	16
43	484	0.484	0.3759956	0.04718673	0.1924445	0.5193956	0.1254981	0
44	1118	1.118	0.4133842	0.04924448	0.1920351	0.5576798	0.1191252	8
45	242	0.242	0.3459907	0.04022316	0.2256105	0.4649378	0.116255	0
46	449	0.449	0.3409889	0.04024353	0.2043188	0.4788594	0.1180201	0
47	4	0.004	0.401728	0.02005597	0.3801804	0.4282915	0.04992425	0
49	790	0.79	0.2779602	0.07188656	2.674844e-07	0.4375043	0.2586218	57
50	11	0.011	0.4270445	0.05211992	0.3330929	0.5048599	0.122048	0
51	13675	13.675	0.5278743	0.1311795	0.1371679	0.9874043	0.2485053	0
52	192	0.192	0.346351	0.06513902	0.09151353	0.5071118	0.1880722	0
53	833	0.8330001	0.4963994	0.05169972	0.2290909	0.6465318	0.1041494	0
54	476	0.476	0.4514408	0.05865558	0.1674677	0.6014916	0.1299297	0
55	691	0.691	0.4480565	0.06354304	0.2002242	0.5859323	0.1418193	2
56	55	0.055	0.5204303	0.05137065	0.4125274	0.6109091	0.09870802	0
57	27845	27.845	0.3831793	0.08754073	5.849512e-07	0.687068	0.2284589	289
58	90	0.09	0.3212072	0.04679207	0.1834365	0.4174409	0.1456756	0
59	5477	5.477	0.34078	0.06406188	5.529312e-07	0.5105922	0.187986	22
60	3016	3.016	0.3487362	0.06332923	4.865482e-07	0.508545	0.1815964	5
61	264	0.264	0.411416	0.0398748	0.3066829	0.5013795	0.09692086	0
62	3572	3.572	0.3630767	0.07119134	0.04012674	0.5842944	0.196078	0
63	986	0.9860001	0.4439039	0.04454855	0.308116	0.6131611	0.1003563	0
64	10439	10.439	0.4242704	0.0593244	0.2028857	0.6616817	0.1398269	0
65	6456	6.456	0.3450548	0.07799233	0.06960783	0.6256495	0.2260288	5
66	1981	1.981	0.3450128	0.03964868	0.211689	0.491962	0.1149194	0
67	343	0.343	0.4192972	0.05232648	0.2898952	0.6066098	0.1247957	0
68	908	0.9080001	0.400329	0.04684027	0.1828223	0.5675067	0.1170044	0
69	3827	3.827	0.5173242	0.07916472	0.155184	0.717163	0.1530273	0
70	310	0.31	0.5562089	0.05729553	0.3148721	0.6909578	0.1030108	0
71	90	0.09	0.3912629	0.05683385	0.2624616	0.519805	0.1452574	0
72	5765	5.765	0.4489077	0.08515245	0.1488374	0.8172752	0.1896881	0
73	1209	1.209	0.476357	0.04661893	0.3259274	0.6190982	0.09786554	0
74	161	0.161	0.5397692	0.04526763	0.3930782	0.6672093	0.0838648	0
75	235	0.235	0.4956846	0.03999175	0.3531562	0.616232	0.08067983	0
76	417	0.417	0.5228009	0.04667875	0.3943066	0.6541067	0.08928591	0
77	1025	1.025	0.4252232	0.03992705	0.277202	0.5449866	0.09389669	0
78	1099	1.099	0.4688747	0.05048956	0.2989032	0.6416183	0.1076824	0
79	132	0.132	0.4702174	0.04242425	0.3414867	0.5537899	0.09022264	0
80	1313	1.313	0.4719616	0.04019704	0.3427151	0.6086571	0.08517016	0
81	5362	5.362	0.6132309	0.09715903	0.09335608	0.8438898	0.1584379	13
82	3108	3.108	0.5445682	0.08645782	0.1230417	0.7943456	0.158764	2
83	524	0.524	0.3866684	0.04422431	0.2671704	0.5026078	0.1143727	0
84	65	0.06500001	0.4554006	0.0443124	0.3529515	0.5548136	0.09730422	0
85	1957	1.957	0.4698554	0.06383654	0.2624616	0.6502169	0.1358642	0
