ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	27691	27.691	0.1876951	0.1213168	4.394792e-13	0.8491538	0.6463503	3080633
1	826	0.826	0.4629158	0.08496936	0.1088381	0.7146558	0.1835525	0
2	350	0.35	0.5014792	0.06795765	0.2005217	0.6487763	0.1355144	0
3	869	0.869	0.4981333	0.04713193	0.3468405	0.6581464	0.0946171	0
4	220	0.22	0.5333193	0.05174803	0.2908357	0.6692465	0.0970301	0
5	199	0.199	0.4471263	0.10007	0.05975286	0.6852478	0.223807	0
6	92	0.09200001	0.4511635	0.07667825	0.2390115	0.6497133	0.1699567	0
7	483	0.483	0.5262592	0.06412796	0.2679869	0.7215753	0.1218562	0
8	1642	1.642	0.4470975	0.1209056	0.06220352	0.7863736	0.2704233	15
9	1184	1.184	0.4516596	0.05449115	0.1066037	0.6980778	0.1206465	1
10	635	0.6350001	0.4367855	0.07250565	0.1388948	0.7320987	0.1659983	1
11	891	0.891	0.4945389	0.1100851	0.07849321	0.8680383	0.2226015	5
12	811	0.811	0.4129351	0.0546519	0.1693839	0.6057456	0.1323498	1
13	327	0.327	0.3736078	0.05270773	0.1790424	0.4958983	0.1410777	4
14	416	0.416	0.4413929	0.05288916	0.2668337	0.6432263	0.1198233	0
15	3299	3.299	0.4213901	0.08036491	0.05578856	0.735126	0.1907138	89
16	4078	4.078	0.3774587	0.06753932	0.06299639	0.5584622	0.1789317	46
17	1341	1.341	0.3987122	0.05027256	0.2029003	0.6314054	0.1260874	0
18	92	0.09200001	0.560731	0.04473017	0.4768696	0.6959155	0.07977117	0
19	3566	3.566	0.4859546	0.07707112	0.06299639	0.7124934	0.1585974	34
20	3095	3.095	0.486072	0.08371661	0.0444002	0.7628761	0.1722309	114
21	731	0.731	0.426428	0.06123823	0.1361558	0.6389736	0.1436074	0
22	191	0.191	0.547837	0.04627916	0.417333	0.6624711	0.08447614	0
23	31	0.031	0.5589923	0.03517175	0.4889788	0.6293151	0.06291992	0
24	354	0.354	0.5255176	0.06330033	0.317793	0.821692	0.1204533	0
25	5313	5.313	0.54193	0.09244254	0.101342	0.8593889	0.1705802	28
26	594	0.594	0.5431454	0.05232412	0.3594542	0.7208545	0.09633538	0
27	1643	1.643	0.5166828	0.06205615	0.1019907	0.712998	0.1201049	9
28	1391	1.391	0.5271911	0.05598742	0.1627527	0.6720575	0.1061995	8
29	1518	1.518	0.4635463	0.0535955	0.3060442	0.7105473	0.1156206	0
30	39	0.039	0.5559155	0.03757442	0.4427046	0.623621	0.06759016	0
31	298	0.298	0.5535265	0.04854785	0.3185858	0.6783283	0.08770646	0
32	2182	2.182	0.4815877	0.07508446	0.09081858	0.8049698	0.1559102	5
33	3146	3.146	0.4261726	0.06237049	0.05867169	0.7573261	0.1463503	20
34	1776	1.776	0.3610949	0.05347773	0.1112167	0.5183867	0.1480988	2
35	289	0.289	0.5298733	0.05162913	0.2837	0.688203	0.09743673	0
36	1096	1.096	0.4228233	0.07144709	0.1184966	0.6280898	0.1689762	13
37	2418	2.418	0.3697514	0.0882052	0.0854848	0.6195846	0.2385527	43
38	1553	1.553	0.4187749	0.08089864	0.1072524	0.6523802	0.1931793	0
39	517	0.517	0.4836755	0.07041815	0.1799794	0.6536776	0.1455897	0
40	1024	1.024	0.4210637	0.0823174	0.149202	0.6074755	0.1954987	0
